Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:31:01;58.000;63.000;20.000;4030.816;1920.000;115.978;54.000;79.427;4297.636;8359.000;411.400;7.467;190.300
24-02-202315:31:02;58.000;63.000;20.000;4030.691;1920.000;116.675;54.000;75.781;4302.360;8359.000;429.000;4.062;191.500
24-02-202315:31:03;58.000;63.000;20.000;4030.891;1920.000;117.499;54.000;82.040;4302.360;8367.000;401.900;6.309;192.500
24-02-202315:31:04;58.000;63.000;20.000;4030.891;1920.000;116.729;54.000;79.114;4300.000;8364.000;413.100;4.971;193.600
24-02-202315:31:05;58.000;63.000;20.000;4030.141;1920.000;116.866;54.000;79.167;4300.000;8363.000;443.500;4.199;194.800
24-02-202315:31:06;57.000;60.000;19.000;4030.891;1920.000;113.494;55.000;87.685;4300.001;8387.000;416.300;4.127;195.800
24-02-202315:31:07;57.000;60.000;19.000;4030.891;1920.000;113.060;54.000;85.988;4300.001;8389.000;407.600;5.756;196.800
24-02-202315:31:08;57.000;63.000;20.000;4030.891;1920.000;116.654;54.000;82.031;4300.001;7928.000;378.700;6.010;197.700
24-02-202315:31:09;58.000;63.000;20.000;4030.891;1920.000;118.715;54.000;74.219;4300.000;7925.000;441.400;4.526;198.800
24-02-202315:31:32;54.000;42.000;11.000;4668.004;1935.000;84.822;57.000;95.052;4300.001;8816.000;314.900;7.711;215.400
24-02-202315:31:33;54.000;47.000;13.000;4876.941;1935.000;88.877;57.000;91.146;4300.001;8897.000;331.400;9.405;215.900
24-02-202315:31:34;53.000;44.000;11.000;5281.629;1935.000;83.136;60.000;96.354;4300.001;9092.000;192.100;104.313;215.800
24-02-202315:31:35;59.000;99.000;38.000;5480.254;1912.000;164.302;56.000;78.906;4300.001;9182.000;93.400;61.091;215.300
24-02-202315:31:36;60.000;99.000;37.000;5473.129;1912.000;164.817;56.000;61.458;4300.001;9243.000;43.400;24.871;214.600
24-02-202315:31:37;60.000;99.000;36.000;5468.207;1920.000;164.757;56.000;56.771;4300.002;9299.000;41.900;27.351;213.900
24-02-202315:31:38;60.000;99.000;37.000;5468.332;1912.000;165.117;56.000;61.458;4300.001;9423.000;42.400;25.629;213.200
24-02-202315:31:39;60.000;99.000;37.000;5467.707;1920.000;167.854;58.000;59.375;4300.001;9464.000;42.100;26.728;212.400
24-02-202315:31:40;61.000;99.000;39.000;5568.145;1912.000;164.064;59.000;67.708;4300.001;9458.000;39.200;66.236;211.700
