Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:37:46;51.000;28.000;5.000;3906.273;1935.000;77.178;59.000;86.719;4300.001;8636.000;522.400;30.420;181.000
24-02-202315:37:47;52.000;45.000;12.000;4120.086;1935.000;93.775;62.000;95.833;4300.001;8742.000;290.200;14.451;181.200
24-02-202315:37:48;51.000;46.000;12.000;4389.023;1935.000;91.480;62.000;95.052;4300.000;8870.000;293.700;19.978;181.400
24-02-202315:37:49;52.000;52.000;13.000;4669.648;1935.000;93.594;59.000;94.271;4300.000;8885.000;313.700;14.331;181.600
24-02-202315:37:50;50.000;23.000;7.000;4820.086;1935.000;73.950;60.000;94.792;4300.002;9053.000;274.500;34.557;181.700
24-02-202315:37:51;50.000;33.000;8.000;5220.086;1935.000;71.502;58.000;95.052;4300.002;9155.000;174.300;51.048;181.700
24-02-202315:37:52;57.000;99.000;31.000;5336.340;1935.000;162.673;61.000;69.010;4300.001;9184.000;53.800;79.613;181.500
24-02-202315:37:53;57.000;99.000;31.000;5336.590;1935.000;162.490;58.000;65.885;4300.001;9238.000;49.500;25.264;181.300
24-02-202315:37:54;58.000;99.000;31.000;5331.465;1935.000;163.424;57.000;67.188;4300.001;9299.000;49.400;22.432;181.100
24-02-202315:37:55;58.000;99.000;31.000;5330.777;1920.000;162.664;59.000;68.229;4300.000;9311.000;49.200;22.238;180.900
24-02-202315:37:56;58.000;97.000;34.000;5362.840;1912.000;163.218;57.000;71.615;4300.003;9304.000;46.600;59.195;180.600
24-02-202315:37:57;59.000;99.000;33.000;5364.902;1920.000;162.814;57.000;66.406;4300.001;9378.000;42.200;29.069;180.400
24-02-202315:37:58;56.000;25.000;7.000;5363.402;1935.000;94.846;59.000;59.896;4300.001;9354.000;33.900;218.940;180.200
24-02-202315:37:59;59.000;99.000;33.000;5420.402;1920.000;162.152;57.000;66.406;4300.001;9338.000;42.200;52.493;180.000
24-02-202315:38:00;59.000;99.000;33.000;5376.340;1920.000;163.529;61.000;66.406;4300.002;9316.000;41.700;26.261;179.700
24-02-202315:38:01;59.000;99.000;35.000;5369.090;1920.000;164.167;60.000;66.667;4300.002;9387.000;40.200;29.442;179.500
24-02-202315:38:02;59.000;99.000;36.000;5371.840;1912.000;163.470;58.000;70.052;4300.001;9374.000;40.600;28.828;179.300
24-02-202315:38:03;60.000;99.000;36.000;5374.715;1920.000;164.811;59.000;63.021;4300.001;9367.000;39.800;27.397;179.100
24-02-202315:38:04;59.000;99.000;37.000;5383.840;1920.000;165.178;60.000;68.490;4300.001;9366.000;39.600;29.434;178.800
24-02-202315:38:05;60.000;99.000;39.000;5395.527;1905.000;165.590;57.000;64.063;4300.001;9466.000;40.500;26.896;178.600
