Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:40:39;52.000;53.000;13.000;4677.152;1935.000;94.749;59.000;92.969;4300.000;8911.000;315.900;7.334;172.200
24-02-202315:40:40;51.000;27.000;7.000;4844.965;1935.000;64.419;62.000;95.052;4300.001;8975.000;286.500;33.012;172.300
24-02-202315:40:41;50.000;31.000;8.000;5230.027;1935.000;71.878;58.000;96.875;4300.001;9104.000;175.000;69.010;172.300
24-02-202315:40:42;57.000;98.000;32.000;5232.523;1935.000;153.427;61.000;79.688;4300.001;9220.000;64.900;76.750;172.200
24-02-202315:40:43;58.000;99.000;31.000;5232.586;1935.000;152.932;57.000;72.656;4300.002;9272.000;66.800;19.791;172.000
24-02-202315:40:44;57.000;98.000;31.000;5227.336;1935.000;152.138;57.000;75.000;4300.002;9310.000;67.500;16.868;171.900
24-02-202315:40:45;58.000;99.000;32.000;5226.711;1935.000;153.569;57.000;73.698;4300.001;9340.000;67.100;17.235;171.800
24-02-202315:40:46;57.000;76.000;25.000;5264.523;1935.000;144.549;60.000;80.208;4300.001;9438.000;60.700;66.199;171.600
24-02-202315:40:47;58.000;99.000;32.000;5252.148;1920.000;152.768;58.000;74.740;4300.001;9411.000;59.700;22.756;171.500
24-02-202315:40:48;55.000;14.000;4.000;5270.086;1935.000;70.461;58.000;71.615;4300.000;9386.000;45.200;220.613;171.300
24-02-202315:40:49;58.000;99.000;32.000;5317.586;1927.000;153.363;61.000;79.167;4300.000;9366.000;60.200;19.170;171.200
24-02-202315:40:50;58.000;99.000;32.000;5273.648;1927.000;154.060;60.000;76.042;4300.002;9441.000;58.200;23.240;171.100
24-02-202315:40:51;59.000;99.000;34.000;5276.961;1927.000;157.781;59.000;79.427;4300.002;9412.000;56.400;22.004;170.900
24-02-202315:40:52;59.000;99.000;34.000;5279.023;1927.000;154.883;58.000;77.344;4300.001;9399.000;56.500;29.107;170.800
24-02-202315:40:53;59.000;99.000;35.000;5282.523;1927.000;157.926;60.000;76.823;4300.002;9417.000;55.400;20.972;170.600
