Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:46:03;51.000;51.000;11.000;4349.695;1935.000;88.063;63.000;96.354;4300.001;8916.000;304.900;11.449;165.900
24-02-202315:46:04;50.000;43.000;10.000;4717.695;1935.000;76.757;62.000;97.656;4300.001;8962.000;262.400;16.367;166.000
24-02-202315:46:05;51.000;50.000;11.000;4852.695;1935.000;84.566;61.000;90.365;4300.001;9057.000;335.800;6.058;166.100
24-02-202315:46:06;50.000;29.000;5.000;5207.570;1935.000;66.506;60.000;94.271;4300.001;9162.000;177.700;107.624;166.100
24-02-202315:46:07;56.000;98.000;32.000;5452.824;1935.000;164.054;60.000;79.948;4300.002;9222.000;98.800;82.339;166.100
24-02-202315:46:08;57.000;99.000;31.000;5445.637;1935.000;163.161;56.000;65.365;4300.002;9236.000;48.400;22.851;166.000
24-02-202315:46:09;58.000;99.000;31.000;5440.512;1920.000;164.242;56.000;63.542;4300.001;9316.000;47.100;25.535;165.900
24-02-202315:46:10;58.000;99.000;31.000;5440.637;1920.000;163.643;59.000;62.760;4300.002;9327.000;47.200;25.334;165.800
24-02-202315:46:11;59.000;99.000;31.000;5439.949;1920.000;162.255;60.000;61.458;4300.002;9326.000;47.100;22.938;165.700
24-02-202315:46:12;59.000;99.000;35.000;5478.637;1912.000;164.801;57.000;66.927;4300.001;9316.000;42.600;55.693;165.500
24-02-202315:46:13;59.000;99.000;33.000;5466.512;1920.000;164.193;60.000;63.542;4300.001;9388.000;41.600;26.456;165.400
24-02-202315:46:14;59.000;99.000;33.000;5516.512;1920.000;165.547;60.000;64.583;4300.001;9381.000;33.800;220.298;165.300
24-02-202315:46:15;59.000;99.000;33.000;5533.449;1920.000;163.921;61.000;59.896;4300.000;9365.000;41.100;27.329;165.200
24-02-202315:46:16;60.000;99.000;36.000;5487.574;1920.000;165.203;57.000;68.229;4300.000;9441.000;40.500;32.179;165.100
24-02-202315:46:17;60.000;99.000;36.000;5488.637;1920.000;165.328;57.000;66.667;4300.001;9428.000;39.000;30.565;165.000
24-02-202315:46:18;60.000;99.000;35.000;5491.512;1905.000;162.488;57.000;62.240;4300.001;9427.000;39.100;28.796;164.900
24-02-202315:46:19;60.000;99.000;37.000;5494.012;1920.000;167.878;60.000;61.979;4300.001;9422.000;38.300;28.184;164.800
24-02-202315:46:20;60.000;99.000;37.000;5504.262;1920.000;165.740;59.000;61.719;4300.001;9517.000;38.900;28.817;164.600
24-02-202315:46:21;60.000;99.000;38.000;5533.699;1912.000;166.890;58.000;64.323;4300.001;9526.000;39.300;30.404;164.500
24-02-202315:46:22;60.000;99.000;39.000;5548.199;1912.000;165.522;60.000;66.406;4300.001;9516.000;41.100;27.974;164.400
24-02-202315:46:23;60.000;99.000;37.000;5544.512;1920.000;165.869;57.000;65.885;4300.000;9515.000;41.500;26.706;164.300
24-02-202315:46:24;60.000;99.000;35.000;5543.012;1920.000;165.838;57.000;66.667;4300.000;9620.000;40.800;28.518;164.200
24-02-202315:46:25;60.000;99.000;31.000;5546.637;1912.000;165.694;58.000;67.416;4300.002;9607.000;38.900;28.407;164.100
24-02-202315:46:26;60.000;99.000;35.000;5545.637;1920.000;165.357;58.000;70.833;4300.001;9535.000;42.100;27.643;164.000
24-02-202315:46:27;60.000;99.000;37.000;5541.574;1920.000;163.636;61.000;66.927;4300.000;9514.000;39.400;31.159;163.900
24-02-202315:46:28;61.000;99.000;36.000;5531.512;1920.000;167.360;57.000;66.688;4300.000;9609.000;36.700;30.262;163.800
24-02-202315:46:29;61.000;99.000;33.000;5528.449;1920.000;164.934;58.000;65.363;4300.001;9589.000;39.800;28.285;163.700
24-02-202315:46:30;61.000;99.000;33.000;5527.762;1920.000;159.419;59.000;69.860;4299.999;9561.000;42.900;35.721;163.500
24-02-202315:46:31;61.000;99.000;33.000;5540.199;1912.000;165.735;61.000;71.094;4299.999;9652.000;40.100;29.815;163.400
24-02-202315:46:32;61.000;99.000;35.000;5537.762;1920.000;166.843;57.000;65.620;4300.002;9635.000;37.200;29.429;163.300
24-02-202315:46:33;61.000;99.000;37.000;5535.762;1920.000;165.641;57.000;61.136;4300.001;9612.000;39.100;28.585;163.200
24-02-202315:46:34;61.000;99.000;36.000;5532.637;1912.000;165.942;59.000;61.719;4300.001;9588.000;40.100;27.226;163.100
24-02-202315:46:35;62.000;99.000;37.000;5533.699;1905.000;165.762;57.000;63.281;4300.001;9690.000;41.100;26.647;163.000
24-02-202315:46:36;62.000;99.000;38.000;5541.012;1912.000;165.080;61.000;67.969;4300.002;9691.000;42.100;25.713;162.900
24-02-202315:46:37;61.000;99.000;37.000;5541.637;1920.000;166.681;59.000;70.313;4300.002;9643.000;43.900;25.800;162.800
24-02-202315:46:38;62.000;99.000;37.000;5549.512;1920.000;164.394;57.000;66.146;4300.001;9614.000;43.800;26.900;162.700
24-02-202315:46:39;62.000;99.000;38.000;5550.199;1912.000;164.323;61.000;59.635;4300.001;9711.000;43.100;25.294;162.600
24-02-202315:46:40;62.000;99.000;37.000;5550.137;1912.000;166.182;59.000;63.021;4300.001;9673.000;42.800;25.601;162.500
24-02-202315:46:41;62.000;99.000;37.000;5551.262;1920.000;167.032;60.000;62.760;4300.001;9632.000;40.800;27.286;162.400
24-02-202315:46:42;62.000;99.000;34.000;5531.949;1920.000;167.534;59.000;63.021;4300.002;9605.000;42.100;25.749;162.300
