Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202311:27:52;61.000;94.000;37.000;6573.238;1920.000;160.080;56.000;64.063;4300.001;11489.000;31.600;71.071;96.500
24-02-202311:27:53;61.000;93.000;36.000;6688.434;1905.000;160.468;59.000;76.302;4300.001;11508.000;33.700;47.808;96.400
24-02-202311:27:54;62.000;100.000;40.000;6768.691;1912.000;164.986;54.000;62.760;4300.001;11606.000;33.500;35.811;96.300
24-02-202311:27:55;61.000;93.000;37.000;6886.879;1920.000;160.529;58.000;61.002;4300.000;11543.000;30.300;50.677;96.300
24-02-202311:27:56;61.000;94.000;38.000;6963.441;1905.000;161.091;55.000;57.699;4300.000;11512.000;31.700;52.465;96.200
24-02-202311:27:57;62.000;100.000;42.000;6963.441;1912.000;167.320;50.000;45.864;4300.000;11495.000;32.100;35.967;96.200
24-02-202311:27:58;61.000;94.000;39.000;6979.566;1920.000;159.444;56.000;36.548;4300.001;11620.000;29.600;52.214;96.100
24-02-202311:27:59;62.000;100.000;43.000;6990.254;1920.000;160.625;53.000;48.958;4300.001;11604.000;31.400;51.596;96.000
24-02-202311:28:00;62.000;93.000;39.000;7001.254;1912.000;162.434;56.000;40.365;4300.000;11657.000;31.000;48.798;96.000
24-02-202311:28:01;61.000;99.000;43.000;7020.066;1912.000;161.309;54.000;47.917;4300.000;11763.000;31.800;50.169;95.900
24-02-202311:28:02;62.000;97.000;41.000;7020.066;1905.000;167.138;53.000;45.008;4300.001;11820.000;32.000;54.193;95.800
24-02-202311:28:03;62.000;98.000;41.000;6931.066;1920.000;162.936;58.000;52.865;4300.001;11873.000;30.100;57.053;95.800
24-02-202311:28:04;62.000;99.000;42.000;6931.066;1905.000;166.424;49.000;54.688;4299.999;11878.000;30.700;55.547;95.700
24-02-202311:28:05;62.000;97.000;42.000;6931.066;1920.000;160.808;52.000;42.708;4299.999;12038.000;29.700;55.853;95.600
24-02-202311:28:06;62.000;96.000;41.000;6947.191;1912.000;166.848;54.000;41.406;4300.001;12071.000;29.500;58.856;95.600
24-02-202311:28:07;62.000;97.000;43.000;6947.191;1912.000;161.323;48.000;40.104;4300.001;12079.000;30.100;57.789;95.500
24-02-202311:28:08;62.000;95.000;42.000;6952.566;1912.000;165.716;56.000;45.094;4300.000;12046.000;30.700;57.050;95.500
24-02-202311:28:10;62.000;98.000;45.000;6968.691;1897.000;166.458;58.000;43.880;4300.000;12126.000;34.300;53.403;95.300
24-02-202311:28:11;62.000;99.000;46.000;6979.691;1897.000;164.995;57.000;50.296;4300.000;12056.000;33.800;52.812;95.300
24-02-202311:28:12;62.000;97.000;46.000;6979.691;1897.000;168.626;53.000;38.167;4300.001;12054.000;31.600;55.703;95.200
24-02-202311:28:13;63.000;97.000;47.000;6979.691;1897.000;169.611;52.000;43.490;4300.001;12152.000;33.300;55.187;95.200
24-02-202311:28:14;62.000;97.000;46.000;6995.816;1905.000;169.407;57.000;41.571;4300.000;12065.000;32.200;55.161;95.100
24-02-202311:28:15;62.000;99.000;47.000;7011.816;1912.000;165.696;57.000;49.219;4300.000;12018.000;31.600;58.089;95.000
24-02-202311:28:16;62.000;99.000;47.000;6999.691;1897.000;169.537;54.000;41.146;4300.000;12147.000;32.900;55.854;95.000
24-02-202311:28:17;63.000;97.000;46.000;7015.691;1897.000;168.742;52.000;43.555;4300.001;12113.000;33.400;54.873;94.900
24-02-202311:28:18;63.000;99.000;46.000;7003.816;1897.000;167.454;54.000;41.146;4300.000;12058.000;33.100;54.341;94.900
24-02-202311:28:19;63.000;98.000;47.000;7019.816;1897.000;169.147;51.000;42.100;4300.000;11993.000;33.400;54.627;94.800
24-02-202311:28:20;63.000;99.000;47.000;7003.816;1905.000;168.402;57.000;43.490;4300.000;12148.000;34.100;52.638;94.700
24-02-202311:28:21;63.000;98.000;46.000;7009.316;1897.000;167.094;53.000;46.634;4300.000;12107.000;35.100;51.304;94.700
24-02-202311:28:22;63.000;99.000;47.000;7030.816;1897.000;171.700;53.000;43.422;4300.001;12056.000;35.200;52.150;94.600
