Datetime; GPU temperature;GPU usage;FB usage            ;Memory usage        ;Core clock          ;Memory clock        ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 11:35:01;62;99;29;3408.25;1920;7500.999;148.66;51;35.417;4300;10502;181.9;7.883;78.6
 24-02-2023 11:35:02;61;99;29;3408.25;1920;7500.999;148.749;53;46.615;4300.001;10565;177.5;7.149;78.7
 24-02-2023 11:35:03;61;99;29;3392.188;1920;7500.999;149.633;57;58.594;4300;10654;168.6;31.119;78.8
 24-02-2023 11:35:04;61;99;29;3456.188;1920;7500.999;147.079;56;64.323;4300;10724;166.3;21.134;78.8
 24-02-2023 11:35:05;61;99;29;3472.188;1920;7500.999;146.545;58;63.802;4300.001;10855;171.6;8.974;78.9
 24-02-2023 11:35:06;61;99;29;3476.188;1920;7500.999;147.316;58;66.927;4300.001;10951;172.9;8.895;79
 24-02-2023 11:35:07;61;99;29;3492.688;1920;7500.999;150.748;60;75;4300;11113;172.5;11.751;79
 24-02-2023 11:35:08;61;99;28;3544.938;1920;7500.999;144.17;56;68.75;4300;11192;168.6;11.36;79.1
 24-02-2023 11:35:09;55;81;2;4568.938;1920;7500.999;64.318;55;64.844;4300;11324;87.6;250.381;79.1
 24-02-2023 11:35:10;60;92;26;4412.938;1920;7500.999;142.774;57;67.708;4300.001;11427;89.1;487.579;79.1
 24-02-2023 11:35:11;60;99;27;4784.938;1920;7500.999;139.486;57;75.626;4300;11522;131.6;128.27;79.1
 24-02-2023 11:35:12;57;86;19;5061;1920;7500.999;117.049;57;81.493;4300.001;11581;147.4;42.338;79.2
 24-02-2023 11:35:13;53;7;1;5162.625;1935;7500.999;55.849;56;51.563;4300.001;11726;142.3;22.899;79.2
 24-02-2023 11:35:14;53;7;1;5706.309;1935;7500.999;55.867;56;76.823;4300;12149;3.9;1375.481;79.1
 24-02-2023 11:35:15;57;35;9;5954.09;1935;7500.999;96.983;60;63.542;4300;12027;8.3;563.363;79
 24-02-2023 11:35:16;60;89;30;6037.215;1920;7500.999;148.906;58;86.198;4300.001;11859;49.3;31.307;79
 24-02-2023 11:35:17;61;95;34;6170.902;1920;7500.999;160.098;58;82.292;4299.999;11921;51.6;26.246;79
 24-02-2023 11:35:18;60;93;34;6278.277;1920;7500.999;146.323;55;80.469;4299.999;11888;49;29.886;79
 24-02-2023 11:35:19;60;89;33;6365.465;1920;7500.999;151.957;58;79.688;4300.001;11842;50.7;27.884;78.9
 24-02-2023 11:35:20;61;98;37;6370.965;1920;7500.999;161.261;56;66.667;4299.999;11755;50.7;29.769;78.9
 24-02-2023 11:35:21;61;93;36;6370.965;1920;7500.999;154.754;56;60.232;4299.999;11867;50.6;26.885;78.9
 24-02-2023 11:35:22;61;96;37;6387.09;1920;7500.999;163.043;56;69.01;4300.001;11793;50.4;28.562;78.9
 24-02-2023 11:35:23;61;93;35;6408.777;1920;7500.999;155.254;54;60.156;4300.001;11798;50.4;32.165;78.9
 24-02-2023 11:35:24;61;91;34;6408.777;1920;7500.999;153.11;56;64.583;4300.001;11938;51.5;30.001;78.8
 24-02-2023 11:35:25;61;94;36;6424.777;1920;7500.999;152.008;57;67.188;4300.001;11983;51.2;29.962;78.8
 24-02-2023 11:35:26;61;93;35;6330.277;1920;7500.999;153.442;56;68.538;4300;12008;49.9;32.661;78.8
 24-02-2023 11:35:27;61;97;38;6330.277;1920;7500.999;161.75;57;59.115;4300;12051;50.9;29.658;78.8
 24-02-2023 11:35:28;61;94;37;6314.277;1920;7500.999;152.092;61;72.917;4300;12216;49.6;34.004;78.8
 24-02-2023 11:35:29;61;93;36;6330.277;1920;7500.999;151.893;54;73.06;4300;12205;48.3;32.546;78.7
 24-02-2023 11:35:30;61;94;38;6330.402;1920;7500.999;154.283;58;65.63;4300;12214;49.5;30.346;78.7
 24-02-2023 11:35:31;61;96;39;6330.402;1920;7500.999;157.235;60;58.333;4300;12244;51;30.798;78.7
 24-02-2023 11:35:32;61;95;38;6351.777;1920;7500.999;159.461;61;58.594;4300.001;12390;54.1;30.162;78.7
 24-02-2023 11:35:33;62;94;37;6355.902;1920;7500.999;154.17;57;58.594;4300.002;12315;54.5;30.687;78.7
 24-02-2023 11:35:34;61;93;37;6355.902;1920;7500.999;153.88;58;76.563;4300.002;12264;54.9;29.106;78.7
 24-02-2023 11:35:35;61;93;40;6366.902;1920;7500.999;157.26;56;63.542;4300;12375;55.5;31.646;78.6
 24-02-2023 11:35:36;62;96;41;6383.027;1920;7500.999;159.189;57;62.76;4300;12369;56.6;29.088;78.6
 24-02-2023 11:35:37;62;97;42;6383.027;1920;7500.999;162.764;54;56.25;4300;12289;56.9;29.6;78.6
 24-02-2023 11:35:38;62;96;42;6383.027;1920;7500.999;160.035;56;64.323;4299.999;12253;57.3;29.151;78.6
 24-02-2023 11:35:39;62;96;43;6407.34;1920;7500.999;160.554;54;62.5;4300.001;12396;57.5;30.146;78.6
 24-02-2023 11:35:40;62;97;43;6407.34;1912;7500.999;162.913;58;62.24;4300.001;12343;59.4;28.922;78.6
 24-02-2023 11:35:41;62;98;44;6407.34;1920;7500.999;162.107;58;56.771;4300;12288;60;28.752;78.6
 24-02-2023 11:35:42;61;96;43;6407.34;1920;7500.999;160.242;61;60.156;4300;12232;58.9;28.39;78.5
 24-02-2023 11:35:43;61;94;42;6407.34;1920;7500.999;156.526;55;62.24;4300;12380;59.3;28.052;78.5
 24-02-2023 11:35:44;62;97;43;6407.34;1920;7500.999;158.606;60;66.146;4300.002;12331;60.7;27.562;78.5
 24-02-2023 11:35:45;62;96;42;6428.965;1920;7500.999;158.121;56;64.063;4300.002;12281;60;27.305;78.5
 24-02-2023 11:35:46;62;96;40;6439.965;1920;7500.999;157.894;59;71.875;4299.999;12238;59.8;26.514;78.5
 24-02-2023 11:35:47;61;97;39;6439.965;1920;7500.999;160.157;57;59.115;4299.999;12378;57.9;28.387;78.5
 24-02-2023 11:35:48;61;95;37;6461.59;1920;7500.999;158.384;61;68.49;4300.002;12310;53.9;29.086;78.5
 24-02-2023 11:35:49;61;92;34;6441.277;1920;7500.999;153.764;53;65.104;4300.002;12279;49.2;24.17;78.4
 24-02-2023 11:35:50;61;88;33;6457.23;1920;7500.999;149.191;58;64.583;4300;12371;47.9;30.513;78.4
 24-02-2023 11:35:51;61;94;36;6433.23;1920;7500.999;156.721;56;64.583;4300;12383;48.3;31.488;78.4
 24-02-2023 11:35:52;61;90;35;6426.918;1920;7500.999;153.179;57;59.115;4300;12313;46.4;31.284;78.4
 24-02-2023 11:35:53;61;90;35;6309.918;1920;7500.999;150.529;56;64.594;4300;12276;47.9;31.734;78.4
 24-02-2023 11:35:54;61;99;39;6310.418;1920;7500.999;159.079;56;69.067;4300.001;12413;46.8;30.46;78.3
 24-02-2023 11:35:55;61;90;34;6309.918;1920;7500.999;149.459;54;64.323;4299.999;12333;45.1;24.921;78.3
 24-02-2023 11:35:56;61;90;35;6309.918;1920;7500.999;154.754;58;67.448;4299.999;12317;47.3;30.831;78.3
 24-02-2023 11:35:57;62;95;37;6310.418;1920;7500.999;152.269;60;67.708;4300.001;12351;46.7;30.952;78.3
 24-02-2023 11:35:58;61;100;38;6315.418;1920;7500.999;158.854;61;69.792;4300.001;12420;46.9;32.129;78.3
 24-02-2023 11:35:59;62;95;37;6315.418;1920;7500.999;156.973;58;71.615;4300.001;12336;47.3;31.845;78.2
 24-02-2023 11:36:00;61;93;35;6315.418;1920;7500.999;150.686;55;69.531;4300;12277;47.8;29.765;78.2
 24-02-2023 11:36:01;61;95;37;6315.418;1920;7500.999;152.63;54;73.177;4300;12375;49.1;29.689;78.2
 24-02-2023 11:36:02;62;95;37;6315.418;1920;7500.999;159.491;57;64.844;4300;12413;49.2;30.359;78.2
 24-02-2023 11:36:03;61;96;37;6315.418;1920;7500.999;156.507;55;63.021;4300;12339;48.8;27.056;78.2
 24-02-2023 11:36:04;61;93;36;6315.418;1920;7500.999;153.062;57;63.021;4300.001;12327;48.9;29.306;78.1
 24-02-2023 11:36:05;62;93;36;6315.418;1920;7500.999;150.307;62;69.01;4300.001;12415;50.1;30.324;78.1
 24-02-2023 11:36:06;61;93;35;6315.418;1920;7500.999;151.187;60;67.448;4300.001;12343;48.7;31.993;78.1
 24-02-2023 11:36:07;62;90;34;6321.746;1920;7500.999;150.491;56;66.927;4300.001;12320;48.2;31.868;78.1
 24-02-2023 11:36:08;62;95;35;6321.137;1920;7500.999;149.617;58;65.625;4300;12339;49.5;29.964;78.1
 24-02-2023 11:36:09;62;93;34;6465.137;1920;7500.999;154.4;55;62.24;4300;12411;48.6;31.844;78
 24-02-2023 11:36:10;61;93;34;6465.199;1920;7500.999;154.775;58;72.656;4300;12328;48.2;29.264;78
 24-02-2023 11:36:11;62;93;34;6465.199;1920;7500.999;155.451;55;66.927;4300;12295;48.1;33.251;78
 24-02-2023 11:36:12;61;90;33;6476.137;1920;7500.999;151.075;57;65.885;4300.001;12328;46.6;33.076;78
 24-02-2023 11:36:13;62;95;35;6476.262;1920;7500.999;154.313;60;67.416;4300.001;12407;47.6;30.648;78
 24-02-2023 11:36:14;61;92;33;6476.137;1920;7500.999;153.545;57;69.01;4300;12142;46;31.267;77.9
 24-02-2023 11:36:15;61;91;33;6476.137;1920;7500.999;150.882;56;71.447;4300;12171;47.2;29.838;77.9
 24-02-2023 11:36:16;62;91;32;6511.074;1920;7500.999;151.348;61;70.052;4300;12256;47;28.716;77.9
 24-02-2023 11:36:17;61;91;33;6511.074;1920;7500.999;151.785;59;71.094;4300;12357;47.3;29.931;77.9
 24-02-2023 11:36:18;61;94;35;6511.074;1920;7500.999;152.644;57;73.958;4300;12235;47.4;30.47;77.9
 24-02-2023 11:36:19;61;95;36;6511.074;1920;7500.999;153.136;61;62.24;4300.001;12219;47.8;29.65;77.8
 24-02-2023 11:36:20;61;93;36;6511.012;1920;7500.999;152.247;57;71.354;4300.001;12337;47.2;30.975;77.8
 24-02-2023 11:36:21;61;93;35;6516.637;1920;7500.999;154.346;58;67.969;4300.001;12281;46.6;31.968;77.8
 24-02-2023 11:36:22;61;96;37;6517.012;1920;7500.999;159.688;59;81.784;4300;11992;47.4;29.799;77.8
 24-02-2023 11:36:23;61;94;36;6516.512;1920;7500.999;153.98;62;84.666;4299.969;11801;47.8;30.686;77.8
 24-02-2023 11:36:24;61;93;35;6517.074;1920;7500.999;155.781;59;88.281;4299.969;11741;48.5;28.479;77.7
 24-02-2023 11:36:25;61;89;34;6532.637;1920;7500.999;147.521;57;78.646;4300.017;11539;46.9;29.19;77.7
 24-02-2023 11:36:26;61;86;33;6532.699;1920;7500.999;151.217;56;84.896;4300.017;11331;46.8;33.996;77.7
 24-02-2023 11:36:27;61;93;36;6532.699;1920;7500.999;152.395;59;86.658;4300.001;11219;45.9;30.824;77.7
 24-02-2023 11:36:28;61;93;37;6562.574;1920;7500.999;154.097;60;84.896;4300;11262;45.3;29.54;77.7
 24-02-2023 11:36:29;62;96;37;6562.574;1920;7500.999;154.701;58;65.885;4300;11140;47.3;30.352;77.6
