Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202311:42:27;61.000;90.000;33.000;6366.516;1920.000;159.354;56.000;73.826;4300.001;10358.000;46.100;37.334;84.300
24-02-202311:42:28;61.000;92.000;34.000;6482.203;1920.000;151.724;58.000;72.547;4300.001;10340.000;44.400;31.920;84.200
24-02-202311:42:29;61.000;99.000;38.000;6402.828;1920.000;154.336;56.000;63.780;4300.001;10248.000;44.900;35.741;84.200
24-02-202311:42:30;61.000;95.000;38.000;6402.828;1920.000;155.019;58.000;54.427;4300.001;10295.000;45.500;34.640;84.200
24-02-202311:42:31;61.000;90.000;35.000;6418.953;1920.000;156.117;57.000;57.666;4300.000;10334.000;44.100;34.954;84.200
24-02-202311:42:32;61.000;98.000;38.000;6429.641;1920.000;158.957;57.000;61.198;4300.000;10385.000;45.600;35.035;84.200
24-02-202311:42:33;62.000;97.000;38.000;6429.641;1920.000;163.005;58.000;56.771;4300.000;10434.000;46.000;33.531;84.100
24-02-202311:42:34;62.000;95.000;37.000;6429.641;1920.000;156.255;56.000;63.021;4300.000;10498.000;44.700;34.594;84.100
24-02-202311:42:35;62.000;95.000;37.000;6451.141;1920.000;158.424;61.000;64.044;4300.001;10562.000;46.000;36.414;84.100
24-02-202311:42:36;62.000;94.000;38.000;6435.141;1920.000;155.559;57.000;53.561;4299.999;10686.000;44.600;36.225;84.100
24-02-202311:42:37;62.000;95.000;38.000;6435.141;1920.000;159.835;55.000;61.458;4300.001;10729.000;44.700;35.989;84.100
24-02-202311:42:38;62.000;96.000;38.000;6435.141;1920.000;159.457;57.000;61.458;4299.999;10767.000;43.900;35.524;84.000
24-02-202311:42:39;62.000;97.000;40.000;6470.078;1920.000;157.172;56.000;53.997;4299.999;10778.000;43.900;36.403;84.000
24-02-202311:42:40;62.000;98.000;41.000;6470.078;1920.000;164.809;59.000;53.646;4300.001;10936.000;45.100;36.010;84.000
24-02-202311:42:41;62.000;96.000;39.000;6491.453;1920.000;160.829;54.000;60.745;4300.000;10947.000;46.900;37.817;84.000
24-02-202311:42:42;62.000;97.000;40.000;6491.453;1920.000;161.376;57.000;65.102;4300.001;10911.000;49.600;34.136;84.000
24-02-202311:42:43;62.000;95.000;39.000;6502.453;1920.000;163.958;59.000;62.760;4300.001;11053.000;49.900;34.776;83.900
24-02-202311:42:44;62.000;96.000;42.000;6502.453;1912.000;164.759;57.000;59.115;4300.000;11008.000;49.700;34.413;83.900
24-02-202311:42:45;63.000;96.000;43.000;6518.578;1920.000;162.229;57.000;65.876;4300.000;10920.000;48.800;33.483;83.900
24-02-202311:42:46;62.000;98.000;44.000;6518.578;1912.000;165.294;55.000;58.073;4300.000;10876.000;49.600;35.783;83.900
24-02-202311:42:47;63.000;96.000;43.000;6534.703;1920.000;158.989;57.000;59.021;4300.000;11019.000;49.400;36.283;83.900
24-02-202311:42:48;62.000;98.000;45.000;6534.703;1912.000;164.845;54.000;54.427;4300.000;10966.000;49.700;33.534;83.900
24-02-202311:42:49;62.000;98.000;45.000;6534.703;1920.000;164.557;57.000;64.583;4300.000;10915.000;51.300;35.201;83.800
24-02-202311:42:50;63.000;97.000;44.000;6534.703;1920.000;162.716;56.000;60.938;4300.000;10859.000;52.300;32.877;83.800
24-02-202311:42:51;63.000;95.000;43.000;6538.828;1920.000;158.970;55.000;67.969;4300.000;11004.000;50.700;33.721;83.800
24-02-202311:42:52;63.000;98.000;45.000;6538.828;1920.000;164.509;54.000;58.594;4300.000;10953.000;52.600;34.453;83.800
24-02-202311:42:53;62.000;97.000;44.000;6544.328;1920.000;161.535;57.000;61.198;4300.000;10902.000;52.500;32.597;83.800
24-02-202311:42:54;63.000;97.000;43.000;6555.328;1920.000;162.353;57.000;61.719;4300.000;10891.000;53.800;32.046;83.800
24-02-202311:42:55;62.000;96.000;41.000;6560.828;1920.000;161.177;57.000;75.781;4300.001;10999.000;52.500;32.562;83.700
24-02-202311:42:56;63.000;96.000;40.000;6560.828;1920.000;161.423;59.000;74.219;4300.001;10957.000;50.600;34.826;83.700
24-02-202311:42:57;63.000;96.000;39.000;6576.953;1920.000;164.270;53.000;64.583;4300.000;10894.000;48.300;33.656;83.700
24-02-202311:42:58;62.000;92.000;36.000;6577.078;1920.000;153.845;55.000;58.333;4300.000;10995.000;44.700;34.205;83.700
24-02-202311:42:59;62.000;94.000;36.000;6564.203;1920.000;154.239;54.000;58.594;4300.000;11000.000;43.800;31.460;83.700
24-02-202311:43:00;62.000;92.000;36.000;6544.203;1920.000;147.667;54.000;60.938;4300.000;10947.000;43.800;34.493;83.600
24-02-202311:43:01;63.000;99.000;39.000;6541.078;1920.000;162.417;58.000;62.760;4300.000;10891.000;42.600;34.555;83.600
24-02-202311:43:02;62.000;95.000;39.000;6423.578;1920.000;159.155;57.000;64.844;4300.001;11047.000;41.700;35.751;83.600
24-02-202311:43:03;62.000;94.000;39.000;6424.078;1920.000;155.920;60.000;59.719;4300.001;10981.000;42.100;39.363;83.600
24-02-202311:43:04;63.000;100.000;40.000;6423.578;1920.000;161.958;55.000;69.271;4300.000;10914.000;43.700;25.149;83.600
24-02-202311:43:05;62.000;96.000;39.000;6423.578;1920.000;158.208;53.000;62.240;4300.001;10858.000;43.100;36.057;83.500
24-02-202311:43:06;63.000;98.000;40.000;6423.578;1920.000;161.903;57.000;57.699;4300.001;11016.000;41.400;38.642;83.500
24-02-202311:43:07;62.000;92.000;36.000;6423.578;1920.000;154.921;57.000;60.745;4300.001;10955.000;40.900;37.323;83.500
24-02-202311:43:08;62.000;97.000;39.000;6439.578;1920.000;160.557;59.000;54.262;4300.000;10892.000;41.200;37.581;83.500
24-02-202311:43:09;62.000;95.000;37.000;6423.578;1920.000;154.964;55.000;63.567;4300.000;10918.000;42.600;36.325;83.400
24-02-202311:43:10;62.000;91.000;36.000;6423.578;1920.000;149.774;58.000;55.584;4300.001;11021.000;43.500;35.182;83.400
24-02-202311:43:11;62.000;95.000;38.000;6423.641;1920.000;161.253;58.000;64.323;4300.001;10946.000;42.900;34.429;83.400
24-02-202311:43:12;62.000;92.000;36.000;6429.078;1920.000;155.905;60.000;63.802;4300.000;10888.000;43.500;32.955;83.400
24-02-202311:43:13;62.000;91.000;37.000;6429.578;1920.000;151.119;52.000;61.198;4300.000;11007.000;43.500;34.514;83.400
24-02-202311:43:14;62.000;93.000;37.000;6429.078;1920.000;154.727;59.000;64.844;4300.000;11004.000;44.200;34.131;83.300
24-02-202311:43:15;62.000;92.000;37.000;6429.141;1920.000;152.685;60.000;60.677;4300.000;10965.000;43.400;31.270;83.300
24-02-202311:43:16;62.000;95.000;38.000;6429.578;1920.000;153.758;58.000;61.719;4300.001;10989.000;43.800;32.850;83.300
24-02-202311:43:17;62.000;95.000;37.000;6429.359;1920.000;154.877;54.000;62.500;4299.999;11009.000;43.700;34.556;83.300
24-02-202311:43:18;62.000;96.000;36.000;6573.297;1920.000;161.501;54.000;63.542;4299.999;10993.000;44.500;31.946;83.300
24-02-202311:43:19;62.000;93.000;35.000;6573.297;1920.000;155.441;58.000;60.156;4300.001;10882.000;43.600;34.025;83.200
24-02-202311:43:20;62.000;93.000;36.000;6573.359;1920.000;152.174;60.000;60.417;4300.001;10940.000;44.200;32.783;83.200
24-02-202311:43:21;62.000;93.000;36.000;6573.234;1920.000;154.621;55.000;66.406;4300.000;11034.000;42.800;35.968;83.200
24-02-202311:43:22;62.000;99.000;38.000;6605.984;1920.000;160.992;58.000;63.567;4300.000;10825.000;41.800;34.540;83.200
24-02-202311:43:23;62.000;94.000;36.000;6605.984;1920.000;151.479;56.000;61.929;4300.000;10829.000;42.300;32.940;83.200
24-02-202311:43:24;62.000;92.000;35.000;6605.984;1920.000;151.357;57.000;62.500;4300.001;10936.000;43.000;33.798;83.100
24-02-202311:43:25;62.000;93.000;35.000;6624.734;1920.000;154.744;60.000;63.021;4300.000;11003.000;43.600;35.340;83.100
24-02-202311:43:26;62.000;96.000;37.000;6624.797;1920.000;160.722;60.000;59.375;4300.000;10952.000;42.500;33.847;83.100
24-02-202311:43:27;63.000;99.000;39.000;6640.797;1920.000;163.917;58.000;67.188;4300.000;10931.000;43.700;29.305;83.100
24-02-202311:43:28;62.000;91.000;36.000;6640.922;1920.000;154.179;59.000;67.188;4300.000;10860.000;42.900;32.374;83.100
24-02-202311:43:29;63.000;94.000;38.000;6640.797;1920.000;155.271;57.000;66.406;4300.000;10908.000;43.700;32.984;83.000
24-02-202311:43:30;63.000;92.000;37.000;6640.797;1920.000;157.640;55.000;54.688;4300.000;10898.000;42.300;27.050;83.000
24-02-202311:43:31;62.000;95.000;38.000;6641.797;1920.000;154.485;59.000;66.390;4300.001;10915.000;43.100;35.328;83.000
24-02-202311:43:32;62.000;90.000;35.000;6640.797;1920.000;154.773;56.000;59.021;4300.000;11048.000;41.900;37.289;83.000
24-02-202311:43:33;62.000;94.000;37.000;6640.859;1920.000;161.085;56.000;63.542;4300.000;10823.000;42.500;35.628;83.000
24-02-202311:43:34;63.000;92.000;37.000;6640.922;1920.000;158.672;57.000;61.979;4300.001;10848.000;44.100;34.204;82.900
24-02-202311:43:35;62.000;89.000;35.000;6640.797;1920.000;155.092;61.000;63.281;4300.000;10905.000;42.200;32.493;82.900
24-02-202311:43:36;62.000;91.000;37.000;6640.922;1920.000;152.040;58.000;60.677;4300.000;10998.000;42.700;30.829;82.900
24-02-202311:43:37;62.000;91.000;37.000;6676.109;1920.000;150.539;59.000;68.229;4300.000;10834.000;41.800;35.231;82.900
24-02-202311:43:38;63.000;96.000;39.000;6676.109;1920.000;159.912;60.000;60.677;4300.000;10792.000;41.800;35.603;82.900
24-02-202311:43:39;62.000;92.000;36.000;6814.297;1920.000;147.622;57.000;64.063;4300.001;10875.000;40.700;37.835;82.800
24-02-202311:43:40;62.000;93.000;36.000;6831.297;1920.000;151.272;61.000;59.375;4300.000;10956.000;42.500;34.072;82.800
24-02-202311:43:41;62.000;99.000;38.000;6863.109;1920.000;160.503;56.000;64.323;4300.000;10911.000;42.700;28.382;82.800
24-02-202311:43:42;63.000;100.000;38.000;6863.109;1920.000;160.421;56.000;58.436;4300.001;10873.000;43.500;32.370;82.800
24-02-202311:43:43;63.000;100.000;39.000;6862.609;1920.000;162.200;57.000;63.802;4300.000;10961.000;43.900;34.256;82.800
24-02-202311:43:44;62.000;93.000;36.000;6895.172;1920.000;153.903;61.000;59.635;4300.000;10890.000;42.800;33.224;82.700
24-02-202311:43:45;62.000;94.000;37.000;6895.672;1920.000;150.601;56.000;59.896;4300.001;10906.000;42.600;36.314;82.700
24-02-202311:43:46;62.000;89.000;34.000;6894.609;1920.000;148.914;55.000;62.240;4300.001;10938.000;42.300;34.501;82.700
24-02-202311:43:47;63.000;93.000;36.000;6899.297;1920.000;158.365;54.000;59.285;4300.000;11082.000;42.600;35.611;82.700
24-02-202311:43:48;62.000;89.000;34.000;6899.734;1920.000;151.340;59.000;60.938;4300.000;11027.000;41.700;37.187;82.700
24-02-202311:43:49;62.000;88.000;33.000;6903.234;1920.000;146.897;57.000;59.896;4300.001;10931.000;43.700;31.349;82.600
24-02-202311:43:50;63.000;99.000;37.000;6893.234;1920.000;161.748;56.000;70.573;4300.001;10978.000;49.700;25.245;82.600
24-02-202311:43:51;62.000;94.000;35.000;6893.234;1920.000;156.798;56.000;67.188;4300.000;11025.000;45.800;32.236;82.600
24-02-202311:43:52;62.000;88.000;33.000;6887.609;1920.000;152.673;59.000;66.667;4300.000;10962.000;46.000;32.419;82.600
24-02-202311:43:53;63.000;99.000;39.000;6759.609;1920.000;161.578;58.000;63.021;4300.000;10894.000;45.900;28.492;82.600
24-02-202311:43:54;62.000;99.000;39.000;6770.609;1920.000;158.972;59.000;70.313;4300.001;10984.000;47.500;31.681;82.500
24-02-202311:43:55;62.000;95.000;38.000;6770.609;1920.000;152.903;57.000;61.719;4300.001;11043.000;43.800;31.666;82.500
24-02-202311:43:56;63.000;99.000;40.000;6918.359;1920.000;162.099;59.000;62.798;4300.001;10975.000;42.900;29.304;82.500
24-02-202311:43:57;62.000;88.000;35.000;6922.359;1920.000;150.867;58.000;69.860;4299.999;10954.000;40.400;33.143;82.500
24-02-202311:43:58;62.000;85.000;34.000;6926.422;1920.000;146.203;56.000;64.063;4299.999;11058.000;40.700;32.614;82.500
24-02-202311:43:59;62.000;99.000;40.000;6926.422;1920.000;157.625;59.000;82.552;4300.001;10811.000;40.200;34.893;82.400
24-02-202311:44:00;62.000;90.000;36.000;6926.422;1920.000;149.869;56.000;66.927;4300.001;10803.000;38.800;35.826;82.400
24-02-202311:44:01;63.000;99.000;39.000;6932.047;1920.000;157.774;58.000;71.354;4300.000;10831.000;42.500;34.301;82.400
24-02-202311:44:02;61.000;86.000;34.000;6950.859;1920.000;144.847;61.000;57.923;4300.001;10972.000;39.800;32.116;82.400
24-02-202311:44:03;61.000;84.000;33.000;6952.359;1920.000;143.632;57.000;64.837;4300.001;10973.000;41.000;32.345;82.400
24-02-202311:44:04;62.000;95.000;38.000;6968.484;1920.000;150.406;60.000;66.146;4300.001;10815.000;43.800;34.269;82.300
24-02-202311:44:05;61.000;84.000;33.000;6979.672;1920.000;142.507;54.000;65.107;4300.001;10828.000;39.400;34.845;82.300
24-02-202311:44:06;62.000;95.000;38.000;6980.609;1920.000;155.808;62.000;60.607;4300.000;10938.000;42.900;31.596;82.300
24-02-202311:44:07;61.000;89.000;35.000;6984.359;1920.000;144.402;58.000;65.104;4300.000;10945.000;42.700;33.567;82.300
24-02-202311:44:08;62.000;94.000;36.000;6993.984;1920.000;154.541;60.000;63.542;4300.001;10884.000;46.000;31.112;82.300
24-02-202311:44:09;62.000;95.000;36.000;7012.797;1920.000;149.993;59.000;70.052;4300.000;10963.000;47.200;30.544;82.200
24-02-202311:44:10;61.000;84.000;32.000;7023.797;1920.000;140.704;58.000;72.917;4300.000;10919.000;46.600;31.028;82.200
24-02-202311:44:11;61.000;87.000;34.000;7025.297;1920.000;145.360;58.000;62.500;4300.000;10939.000;42.800;30.253;82.200
24-02-202311:44:12;61.000;85.000;33.000;7023.797;1920.000;143.892;59.000;62.500;4300.000;10914.000;43.200;29.222;82.200
24-02-202311:44:13;61.000;87.000;34.000;7022.672;1920.000;147.863;61.000;64.323;4300.001;10974.000;44.600;34.278;82.200
24-02-202311:44:14;62.000;95.000;37.000;7022.672;1920.000;153.363;58.000;68.699;4300.001;10973.000;45.900;30.556;82.100
24-02-202311:44:15;61.000;80.000;32.000;7030.859;1920.000;150.438;60.000;74.619;4300.001;10951.000;44.700;54.738;82.100
24-02-202311:44:16;61.000;93.000;36.000;7029.566;1920.000;145.635;55.000;69.010;4300.001;10946.000;47.900;31.167;82.100
24-02-202311:44:17;61.000;85.000;32.000;7049.816;1920.000;143.397;55.000;73.698;4300.000;11058.000;45.200;25.497;82.100
24-02-202311:44:18;62.000;95.000;35.000;7055.316;1920.000;153.756;56.000;74.856;4300.002;10975.000;49.400;25.682;82.100
24-02-202311:44:19;62.000;96.000;35.000;7055.316;1920.000;154.092;60.000;78.056;4300.002;10930.000;53.100;24.994;82.100
24-02-202311:44:20;61.000;94.000;35.000;7055.316;1920.000;152.977;57.000;76.563;4300.000;10982.000;52.200;29.156;82.000
24-02-202311:44:21;62.000;97.000;36.000;7067.691;1920.000;154.776;60.000;77.344;4299.999;11046.000;50.700;25.564;82.000
24-02-202311:44:22;61.000;85.000;31.000;7080.691;1920.000;142.720;59.000;66.390;4300.001;10954.000;47.400;26.060;82.000
24-02-202311:44:23;62.000;93.000;33.000;7094.816;1920.000;148.552;61.000;74.355;4300.002;10917.000;51.500;26.762;82.000
