Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202312:30:16;60.000;89.000;30.000;5870.605;1920.000;145.421;58.000;74.355;4299.999;12209.000;55.100;27.105;202.300
24-02-202312:30:17;60.000;90.000;31.000;5948.980;1920.000;148.759;54.000;83.854;4299.995;12272.000;54.700;24.409;200.900
24-02-202312:30:18;60.000;91.000;32.000;5993.926;1920.000;142.183;54.000;89.844;4299.995;12321.000;54.500;28.269;199.600
24-02-202312:30:19;60.000;94.000;35.000;5904.934;1920.000;153.345;55.000;85.156;4300.001;12385.000;54.300;25.011;198.200
24-02-202312:30:20;60.000;92.000;33.000;5934.449;1920.000;146.599;54.000;88.542;4299.999;12384.000;53.700;25.123;196.900
24-02-202312:30:21;60.000;90.000;33.000;5945.457;1920.000;153.728;55.000;85.156;4299.999;12527.000;56.500;24.203;195.700
24-02-202312:30:22;60.000;93.000;34.000;5945.480;1920.000;155.897;56.000;83.073;4299.999;12563.000;55.800;25.845;194.400
24-02-202312:30:23;60.000;79.000;29.000;5961.605;1920.000;147.795;51.000;76.909;4300.000;12291.000;55.400;29.285;193.200
24-02-202312:30:24;61.000;94.000;35.000;5961.605;1920.000;153.578;53.000;69.067;4299.998;12001.000;56.900;31.276;192.000
24-02-202312:30:25;61.000;94.000;36.000;5961.605;1920.000;158.180;49.000;59.375;4299.998;12139.000;56.700;24.299;190.900
24-02-202312:30:26;60.000;91.000;35.000;5961.605;1920.000;152.754;54.000;62.500;4299.999;12163.000;55.500;24.392;189.700
24-02-202312:30:27;61.000;92.000;35.000;5961.605;1920.000;153.588;54.000;59.115;4299.999;12169.000;56.200;23.382;188.600
24-02-202312:30:28;60.000;92.000;36.000;5961.605;1920.000;149.660;53.000;59.896;4299.999;12219.000;56.400;23.982;187.500
24-02-202312:30:29;60.000;95.000;38.000;5988.418;1920.000;145.453;55.000;65.885;4299.999;12345.000;57.300;23.228;186.400
24-02-202312:30:30;61.000;92.000;35.000;5999.105;1920.000;153.446;53.000;61.198;4299.999;12281.000;60.000;23.540;185.400
24-02-202312:30:31;61.000;95.000;36.000;5999.105;1920.000;156.459;50.000;63.021;4299.999;12216.000;60.300;22.191;184.300
24-02-202312:30:32;61.000;94.000;36.000;5999.105;1920.000;153.745;49.000;59.635;4299.999;12380.000;62.700;20.657;183.300
24-02-202312:30:33;61.000;93.000;38.000;6010.105;1920.000;150.494;51.000;67.708;4299.999;12324.000;61.100;23.062;182.300
24-02-202312:30:34;61.000;94.000;38.000;6026.230;1920.000;153.639;53.000;67.188;4299.999;12211.000;62.100;20.967;181.400
24-02-202312:30:35;61.000;94.000;39.000;6026.230;1920.000;152.010;51.000;42.969;4299.999;12211.000;63.600;21.161;180.400
24-02-202312:30:36;61.000;96.000;41.000;6026.230;1920.000;155.520;52.000;51.302;4299.999;12352.000;64.900;21.197;179.500
24-02-202312:30:37;61.000;95.000;41.000;6031.730;1920.000;153.639;55.000;71.615;4299.999;12302.000;63.500;21.385;178.600
24-02-202312:30:38;61.000;93.000;40.000;6031.730;1920.000;156.705;54.000;69.271;4299.999;12281.000;65.500;21.496;177.800
24-02-202312:30:39;61.000;96.000;41.000;6031.730;1920.000;152.558;54.000;68.750;4300.000;12260.000;68.000;19.772;176.900
24-02-202312:30:40;61.000;94.000;41.000;6035.855;1920.000;156.159;52.000;58.594;4300.000;12409.000;66.900;19.762;176.100
24-02-202312:30:41;61.000;93.000;41.000;6039.980;1920.000;155.497;52.000;65.104;4299.999;12344.000;67.800;21.328;175.300
24-02-202312:30:42;61.000;71.000;31.000;6039.980;1920.000;152.584;53.000;63.802;4299.999;12261.000;66.100;62.312;174.400
24-02-202312:30:43;61.000;95.000;40.000;6080.418;1920.000;154.455;53.000;71.264;4299.999;12297.000;69.500;20.181;173.700
24-02-202312:30:44;61.000;96.000;39.000;6091.418;1920.000;155.986;53.000;66.159;4299.999;12375.000;69.300;20.469;172.900
24-02-202312:30:45;61.000;95.000;37.000;6107.543;1920.000;153.265;53.000;69.792;4299.999;12241.000;65.700;21.614;172.100
24-02-202312:30:46;61.000;94.000;35.000;6107.543;1920.000;152.773;53.000;61.198;4299.999;12161.000;59.900;23.040;171.300
24-02-202312:30:47;61.000;93.000;33.000;6098.168;1920.000;153.965;54.000;61.719;4299.999;12300.000;55.900;24.808;170.400
24-02-202312:30:48;61.000;95.000;34.000;6098.223;1920.000;145.856;54.000;65.885;4299.999;12241.000;55.800;24.886;169.600
24-02-202312:30:49;61.000;92.000;33.000;6096.223;1920.000;150.481;54.000;61.458;4300.000;12240.000;53.400;24.916;168.800
24-02-202312:30:50;61.000;91.000;33.000;6102.348;1920.000;145.738;55.000;57.031;4300.000;12049.000;51.600;24.591;168.000
24-02-202312:30:51;61.000;92.000;35.000;5973.855;1920.000;146.834;52.000;71.354;4299.999;12200.000;51.100;25.554;167.200
24-02-202312:30:52;62.000;92.000;35.000;5990.355;1920.000;154.276;53.000;62.284;4299.999;12209.000;52.800;29.611;166.300
24-02-202312:30:53;61.000;93.000;34.000;5990.355;1920.000;144.704;54.000;87.500;4300.000;12227.000;51.000;32.908;165.500
24-02-202312:30:54;61.000;93.000;34.000;5990.355;1920.000;148.915;53.000;72.240;4299.998;12160.000;52.600;30.928;164.800
24-02-202312:30:55;62.000;93.000;35.000;5990.355;1920.000;154.645;56.000;63.021;4299.998;12234.000;51.500;30.667;164.000
24-02-202312:30:56;61.000;91.000;33.000;5995.855;1920.000;153.729;53.000;61.771;4299.999;12260.000;50.400;28.781;163.200
24-02-202312:30:57;61.000;90.000;33.000;5995.855;1920.000;148.662;54.000;65.104;4299.999;12200.000;52.100;29.005;162.500
24-02-202312:30:58;62.000;98.000;35.000;5995.855;1920.000;152.165;54.000;60.156;4299.999;12303.000;54.500;26.412;161.700
24-02-202312:30:59;62.000;92.000;34.000;5995.855;1920.000;157.633;52.000;62.986;4299.999;12311.000;52.800;25.524;161.000
24-02-202312:31:00;62.000;95.000;35.000;6006.855;1920.000;158.199;56.000;65.365;4299.999;12215.000;55.600;26.185;160.300
24-02-202312:31:01;61.000;91.000;34.000;6006.855;1920.000;146.061;57.000;71.354;4299.999;12198.000;52.600;26.683;159.600
24-02-202312:31:02;62.000;89.000;33.000;6006.855;1920.000;150.193;53.000;64.905;4299.999;12365.000;53.700;28.283;158.900
24-02-202312:31:03;62.000;95.000;35.000;6007.809;1920.000;146.670;52.000;67.096;4300.000;12189.000;54.300;25.779;158.200
24-02-202312:31:04;61.000;97.000;36.000;6006.934;1920.000;151.860;52.000;67.188;4300.000;12190.000;54.400;25.476;157.600
24-02-202312:31:05;62.000;96.000;36.000;6012.434;1920.000;145.207;58.000;63.542;4299.999;12199.000;53.000;27.242;156.900
24-02-202312:31:06;62.000;96.000;35.000;6124.934;1920.000;148.731;52.000;65.625;4299.999;12189.000;53.000;26.585;156.200
24-02-202312:31:07;62.000;94.000;33.000;6140.559;1920.000;151.856;57.000;73.438;4299.999;12190.000;53.800;27.722;155.600
24-02-202312:31:08;62.000;94.000;33.000;6140.559;1920.000;150.195;53.000;71.875;4299.999;12078.000;53.700;24.444;154.900
24-02-202312:31:09;61.000;94.000;33.000;6140.559;1920.000;151.237;53.000;64.844;4299.999;12062.000;52.600;26.697;154.300
24-02-202312:31:10;62.000;86.000;31.000;6151.559;1920.000;154.084;55.000;64.323;4299.999;12185.000;51.900;27.178;153.700
24-02-202312:31:11;62.000;90.000;32.000;6151.496;1920.000;148.967;54.000;71.615;4299.999;12101.000;50.800;29.278;153.000
24-02-202312:31:12;62.000;95.000;33.000;6151.496;1920.000;154.567;53.000;66.667;4300.000;12084.000;51.600;25.686;152.400
24-02-202312:31:13;62.000;98.000;34.000;6155.559;1920.000;148.634;54.000;76.042;4299.998;12163.000;51.800;27.465;151.800
24-02-202312:31:14;62.000;87.000;30.000;6190.559;1920.000;148.770;57.000;68.490;4299.997;12052.000;50.700;27.865;151.200
24-02-202312:31:15;62.000;90.000;31.000;6190.496;1920.000;153.672;55.000;65.104;4300.002;12056.000;51.500;27.029;150.600
24-02-202312:31:16;62.000;92.000;33.000;6192.309;1920.000;155.899;53.000;71.615;4300.002;11972.000;51.200;27.197;150.000
24-02-202312:31:17;62.000;91.000;33.000;6192.309;1920.000;153.972;52.000;69.271;4300.000;12104.000;51.400;26.086;149.400
24-02-202312:31:18;62.000;92.000;33.000;6192.246;1920.000;153.415;58.000;63.281;4300.000;11984.000;50.500;26.366;148.800
24-02-202312:31:19;62.000;94.000;34.000;6201.809;1920.000;150.739;52.000;73.958;4299.999;11983.000;52.200;26.261;148.300
24-02-202312:31:20;62.000;90.000;33.000;6201.871;1920.000;156.134;52.000;71.354;4299.999;11987.000;52.900;25.186;147.700
24-02-202312:31:21;62.000;88.000;32.000;6201.809;1920.000;150.716;53.000;61.198;4299.999;12065.000;50.800;26.788;147.100
24-02-202312:31:22;61.000;92.000;34.000;6201.871;1920.000;145.105;58.000;67.708;4299.998;12015.000;52.500;26.186;146.600
24-02-202312:31:23;61.000;88.000;32.000;6217.934;1920.000;145.122;53.000;63.054;4300.000;11977.000;50.500;25.467;146.000
24-02-202312:31:24;62.000;90.000;33.000;6217.934;1920.000;144.601;52.000;60.078;4300.000;12039.000;50.900;37.226;145.500
24-02-202312:31:25;62.000;90.000;33.000;6217.996;1920.000;158.340;57.000;73.177;4299.999;12033.000;52.400;26.726;145.000
24-02-202312:31:26;62.000;87.000;34.000;6217.996;1920.000;147.164;58.000;61.198;4299.999;12033.000;49.900;28.538;144.500
24-02-202312:31:27;62.000;94.000;35.000;6236.809;1920.000;144.695;56.000;65.885;4299.998;11960.000;51.300;29.159;143.900
24-02-202312:31:28;62.000;96.000;35.000;6370.441;1920.000;148.207;57.000;64.583;4299.998;12031.000;49.600;28.044;143.400
24-02-202312:31:29;61.000;89.000;32.000;6390.379;1920.000;144.707;52.000;75.260;4300.000;12071.000;50.800;27.720;142.900
24-02-202312:31:30;61.000;90.000;33.000;6433.254;1920.000;145.587;52.000;66.406;4299.999;12015.000;51.400;27.579;142.400
24-02-202312:31:31;61.000;90.000;32.000;6433.379;1920.000;151.620;53.000;67.188;4299.999;11994.000;51.700;26.686;141.900
