Datetime; GPU temperature     ;GPU usage           ;FB usage            ;Memory usage        ;Core clock          ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 12:48:46;62;99;27;3965.172;1920;152.7;58;37.76;4299.999;10515;118.7;10.423;81.3
 24-02-2023 12:48:47;62;99;27;3965.172;1920;151.606;56;40.885;4299.999;10574;118.5;10.928;81.4
 24-02-2023 12:48:48;62;99;26;3933.109;1920;150.936;59;46.094;4299.999;10638;118.7;11.481;81.4
 24-02-2023 12:48:49;62;99;26;3997.109;1920;152.051;59;59.375;4299.999;10710;111.7;46.111;81.4
 24-02-2023 12:48:50;62;99;26;3997.109;1920;151.071;58;65.104;4299.999;10810;116.8;13.054;81.4
 24-02-2023 12:48:51;61;99;26;4017.609;1920;151.412;59;62.76;4299.999;10901;117.3;13.882;81.5
 24-02-2023 12:48:52;62;100;27;4033.859;1920;151.201;55;61.458;4299.999;11010;117.3;12.69;81.5
 24-02-2023 12:48:53;62;99;26;4037.859;1920;150.913;54;62.24;4299.999;11147;116.9;11.243;81.5
 24-02-2023 12:48:54;56;85;13;4997.859;1920;62.633;57;64.323;4299.999;11159;94.8;58.987;81.5
 24-02-2023 12:48:55;61;98;25;4905.859;1920;150.635;57;59.115;4299.999;11377;55.3;380.294;81.5
 24-02-2023 12:48:56;61;99;26;4969.859;1920;149.165;54;70.313;4299.998;11548;113.5;28.074;81.5
 24-02-2023 12:48:57;55;18;4;5641.922;1920;55.652;59;73.698;4300;11590;77.5;105.734;81.5
 24-02-2023 12:48:58;53;8;2;5750.109;1927;55.362;54;50.781;4300;11842;77.5;0;81.5
 24-02-2023 12:48:59;53;28;7;6841.996;1927;55.146;59;76.563;4299.999;12067;3.3;1393.033;81.4
 24-02-2023 12:49:00;55;65;13;6108.637;1927;98.211;58;68.229;4299.999;12070;4.3;553.35;81.3
 24-02-2023 12:49:01;60;92;31;5897.199;1920;150.245;57;83.333;4299.999;11902;45.8;111.574;81.3
 24-02-2023 12:49:02;60;94;33;6071.137;1920;146.81;58;84.896;4299.999;11890;51;30.248;81.3
 24-02-2023 12:49:03;60;94;34;6170.512;1920;150.673;59;82.552;4299.999;11924;50.4;31.619;81.2
 24-02-2023 12:49:04;61;92;34;6305.324;1920;148.95;57;78.646;4299.999;11810;48.9;35.486;81.2
 24-02-2023 12:49:05;61;95;36;6289.324;1920;158.551;57;66.667;4300;11780;49.9;34.756;81.2
 24-02-2023 12:49:06;61;93;37;6289.324;1920;153.735;59;65.625;4300;11853;48.9;33.179;81.2
 24-02-2023 12:49:07;61;97;37;6289.324;1920;157.426;57;66.927;4299.999;11969;49.5;33.345;81.1
 24-02-2023 12:49:08;61;98;38;6300.012;1920;161.571;58;63.802;4299.998;12010;50.1;32.005;81.1
 24-02-2023 12:49:09;61;95;36;6300.012;1920;158.727;58;60.938;4300;12088;50.9;34.093;81.1
 24-02-2023 12:49:10;61;92;35;6316.137;1920;153.602;59;61.719;4299.998;12253;49.1;33.452;81.1
 24-02-2023 12:49:11;61;97;38;6327.137;1920;158.422;58;65.365;4299.998;12339;50.2;35.84;81
 24-02-2023 12:49:12;61;95;38;6232.637;1920;151.631;57;62.5;4300;12346;48.9;32.766;81
 24-02-2023 12:49:13;61;96;38;6232.637;1920;154.67;55;58.436;4300;12315;48.9;34.673;81
 24-02-2023 12:49:14;61;97;39;6232.637;1920;155.409;59;65.104;4299.999;12474;48.6;35.125;81
 24-02-2023 12:49:15;61;94;38;6267.449;1920;150.676;58;60.343;4299.999;12381;47.8;34.328;80.9
 24-02-2023 12:49:16;61;97;41;6267.574;1920;152.086;56;58.854;4299.999;12335;49.4;35.294;80.9
 24-02-2023 12:49:17;61;95;39;6288.949;1920;156.918;58;66.146;4299.937;12250;51.9;33.094;80.9
 24-02-2023 12:49:18;62;97;39;6288.949;1920;161.223;61;65.104;4299.937;12446;54.6;31.669;80.9
 24-02-2023 12:49:19;61;95;39;6288.949;1920;156.572;59;68.229;4300.031;12361;54.5;30.024;80.8
 24-02-2023 12:49:20;61;94;40;6288.949;1920;159.659;56;66.903;4300.031;12305;54.7;30.822;80.8
 24-02-2023 12:49:21;62;97;43;6288.949;1920;161.722;56;68.085;4299.999;12353;54.5;30.651;80.8
 24-02-2023 12:49:22;62;96;42;6316.074;1920;159.074;58;66.583;4300;12451;55.4;30.857;80.8
 24-02-2023 12:49:23;62;98;43;6310.574;1920;161.068;58;58.073;4300;12305;55.9;29.59;80.8
 24-02-2023 12:49:24;62;98;44;6310.574;1920;157.032;53;61.719;4300;12271;55.8;29.07;80.7
 24-02-2023 12:49:25;61;97;43;6310.574;1920;158.517;60;63.021;4299.998;12398;57;28.905;80.7
 24-02-2023 12:49:26;62;98;44;6310.574;1920;162.102;55;60.417;4299.998;12398;58.7;27.833;80.7
 24-02-2023 12:49:27;62;95;43;6325.699;1920;161.264;58;60.156;4300;12334;58.3;28.96;80.7
 24-02-2023 12:49:28;62;96;44;6329.824;1920;159.852;55;61.979;4300;12241;58.8;29.435;80.7
 24-02-2023 12:49:29;62;98;45;6329.824;1920;160.878;57;61.979;4299.999;12433;59.6;28.631;80.6
 24-02-2023 12:49:30;62;96;43;6351.449;1920;158.364;57;58.073;4299.999;12380;59.6;28.156;80.6
 24-02-2023 12:49:31;62;97;42;6351.449;1920;160.6;57;64.063;4299.999;12299;59.8;27.363;80.6
