Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202312:40:19;61.000;95.000;33.000;6208.469;1920.000;156.473;60.000;85.417;4299.999;12169.000;45.300;35.193;98.000
24-02-202312:40:20;61.000;92.000;34.000;6325.656;1920.000;158.716;58.000;88.281;4300.000;12056.000;44.200;37.229;97.900
24-02-202312:40:21;61.000;95.000;35.000;6375.719;1920.000;159.688;55.000;82.031;4300.000;12084.000;44.300;35.829;97.900
24-02-202312:40:22;61.000;96.000;37.000;6375.719;1920.000;159.083;57.000;65.365;4299.998;12101.000;43.800;37.161;97.800
24-02-202312:40:23;61.000;95.000;37.000;6407.844;1920.000;158.853;53.000;56.897;4299.998;12173.000;44.200;35.785;97.700
24-02-202312:40:24;61.000;94.000;36.000;6402.531;1920.000;159.755;57.000;63.251;4300.000;12195.000;43.900;36.156;97.600
24-02-202312:40:25;61.000;96.000;37.000;6413.531;1920.000;159.134;57.000;80.990;4299.999;12339.000;45.600;40.195;97.600
24-02-202312:40:26;61.000;97.000;37.000;6413.531;1920.000;156.291;57.000;65.104;4299.999;12402.000;45.200;38.296;97.500
24-02-202312:40:27;61.000;96.000;37.000;6413.531;1920.000;159.788;55.000;63.542;4300.000;12448.000;45.200;41.393;97.400
24-02-202312:40:28;61.000;97.000;38.000;6319.031;1920.000;157.471;56.000;62.500;4300.000;12482.000;44.500;37.846;97.400
24-02-202312:40:29;61.000;96.000;38.000;6319.031;1920.000;156.464;57.000;50.521;4299.999;12656.000;44.900;38.211;97.300
24-02-202312:40:30;61.000;98.000;39.000;6335.031;1920.000;161.259;56.000;55.990;4299.999;12660.000;43.300;37.939;97.200
24-02-202312:40:31;62.000;96.000;38.000;6369.969;1920.000;158.786;57.000;60.417;4299.999;12556.000;43.200;37.643;97.100
24-02-202312:40:32;62.000;95.000;40.000;6353.969;1920.000;159.511;56.000;60.938;4299.999;12619.000;44.200;39.236;97.100
24-02-202312:40:33;62.000;97.000;40.000;6375.344;1920.000;160.802;60.000;58.333;4299.999;12700.000;45.000;38.912;97.000
24-02-202312:40:34;62.000;99.000;40.000;6375.344;1920.000;163.004;58.000;61.979;4299.999;12618.000;48.800;36.612;96.900
24-02-202312:40:35;62.000;96.000;40.000;6375.344;1920.000;163.080;61.000;51.563;4299.999;12554.000;48.600;35.791;96.900
24-02-202312:40:36;62.000;98.000;41.000;6402.469;1912.000;162.805;55.000;62.500;4299.999;12745.000;49.600;35.940;96.800
24-02-202312:40:37;62.000;99.000;43.000;6402.469;1920.000;161.464;53.000;60.938;4300.000;12684.000;48.400;34.439;96.700
