Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202312:55:42;60.000;91.000;32.000;6023.473;1920.000;148.016;59.000;83.333;4299.999;10489.000;55.100;28.076;74.500
24-02-202312:55:43;61.000;94.000;33.000;6137.785;1920.000;149.775;58.000;75.781;4299.999;10429.000;54.000;30.427;74.500
24-02-202312:55:44;61.000;96.000;35.000;6137.785;1920.000;156.711;59.000;64.844;4299.999;10439.000;56.600;28.240;74.400
24-02-202312:55:45;61.000;88.000;34.000;6137.785;1920.000;138.976;56.000;67.708;4299.999;10548.000;55.300;34.653;74.400
24-02-202312:55:46;61.000;96.000;36.000;6137.785;1920.000;156.665;56.000;76.302;4299.999;10622.000;55.700;28.347;74.400
24-02-202312:55:47;61.000;97.000;36.000;6148.473;1920.000;158.322;56.000;67.969;4300.000;10739.000;56.900;26.996;74.400
24-02-202312:55:48;61.000;94.000;34.000;6148.473;1920.000;150.276;59.000;69.531;4299.998;10877.000;56.600;29.707;74.400
24-02-202312:55:49;61.000;94.000;34.000;6148.473;1920.000;151.867;57.000;70.833;4299.998;10992.000;57.500;29.276;74.400
24-02-202312:55:50;61.000;89.000;33.000;6053.973;1920.000;150.234;57.000;69.792;4299.999;11115.000;56.700;36.039;74.400
24-02-202312:55:51;61.000;95.000;36.000;6053.973;1920.000;153.236;60.000;66.667;4299.999;11231.000;57.800;29.546;74.400
24-02-202312:55:52;61.000;97.000;37.000;6053.973;1920.000;153.807;60.000;68.229;4299.999;11355.000;55.300;28.881;74.400
24-02-202312:55:53;61.000;97.000;37.000;6070.098;1920.000;155.438;60.000;59.375;4299.999;11472.000;55.400;29.470;74.300
24-02-202312:55:54;61.000;96.000;38.000;6088.910;1920.000;154.736;58.000;68.750;4300.000;11578.000;56.300;30.706;74.300
24-02-202312:55:55;61.000;97.000;39.000;6072.910;1920.000;155.664;58.000;66.927;4300.000;11716.000;57.600;27.672;74.300
24-02-202312:55:56;61.000;97.000;38.000;6094.285;1920.000;157.387;59.000;71.615;4299.999;11845.000;59.900;25.843;74.300
24-02-202312:55:57;61.000;94.000;37.000;6098.410;1920.000;154.479;57.000;62.500;4299.999;11976.000;62.700;26.242;74.300
24-02-202312:55:58;61.000;96.000;37.000;6125.535;1920.000;153.493;59.000;71.354;4299.999;12107.000;63.500;24.696;74.300
24-02-202312:55:59;61.000;96.000;39.000;6125.535;1920.000;156.454;58.000;75.521;4299.999;12261.000;60.400;25.129;74.300
24-02-202312:56:00;61.000;92.000;38.000;6125.535;1920.000;152.377;57.000;79.167;4299.999;12336.000;59.700;26.596;74.300
24-02-202312:56:01;61.000;94.000;39.000;6125.535;1920.000;156.374;59.000;75.781;4299.999;11344.000;59.700;25.556;74.300
24-02-202312:56:02;61.000;93.000;39.000;6141.660;1920.000;156.191;55.000;67.708;4299.999;10244.000;63.100;24.268;74.300
24-02-202312:56:03;62.000;96.000;42.000;6147.160;1920.000;153.712;58.000;74.219;4299.999;10224.000;63.700;24.532;74.300
24-02-202312:56:04;62.000;97.000;42.000;6147.160;1920.000;158.319;58.000;70.833;4299.999;10348.000;66.300;25.315;74.300
24-02-202312:56:05;61.000;95.000;41.000;6151.285;1920.000;155.332;56.000;66.146;4299.999;10430.000;67.700;24.028;74.300
24-02-202312:56:06;62.000;96.000;42.000;6151.285;1920.000;157.856;60.000;69.271;4299.999;10614.000;66.900;26.429;74.300
24-02-202312:56:07;62.000;97.000;43.000;6151.285;1920.000;158.569;59.000;63.802;4299.999;10693.000;67.200;23.210;74.200
24-02-202312:56:08;62.000;96.000;42.000;6151.285;1920.000;156.562;62.000;70.313;4300.000;10749.000;68.900;22.766;74.200
24-02-202312:56:09;62.000;97.000;42.000;6167.785;1920.000;155.856;56.000;63.802;4299.998;10868.000;69.300;23.340;74.200
24-02-202312:56:10;62.000;97.000;40.000;6167.785;1920.000;159.510;56.000;69.792;4299.998;10975.000;68.800;24.030;74.200
24-02-202312:56:11;62.000;92.000;36.000;6167.785;1920.000;150.090;60.000;64.323;4299.999;10929.000;66.300;23.202;74.200
24-02-202312:56:12;62.000;96.000;36.000;6183.910;1920.000;155.996;60.000;72.917;4299.999;10981.000;61.000;25.663;74.200
24-02-202312:56:13;62.000;96.000;34.000;6185.941;1920.000;152.079;56.000;67.448;4299.999;10980.000;56.900;28.143;74.200
24-02-202312:56:14;62.000;94.000;34.000;6199.895;1920.000;158.532;60.000;68.750;4299.999;10899.000;53.900;26.077;74.200
24-02-202312:56:15;62.000;99.000;36.000;6194.395;1920.000;155.008;56.000;64.583;4300.000;10955.000;53.800;26.711;74.200
24-02-202312:56:16;62.000;96.000;35.000;6188.270;1920.000;151.118;61.000;68.750;4299.998;11018.000;51.700;28.379;74.200
24-02-202312:56:17;61.000;95.000;36.000;6071.270;1920.000;150.193;57.000;71.875;4299.998;10898.000;53.000;27.339;74.200
24-02-202312:56:18;61.000;94.000;36.000;6087.770;1920.000;156.297;58.000;66.146;4300.000;10964.000;50.700;27.868;74.100
24-02-202312:56:19;62.000;95.000;35.000;6071.270;1920.000;150.805;57.000;64.323;4300.000;10933.000;52.000;30.374;74.100
24-02-202312:56:20;62.000;95.000;35.000;6071.770;1920.000;151.097;60.000;63.824;4299.999;11115.000;51.400;28.288;74.100
24-02-202312:56:21;62.000;96.000;36.000;6087.770;1920.000;153.901;60.000;67.481;4300.000;11284.000;49.800;30.686;74.100
24-02-202312:56:22;62.000;96.000;35.000;6071.270;1920.000;151.717;57.000;65.104;4299.999;11426.000;49.100;29.705;74.100
24-02-202312:56:23;62.000;94.000;35.000;6071.270;1920.000;148.688;60.000;65.107;4299.999;11581.000;51.200;30.790;74.100
24-02-202312:56:24;62.000;95.000;35.000;6076.770;1920.000;154.154;59.000;73.297;4300.000;11741.000;52.400;28.706;74.100
24-02-202312:56:25;62.000;95.000;35.000;6076.770;1920.000;152.202;59.000;65.620;4300.000;11907.000;53.500;27.734;74.100
24-02-202312:56:26;61.000;91.000;34.000;6077.270;1920.000;148.651;58.000;69.010;4299.999;12072.000;52.200;27.755;74.000
24-02-202312:56:27;61.000;91.000;34.000;6076.770;1920.000;147.783;57.000;65.630;4299.999;12240.000;52.800;27.633;74.000
24-02-202312:56:28;61.000;92.000;34.000;6077.270;1920.000;154.536;61.000;76.823;4299.999;12406.000;52.600;29.622;74.000
24-02-202312:56:29;62.000;94.000;36.000;6077.270;1920.000;154.413;59.000;64.583;4299.997;12572.000;53.200;26.323;74.000
24-02-202312:56:30;62.000;92.000;34.000;6076.770;1920.000;151.882;59.000;70.052;4299.997;12739.000;53.500;28.497;74.000
24-02-202312:56:31;61.000;94.000;35.000;6076.832;1920.000;152.345;59.000;71.354;4300.000;12904.000;52.400;28.541;74.000
24-02-202312:56:32;62.000;93.000;34.000;6082.473;1920.000;150.473;61.000;72.917;4300.000;13063.000;52.700;27.805;74.000
24-02-202312:56:33;62.000;96.000;34.000;6258.473;1920.000;157.334;59.000;67.969;4300.000;13217.000;53.300;28.394;74.000
24-02-202312:56:34;61.000;87.000;31.000;6285.535;1920.000;144.155;56.000;70.573;4299.998;13353.000;51.800;25.838;73.900
24-02-202312:56:35;61.000;90.000;32.000;6285.598;1920.000;147.292;56.000;72.656;4299.998;13163.000;51.000;27.527;73.900
24-02-202312:56:36;62.000;91.000;32.000;6285.598;1920.000;149.306;57.000;78.705;4300.000;12916.000;49.900;29.909;73.900
24-02-202312:56:37;61.000;94.000;33.000;6285.535;1920.000;148.826;56.000;72.240;4300.000;12718.000;50.400;28.362;73.900
24-02-202312:56:38;61.000;83.000;29.000;6285.348;1920.000;137.428;58.000;87.500;4299.999;11993.000;43.300;52.088;73.900
24-02-202312:56:39;61.000;92.000;32.000;6285.348;1920.000;148.139;60.000;79.948;4300.000;11197.000;49.000;27.552;73.900
24-02-202312:56:40;62.000;92.000;32.000;6320.223;1920.000;149.470;62.000;71.875;4300.000;11253.000;51.300;25.851;73.900
24-02-202312:56:41;61.000;92.000;32.000;6320.223;1920.000;150.717;61.000;66.927;4299.999;11431.000;51.200;28.176;73.800
24-02-202312:56:42;61.000;91.000;32.000;6320.285;1920.000;150.179;60.000;78.385;4299.999;11540.000;49.900;29.077;73.800
24-02-202312:56:43;61.000;91.000;33.000;6320.285;1920.000;151.714;61.000;76.302;4299.999;11320.000;50.800;29.428;73.800
24-02-202312:56:44;61.000;93.000;34.000;6320.285;1920.000;146.357;59.000;73.438;4299.999;11089.000;49.300;27.821;73.800
24-02-202312:56:45;62.000;91.000;33.000;6320.285;1920.000;147.554;60.000;68.750;4299.999;10885.000;50.600;27.912;73.800
24-02-202312:56:46;61.000;88.000;32.000;6325.785;1920.000;147.958;60.000;72.135;4299.999;11065.000;51.000;27.156;73.800
24-02-202312:56:47;62.000;93.000;35.000;6325.723;1920.000;155.541;59.000;74.479;4299.999;10855.000;49.600;25.317;73.800
24-02-202312:56:48;62.000;93.000;34.000;6325.723;1920.000;153.539;60.000;76.042;4299.999;10638.000;51.100;28.995;73.700
24-02-202312:56:49;62.000;96.000;35.000;6325.785;1920.000;152.466;60.000;73.958;4299.998;10379.000;51.500;27.421;73.700
24-02-202312:56:50;61.000;85.000;31.000;6325.785;1920.000;147.354;58.000;78.125;4299.998;10409.000;51.200;30.308;73.700
24-02-202312:56:51;61.000;89.000;33.000;6325.723;1920.000;147.157;57.000;71.354;4300.000;10546.000;49.800;30.596;73.700
24-02-202312:56:52;61.000;88.000;34.000;6355.535;1920.000;146.606;62.000;75.521;4300.000;10703.000;49.300;28.300;73.700
24-02-202312:56:53;62.000;91.000;34.000;6355.598;1920.000;148.898;62.000;69.531;4299.999;10865.000;49.700;29.474;73.700
24-02-202312:56:54;62.000;96.000;36.000;6489.723;1920.000;150.800;62.000;69.531;4299.999;11001.000;49.800;29.125;73.700
24-02-202312:56:55;61.000;93.000;33.000;6509.285;1920.000;155.410;62.000;70.052;4299.999;11140.000;49.700;29.541;73.600
24-02-202312:56:56;61.000;90.000;33.000;6524.973;1920.000;152.117;57.000;72.135;4299.999;11283.000;51.100;28.272;73.600
24-02-202312:56:57;61.000;94.000;34.000;6524.973;1920.000;146.566;58.000;68.750;4299.999;11413.000;51.500;27.288;73.600
24-02-202312:56:58;61.000;95.000;34.000;6524.535;1920.000;151.628;58.000;72.917;4299.959;11546.000;51.800;28.106;73.600
24-02-202312:56:59;62.000;88.000;32.000;6556.598;1920.000;144.105;58.000;67.188;4299.959;11712.000;51.600;26.953;73.600
24-02-202312:57:00;62.000;91.000;33.000;6556.598;1920.000;149.898;58.000;74.219;4300.040;11851.000;51.300;26.599;73.600
24-02-202312:57:01;61.000;95.000;35.000;6557.598;1920.000;157.198;59.000;65.885;4299.998;11996.000;50.900;27.389;73.600
24-02-202312:57:02;61.000;93.000;34.000;6561.223;1920.000;152.305;59.000;67.969;4299.998;12131.000;50.400;27.963;73.600
24-02-202312:57:03;61.000;90.000;32.000;6561.660;1920.000;154.629;57.000;82.031;4300.000;12293.000;49.000;29.910;73.500
24-02-202312:57:04;61.000;97.000;34.000;6565.160;1920.000;153.971;59.000;72.917;4299.998;12414.000;52.200;27.045;73.500
24-02-202312:57:05;61.000;91.000;31.000;6539.160;1920.000;138.878;59.000;75.781;4299.998;12384.000;53.800;24.480;73.500
24-02-202312:57:06;62.000;91.000;31.000;6550.160;1920.000;154.751;59.000;75.521;4299.999;12343.000;55.500;24.066;73.500
24-02-202312:57:07;61.000;91.000;32.000;6546.035;1920.000;146.430;61.000;72.396;4300.000;12305.000;55.700;25.108;73.500
24-02-202312:57:08;61.000;93.000;34.000;6418.035;1920.000;146.228;60.000;71.354;4299.999;12241.000;51.900;26.490;73.500
24-02-202312:57:09;61.000;86.000;32.000;6418.535;1920.000;145.744;61.000;74.740;4299.999;12195.000;53.700;24.723;73.500
24-02-202312:57:10;61.000;90.000;33.000;6418.035;1920.000;144.946;60.000;79.948;4299.999;12144.000;52.100;26.154;73.500
24-02-202312:57:11;61.000;92.000;35.000;6568.410;1920.000;145.324;56.000;64.323;4299.999;12134.000;49.700;27.178;73.400
24-02-202312:57:12;62.000;95.000;36.000;6572.410;1920.000;154.321;63.000;75.521;4299.999;12050.000;48.900;27.322;73.400
24-02-202312:57:13;61.000;91.000;34.000;6597.973;1920.000;146.007;59.000;73.177;4299.999;11995.000;48.700;28.477;73.400
24-02-202312:57:14;61.000;87.000;33.000;6597.973;1920.000;135.368;58.000;75.260;4300.001;11949.000;47.200;29.277;73.400
24-02-202312:57:15;61.000;92.000;34.000;6597.973;1920.000;151.160;61.000;72.917;4300.001;11892.000;47.900;29.454;73.400
24-02-202312:57:16;60.000;85.000;31.000;6616.910;1920.000;139.501;59.000;75.521;4299.999;11546.000;44.700;32.606;73.400
24-02-202312:57:17;60.000;86.000;31.000;6616.910;1920.000;134.146;58.000;82.813;4299.999;11238.000;47.000;28.986;73.400
24-02-202312:57:18;61.000;90.000;32.000;6618.410;1920.000;145.684;58.000;72.656;4299.999;11011.000;48.300;27.618;73.300
24-02-202312:57:19;60.000;92.000;34.000;6634.535;1920.000;147.351;60.000;75.883;4300.000;10735.000;48.600;26.757;73.300
24-02-202312:57:20;61.000;89.000;32.000;6651.223;1920.000;140.151;58.000;77.604;4299.999;10487.000;47.900;27.788;73.300
24-02-202312:57:21;61.000;90.000;32.000;6656.285;1920.000;142.842;60.000;79.378;4299.999;10274.000;50.500;24.858;73.300
24-02-202312:57:22;60.000;84.000;30.000;6655.910;1920.000;134.263;57.000;74.856;4299.999;10233.000;49.800;27.460;73.300
24-02-202312:57:23;61.000;88.000;31.000;6660.035;1920.000;136.100;58.000;73.297;4300.000;10360.000;51.600;25.334;73.300
24-02-202312:57:24;61.000;85.000;30.000;6678.848;1920.000;136.015;59.000;76.042;4300.000;10518.000;51.500;26.230;73.300
24-02-202312:57:25;60.000;86.000;30.000;6678.848;1920.000;135.243;57.000;70.495;4299.998;10609.000;52.100;25.334;73.200
24-02-202312:57:26;60.000;87.000;31.000;6680.848;1920.000;147.812;58.000;76.470;4300.001;10676.000;52.300;25.478;73.200
24-02-202312:57:27;60.000;87.000;31.000;6678.348;1920.000;134.729;60.000;73.958;4300.001;10851.000;52.300;25.240;73.200
24-02-202312:57:28;60.000;85.000;30.000;6661.723;1920.000;135.848;61.000;75.000;4299.999;10923.000;51.600;26.097;73.200
24-02-202312:57:29;60.000;86.000;31.000;6677.723;1920.000;138.549;61.000;74.725;4299.998;10815.000;52.300;23.535;73.200
24-02-202312:57:30;59.000;50.000;18.000;6681.285;1920.000;77.801;60.000;76.104;4300.000;10846.000;48.400;108.796;73.200
24-02-202312:57:31;60.000;85.000;31.000;6670.785;1920.000;139.304;62.000;71.615;4300.000;10834.000;53.200;25.465;73.200
24-02-202312:57:32;60.000;83.000;29.000;6691.035;1920.000;135.424;63.000;82.552;4299.999;10894.000;53.200;24.764;73.200
24-02-202312:57:33;60.000;81.000;27.000;6706.160;1920.000;135.133;62.000;71.615;4299.999;10839.000;53.900;23.902;73.100
24-02-202312:57:34;60.000;79.000;27.000;6706.160;1920.000;130.789;59.000;77.604;4300.000;10852.000;55.600;22.614;73.100
24-02-202312:57:35;60.000;84.000;29.000;6706.160;1920.000;136.029;59.000;73.698;4300.000;10872.000;55.700;22.620;73.100
24-02-202312:57:36;60.000;82.000;28.000;6714.410;1920.000;134.482;58.000;78.125;4299.999;10819.000;55.200;22.078;73.100
