Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:31:37;60;99;36;5468.207;1920;164.757;56;56.771;4300.002;9299;41.9;27.351;213.9
24-02-202315:31:38;60;99;37;5468.332;1912;165.117;56;61.458;4300.001;9423;42.4;25.629;213.2
24-02-202315:31:39;60;99;37;5467.707;1920;167.854;58;59.375;4300.001;9464;42.1;26.728;212.4
24-02-202315:31:40;61;99;39;5568.145;1912;164.064;59;67.708;4300.001;9458;39.2;66.236;211.7
24-02-202315:31:41;61;99;38;5568.707;1912;166.029;57;59.375;4300.001;9423;37.4;28.603;211
24-02-202315:31:42;60;90;34;5607.27;1920;165.118;55;65.104;4300.001;9509;31.3;220.793;210.3
24-02-202315:31:43;61;99;37;5624.145;1912;165.475;54;61.198;4300.001;9465;37.2;29.876;209.6
24-02-202315:31:44;61;99;38;5596.895;1920;165.405;54;65.885;4300.001;9436;36.8;30.16;208.9
24-02-202315:31:45;61;99;41;5581.27;1920;166.24;57;59.896;4300.001;9399;35.2;31.445;208.2
24-02-202315:31:46;62;99;41;5583.145;1905;166.671;54;62.5;4300.001;9481;35.7;30.512;207.5
24-02-202315:31:47;61;99;42;5586.957;1897;166.143;55;61.719;4300.001;9461;34.9;30.479;206.8
24-02-202315:31:48;62;99;43;5593.082;1905;169.842;55;60.938;4300.001;9454;35.7;30.399;206.1
24-02-202315:31:49;62;99;45;5596.77;1905;169.969;55;59.635;4300.001;9557;35.9;31.162;205.4
24-02-202315:31:50;62;99;44;5625.395;1912;166.92;53;65.104;4300.001;9544;36.5;30.363;204.8
24-02-202315:31:51;62;99;42;5628.957;1897;168.407;55;64.323;4300.001;9538;36.6;30.993;204.1
24-02-202315:31:52;62;99;39;5627.832;1912;169.08;54;64.583;4300.001;9532;35.6;30.156;203.4
24-02-202315:31:53;62;99;35;5632.082;1912;166.72;58;60.417;4300.001;9629;33.4;32.027;202.8
24-02-202315:31:54;62;99;39;5630.52;1920;166.291;57;66.146;4300.002;9533;36;30.55;202.1
24-02-202315:31:55;62;99;41;5626.832;1912;168.261;56;68.229;4300.002;9534;34.2;34.945;201.5
24-02-202315:31:56;62;99;40;5614.145;1897;166.422;53;72.917;4300.001;9500;32.4;33.716;200.8
24-02-202315:31:57;62;99;37;5610.957;1897;167.846;54;63.542;4300.001;9593;34;31.978;200.2
24-02-202315:31:58;62;99;37;5609.332;1912;163.501;54;66.927;4300.001;9566;35.8;36.436;199.6
24-02-202315:31:59;63;99;39;5620.77;1912;167.489;59;67.448;4300.002;9534;35.4;32.487;198.9
24-02-202315:32:00;63;99;41;5625.957;1890;165.745;56;60.938;4300.002;9514;32.7;34.817;198.3
24-02-202315:32:01;63;99;44;5618.895;1912;168.505;55;60.417;4300.001;9610;34.4;30.781;197.7
24-02-202315:32:02;63;99;43;5615.52;1920;165.139;54;60.677;4300.001;9583;35.1;30.556;197.1
24-02-202315:32:03;63;99;43;5617.27;1920;165.707;57;58.333;4300.002;9562;35.9;30.019;196.5
24-02-202315:32:04;63;99;43;5625.27;1912;169.14;58;62.76;4300.001;9661;36.6;30.146;195.8
24-02-202315:32:05;63;99;42;5625.145;1920;168.637;55;55.729;4300.002;9642;37.4;29.136;195.3
24-02-202315:32:06;63;99;43;5633.02;1912;170.02;57;63.802;4300.001;9615;37.8;28.32;194.7
24-02-202315:32:07;63;99;43;5634.207;1905;169.986;57;59.635;4300.001;9582;37.8;30.119;194.1
24-02-202315:32:08;63;99;43;5634.707;1897;170.316;57;61.458;4300.001;9676;37.8;28.044;193.5
24-02-202315:32:09;63;99;43;5634.707;1912;170.621;54;59.206;4300.001;9636;37.2;30.646;192.9
