Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:35:06;58.000;99.000;31.000;5259.441;1920.000;158.468;56.000;68.750;4300.001;9340.000;58.200;19.038;201.100
24-02-202315:35:07;58.000;99.000;32.000;5258.691;1920.000;158.427;56.000;68.490;4300.001;9374.000;57.700;18.872;200.800
24-02-202315:35:08;59.000;99.000;32.000;5258.754;1920.000;159.167;58.000;68.750;4300.001;9483.000;57.500;18.717;200.500
24-02-202315:35:09;59.000;99.000;34.000;5298.629;1920.000;160.448;59.000;74.740;4300.000;9468.000;48.600;60.928;200.200
24-02-202315:35:10;59.000;99.000;32.000;5286.566;1920.000;160.307;57.000;72.396;4300.000;9449.000;51.100;21.655;199.800
24-02-202315:35:11;59.000;99.000;32.000;5353.254;1920.000;159.437;57.000;65.620;4300.002;9436.000;40.300;218.070;199.500
24-02-202315:35:12;59.000;99.000;33.000;5308.941;1920.000;158.814;58.000;70.654;4300.000;9503.000;50.300;21.832;199.200
24-02-202315:35:13;59.000;99.000;34.000;5315.316;1920.000;162.933;58.000;76.563;4300.000;9482.000;48.600;26.053;198.800
24-02-202315:35:14;59.000;99.000;35.000;5316.316;1920.000;161.622;60.000;72.656;4300.002;9455.000;48.100;22.556;198.500
24-02-202315:35:15;60.000;99.000;35.000;5317.566;1920.000;162.511;55.000;71.264;4300.000;9458.000;47.800;23.137;198.200
24-02-202315:35:16;60.000;99.000;35.000;5322.191;1920.000;161.301;57.000;69.531;4300.002;9564.000;47.400;23.930;197.800
24-02-202315:35:17;60.000;99.000;37.000;5329.254;1920.000;162.550;56.000;70.125;4300.002;9564.000;49.200;21.844;197.500
24-02-202315:35:18;60.000;99.000;38.000;5359.566;1920.000;164.049;56.000;72.034;4300.001;9562.000;50.000;23.097;197.200
24-02-202315:35:19;60.000;99.000;38.000;5365.066;1920.000;162.475;56.000;72.396;4300.001;9555.000;51.600;23.948;196.900
24-02-202315:35:20;60.000;99.000;36.000;5363.816;1920.000;162.017;55.000;78.321;4300.001;9664.000;51.300;22.283;196.600
24-02-202315:35:21;60.000;99.000;32.000;5365.879;1920.000;162.370;57.000;69.271;4300.001;9656.000;49.600;24.568;196.300
24-02-202315:35:22;60.000;99.000;31.000;5367.254;1920.000;160.196;56.000;78.385;4300.001;9630.000;48.500;23.853;195.900
24-02-202315:35:23;60.000;99.000;36.000;5366.504;1920.000;160.246;56.000;75.369;4300.001;9660.000;51.100;22.459;195.600
24-02-202315:35:24;61.000;99.000;35.000;5355.523;1920.000;162.737;58.000;74.884;4300.002;9651.000;47.300;25.280;195.300
24-02-202315:35:25;60.000;99.000;34.000;5355.211;1920.000;161.457;58.000;72.917;4300.001;9634.000;46.500;28.438;195.000
24-02-202315:35:26;60.000;98.000;31.000;5345.648;1920.000;159.043;58.000;74.740;4300.001;9603.000;50.300;23.470;194.700
24-02-202315:35:27;61.000;99.000;32.000;5350.961;1920.000;156.980;63.000;76.042;4300.002;9699.000;53.500;20.787;194.400
24-02-202315:35:28;61.000;99.000;35.000;5357.523;1920.000;160.001;57.000;73.177;4300.001;9676.000;46.600;24.926;194.100
24-02-202315:35:29;61.000;99.000;34.000;5353.023;1920.000;160.852;58.000;71.875;4300.001;9649.000;46.900;22.627;193.700
24-02-202315:35:30;61.000;99.000;36.000;5355.648;1920.000;161.435;59.000;69.010;4300.001;9622.000;49.500;22.183;193.400
24-02-202315:35:31;61.000;99.000;36.000;5349.836;1920.000;163.427;58.000;71.615;4300.000;9725.000;50.400;22.906;193.100
24-02-202315:35:32;61.000;99.000;37.000;5357.086;1912.000;163.381;59.000;72.135;4300.001;9708.000;51.300;22.128;192.800
24-02-202315:35:33;61.000;99.000;38.000;5357.773;1920.000;165.276;58.000;71.094;4300.001;9682.000;52.300;22.133;192.600
24-02-202315:35:34;61.000;99.000;37.000;5360.398;1920.000;160.196;58.000;72.135;4300.001;9689.000;53.400;22.899;192.300
24-02-202315:35:35;61.000;99.000;37.000;5367.711;1920.000;163.588;55.000;70.313;4300.001;9757.000;53.500;19.958;192.000
24-02-202315:35:36;62.000;99.000;38.000;5368.086;1920.000;162.457;59.000;69.531;4300.001;9729.000;52.500;22.180;191.700
24-02-202315:35:37;62.000;99.000;37.000;5368.961;1920.000;164.434;58.000;68.490;4300.001;9693.000;51.300;20.951;191.400
24-02-202315:35:38;62.000;99.000;35.000;5349.273;1920.000;163.292;57.000;71.354;4300.001;9784.000;50.400;21.748;191.100
24-02-202315:35:39;62.000;99.000;36.000;5350.023;1920.000;165.072;58.000;69.792;4300.002;9749.000;53.900;22.018;190.800
24-02-202315:35:40;62.000;98.000;33.000;5351.148;1920.000;162.883;58.000;69.271;4299.999;9713.000;56.600;20.227;190.500
24-02-202315:35:41;62.000;98.000;35.000;5344.961;1920.000;158.534;59.000;73.698;4300.002;9665.000;67.200;18.642;190.300
24-02-202315:35:42;62.000;99.000;35.000;5334.336;1920.000;164.431;58.000;76.563;4300.001;9761.000;59.800;19.092;190.000
24-02-202315:35:43;62.000;99.000;36.000;5346.461;1920.000;164.808;58.000;80.729;4300.001;9751.000;63.700;19.294;189.700
24-02-202315:35:44;62.000;98.000;35.000;5330.273;1920.000;164.278;59.000;79.427;4300.001;9730.000;67.100;19.089;189.500
24-02-202315:35:45;63.000;98.000;34.000;5302.961;1920.000;165.932;59.000;78.385;4300.001;9714.000;63.900;17.318;189.200
24-02-202315:35:46;63.000;99.000;38.000;5296.711;1920.000;166.280;60.000;69.271;4300.001;9821.000;59.700;20.408;189.000
24-02-202315:35:47;63.000;99.000;35.000;5286.648;1920.000;165.968;57.000;63.542;4300.001;9780.000;54.100;19.976;188.700
24-02-202315:35:48;63.000;99.000;36.000;5267.398;1920.000;165.343;58.000;68.750;4300.001;9746.000;52.500;21.679;188.400
24-02-202315:35:49;63.000;99.000;34.000;5265.023;1912.000;163.114;55.000;68.490;4300.002;9737.000;53.700;23.325;188.100
24-02-202315:35:50;63.000;99.000;32.000;5269.461;1920.000;161.026;60.000;72.917;4300.002;9831.000;55.100;21.875;187.900
24-02-202315:35:51;63.000;98.000;32.000;5269.711;1920.000;162.725;58.000;71.875;4300.001;9791.000;60.400;19.935;187.600
24-02-202315:35:52;63.000;98.000;34.000;5264.961;1920.000;162.758;56.000;73.438;4300.001;9743.000;68.200;17.733;187.400
24-02-202315:35:53;63.000;99.000;33.000;5266.086;1912.000;167.394;59.000;74.740;4300.001;9838.000;63.200;18.427;187.100
24-02-202315:35:54;63.000;99.000;34.000;5251.898;1905.000;166.296;57.000;68.750;4300.002;9798.000;53.300;21.069;186.900
24-02-202315:35:55;63.000;99.000;33.000;5280.898;1905.000;166.327;58.000;68.490;4300.002;9770.000;52.900;20.682;186.600
24-02-202315:35:56;63.000;99.000;35.000;5280.398;1912.000;164.443;57.000;74.219;4300.001;9741.000;52.600;22.322;186.300
24-02-202315:35:57;63.000;99.000;33.000;5279.586;1905.000;166.711;58.000;70.313;4300.001;9854.000;53.300;23.275;186.100
24-02-202315:35:58;63.000;99.000;32.000;5247.398;1912.000;164.772;57.000;75.781;4300.001;9816.000;56.000;21.001;185.800
24-02-202315:35:59;63.000;99.000;33.000;5240.273;1905.000;166.172;59.000;71.094;4300.001;9781.000;54.800;21.372;185.500
24-02-202315:36:00;63.000;99.000;30.000;5180.648;1912.000;163.063;60.000;79.167;4300.001;9743.000;52.700;22.076;185.300
24-02-202315:36:01;63.000;99.000;31.000;5098.648;1912.000;164.823;58.000;90.625;4300.001;9778.000;50.700;22.907;185.000
24-02-202315:36:02;63.000;99.000;33.000;5088.648;1912.000;164.558;59.000;86.719;4300.001;9696.000;51.200;23.912;184.700
24-02-202315:36:03;63.000;99.000;33.000;5052.523;1912.000;163.323;58.000;81.510;4300.001;9672.000;51.800;24.268;184.500
24-02-202315:36:04;63.000;99.000;34.000;5031.461;1912.000;165.345;60.000;86.198;4300.001;9685.000;52.700;23.477;184.200
24-02-202315:36:05;63.000;99.000;33.000;5075.023;1912.000;165.560;61.000;90.625;4300.001;9815.000;52.300;28.692;184.000
24-02-202315:36:06;63.000;99.000;33.000;5060.836;1912.000;164.641;59.000;87.500;4300.001;9791.000;51.700;28.872;183.700
24-02-202315:36:07;62.000;96.000;31.000;5243.961;1912.000;145.728;61.000;94.792;4300.001;9801.000;44.600;34.085;183.400
24-02-202315:36:08;63.000;93.000;31.000;5398.648;1912.000;157.094;62.000;99.479;4300.000;9926.000;41.100;34.338;183.100
24-02-202315:36:09;63.000;99.000;33.000;5439.773;1912.000;164.147;59.000;92.188;4300.000;9900.000;47.900;27.423;182.900
24-02-202315:36:10;63.000;99.000;33.000;5452.711;1912.000;162.978;59.000;92.448;4300.001;9864.000;46.100;38.183;182.600
24-02-202315:36:11;63.000;99.000;32.000;5523.086;1912.000;162.870;61.000;94.271;4300.001;9839.000;44.700;30.693;182.300
24-02-202315:36:12;63.000;99.000;31.000;5547.336;1912.000;163.603;59.000;89.323;4300.001;9989.000;44.100;28.368;182.100
24-02-202315:36:13;63.000;99.000;31.000;5474.148;1912.000;163.691;60.000;85.889;4300.001;9962.000;47.200;27.008;181.800
24-02-202315:36:14;63.000;99.000;30.000;5448.461;1912.000;165.869;58.000;76.206;4300.002;9932.000;51.500;25.447;181.600
24-02-202315:36:15;63.000;99.000;30.000;5416.398;1912.000;164.929;57.000;73.698;4300.002;9879.000;53.100;20.543;181.300
24-02-202315:36:16;63.000;99.000;31.000;5374.586;1912.000;165.706;57.000;71.094;4300.001;9996.000;55.400;20.933;181.100
24-02-202315:36:17;63.000;99.000;33.000;5338.898;1912.000;165.963;56.000;73.830;4300.001;9959.000;59.100;19.464;180.800
24-02-202315:36:18;64.000;99.000;32.000;5315.773;1912.000;166.659;57.000;78.321;4300.000;9928.000;57.700;20.191;180.600
24-02-202315:36:19;63.000;99.000;32.000;5303.148;1912.000;165.605;57.000;72.396;4300.000;9967.000;56.400;19.514;180.400
24-02-202315:36:20;63.000;99.000;33.000;5285.711;1912.000;164.152;59.000;79.218;4300.002;10057.000;55.200;22.623;180.100
24-02-202315:36:21;63.000;99.000;32.000;5253.461;1912.000;163.486;57.000;84.635;4300.000;10032.000;52.500;21.906;179.900
24-02-202315:36:22;57.000;55.000;17.000;5241.586;1927.000;69.859;62.000;89.689;4300.000;9916.000;61.300;112.744;179.700
