Datetime; GPU temperature     ;GPU usage           ;FB usage            ;Memory usage        ;Core clock          ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 15:37:46;51;28;5;3906.273;1935;77.178;59;86.719;4300.001;8636;522.4;30.42;181
 24-02-2023 15:37:47;52;45;12;4120.086;1935;93.775;62;95.833;4300.001;8742;290.2;14.451;181.2
 24-02-2023 15:37:48;51;46;12;4389.023;1935;91.48;62;95.052;4300;8870;293.7;19.978;181.4
 24-02-2023 15:37:49;52;52;13;4669.648;1935;93.594;59;94.271;4300;8885;313.7;14.331;181.6
 24-02-2023 15:37:50;50;23;7;4820.086;1935;73.95;60;94.792;4300.002;9053;274.5;34.557;181.7
 24-02-2023 15:37:51;50;33;8;5220.086;1935;71.502;58;95.052;4300.002;9155;174.3;51.048;181.7
 24-02-2023 15:37:52;57;99;31;5336.34;1935;162.673;61;69.01;4300.001;9184;53.8;79.613;181.5
 24-02-2023 15:37:53;57;99;31;5336.59;1935;162.49;58;65.885;4300.001;9238;49.5;25.264;181.3
 24-02-2023 15:37:54;58;99;31;5331.465;1935;163.424;57;67.188;4300.001;9299;49.4;22.432;181.1
 24-02-2023 15:37:55;58;99;31;5330.777;1920;162.664;59;68.229;4300;9311;49.2;22.238;180.9
 24-02-2023 15:37:56;58;97;34;5362.84;1912;163.218;57;71.615;4300.003;9304;46.6;59.195;180.6
 24-02-2023 15:37:57;59;99;33;5364.902;1920;162.814;57;66.406;4300.001;9378;42.2;29.069;180.4
 24-02-2023 15:37:58;56;25;7;5363.402;1935;94.846;59;59.896;4300.001;9354;33.9;218.94;180.2
 24-02-2023 15:37:59;59;99;33;5420.402;1920;162.152;57;66.406;4300.001;9338;42.2;52.493;180
 24-02-2023 15:38:00;59;99;33;5376.34;1920;163.529;61;66.406;4300.002;9316;41.7;26.261;179.7
 24-02-2023 15:38:01;59;99;35;5369.09;1920;164.167;60;66.667;4300.002;9387;40.2;29.442;179.5
 24-02-2023 15:38:02;59;99;36;5371.84;1912;163.47;58;70.052;4300.001;9374;40.6;28.828;179.3
 24-02-2023 15:38:03;60;99;36;5374.715;1920;164.811;59;63.021;4300.001;9367;39.8;27.397;179.1
 24-02-2023 15:38:04;59;99;37;5383.84;1920;165.178;60;68.49;4300.001;9366;39.6;29.434;178.8
 24-02-2023 15:38:05;60;99;39;5395.527;1905;165.59;57;64.063;4300.001;9466;40.5;26.896;178.6
 24-02-2023 15:38:06;60;99;39;5423.59;1905;165.236;58;63.281;4300.001;9465;41.4;27.493;178.4
 24-02-2023 15:38:07;60;99;37;5431.34;1920;164.282;56;65.365;4300.001;9455;43.2;25.892;178.2
 24-02-2023 15:38:08;60;99;36;5429.652;1920;164.975;61;61.979;4300.001;9513;42.6;26.319;178
 24-02-2023 15:38:09;60;99;31;5435.215;1920;164.189;57;63.802;4300.001;9556;39.9;28.292;177.8
 24-02-2023 15:38:10;60;99;35;5433.34;1920;163.253;56;69.271;4300.002;9508;41.8;26.87;177.5
 24-02-2023 15:38:11;61;99;36;5432.402;1920;163.462;60;64.844;4300.002;9442;42.2;26.814;177.3
 24-02-2023 15:38:12;61;99;36;5424.965;1905;166.63;59;64.594;4300;9549;38.7;30.348;177.1
 24-02-2023 15:38:13;61;99;34;5415.402;1920;165.371;58;75.148;4300.003;9527;39.9;27.461;176.9
 24-02-2023 15:38:14;60;99;33;5413.652;1920;160.999;55;70.573;4300.003;9501;42.8;36.733;176.7
 24-02-2023 15:38:15;61;99;33;5421.215;1920;163.847;54;70.313;4300.001;9472;45;25.201;176.5
 24-02-2023 15:38:16;61;99;34;5425.652;1920;164.436;55;67.188;4300.001;9576;38.2;28.37;176.3
 24-02-2023 15:38:17;61;99;36;5423.215;1920;165.018;56;64.337;4300.002;9550;39.8;28.6;176
 24-02-2023 15:38:18;61;99;37;5423.027;1920;164.881;59;66.406;4300.001;9525;41.2;26.727;175.8
 24-02-2023 15:38:19;62;99;37;5418.965;1920;167.107;59;63.802;4300.001;9505;41.9;25.253;175.6
 24-02-2023 15:38:20;61;99;37;5427.902;1920;167.18;57;63.281;4300.001;9615;43;26.396;175.4
 24-02-2023 15:38:21;61;99;38;5427.527;1920;166.125;61;63.251;4300.001;9585;44.1;24.2;175.2
 24-02-2023 15:38:22;62;99;37;5428.84;1920;163.752;56;64.844;4300.001;9558;45.7;25.065;175
 24-02-2023 15:38:23;62;99;38;5436.402;1920;168.718;56;64.323;4300.001;9609;45.4;25.984;174.8
 24-02-2023 15:38:24;62;99;39;5436.777;1905;168.683;57;67.448;4300.001;9628;45.1;25.79;174.6
 24-02-2023 15:38:25;62;99;38;5437.652;1905;167.824;55;64.844;4300.001;9590;43.1;25.427;174.4
 24-02-2023 15:38:26;62;99;35;5418.34;1920;165.842;57;66.927;4300.001;9554;42.3;26.13;174.2
 24-02-2023 15:38:27;62;99;35;5419.09;1912;166.474;60;63.542;4300;9656;45.2;25.223;174
 24-02-2023 15:38:28;62;99;34;5417.277;1920;165.948;58;67.448;4300;9614;48.4;22.849;173.8
 24-02-2023 15:38:29;62;99;33;5413.402;1912;166.503;55;66.406;4300.003;9563;57.5;22.231;173.6
 24-02-2023 15:38:30;62;99;36;5403.465;1905;168.872;58;65.365;4300.002;9532;48.9;22.636;173.4
 24-02-2023 15:38:31;62;99;34;5407.715;1920;166.445;59;70.833;4300.002;9646;54.4;20.69;173.3
 24-02-2023 15:38:32;63;99;34;5393.902;1912;167.056;60;68.229;4300.001;9636;55.7;20.535;173.1
 24-02-2023 15:38:33;63;99;36;5372.902;1897;170.104;59;63.542;4300.001;9604;51.8;23.587;172.9
 24-02-2023 15:38:34;63;99;37;5359.09;1897;166.948;56;62.24;4300.001;9572;47.8;23.843;172.7
 24-02-2023 15:38:35;63;99;36;5355.777;1905;168.329;59;60.417;4300.001;9666;43.1;25.129;172.5
 24-02-2023 15:38:36;63;99;35;5328.09;1897;167.876;57;61.979;4300.001;9644;43;26.462;172.3
 24-02-2023 15:38:37;63;99;33;5328.902;1897;166.663;55;63.021;4300.001;9622;44.2;25.447;172.1
 24-02-2023 15:38:38;63;99;31;5333.402;1912;167.228;57;63.021;4300.001;9655;45.4;24.95;171.9
 24-02-2023 15:38:39;63;99;35;5330.34;1912;164.704;59;63.281;4300.001;9692;53.5;21.841;171.8
 24-02-2023 15:38:40;63;99;34;5327.465;1905;166.131;61;68.49;4300.001;9650;58.6;19.629;171.6
 24-02-2023 15:38:41;63;99;32;5329.34;1897;170.152;59;60.938;4300.001;9603;49.7;24.081;171.4
 24-02-2023 15:38:42;63;99;33;5322.465;1897;169.143;61;63.281;4300.001;9702;43.5;24.36;171.2
 24-02-2023 15:38:43;63;99;34;5342.34;1905;167.956;58;70.573;4300.001;9668;43.8;31.815;171
 24-02-2023 15:38:44;64;99;34;5340.527;1905;168.15;60;66.406;4300.001;9646;44;25.45;170.8
 24-02-2023 15:38:45;63;99;33;5339.402;1897;169.863;59;66.406;4300.001;9616;44.5;26.298;170.6
 24-02-2023 15:38:46;64;99;32;5300.34;1897;169.24;59;67.969;4300.001;9727;45.7;25.184;170.4
 24-02-2023 15:38:47;64;99;30;5293.527;1890;169.56;57;71.354;4300.001;9697;44.8;24.766;170.3
 24-02-2023 15:38:48;63;99;29;5200.34;1897;167.072;59;75;4300.001;9683;42.1;27.971;170.1
 24-02-2023 15:38:49;63;99;30;5139.215;1905;166.15;57;74.219;4300.001;9666;41.2;27.393;169.9
 24-02-2023 15:38:50;63;99;31;5109.027;1897;168.187;59;72.135;4300.001;9801;42.4;26.47;169.7
 24-02-2023 15:38:51;63;99;33;5090.152;1912;166.89;57;75.781;4300.001;9774;42.7;27.132;169.5
 24-02-2023 15:38:52;63;99;34;5092.777;1897;165.909;58;78.646;4300.001;9770;44;26.667;169.3
 24-02-2023 15:38:53;63;99;34;5105.84;1890;169.619;57;80.208;4300.001;9845;43.4;31.03;169.1
 24-02-2023 15:38:54;63;99;34;5119.027;1897;168.438;58;82.031;4300.001;9892;42;31.069;168.9
 24-02-2023 15:38:55;63;99;33;5365.277;1912;164.646;61;89.844;4300.001;9883;40.7;36.661;168.7
 24-02-2023 15:38:56;63;99;33;5422.402;1912;167.28;61;91.927;4300.001;9847;40.8;31.171;168.6
 24-02-2023 15:38:57;63;99;34;5451.34;1890;164.83;59;84.635;4300.001;9986;39.8;32.866;168.4
 24-02-2023 15:38:58;63;99;33;5473.277;1912;164.702;61;84.375;4300.001;9950;39.7;32.074;168.2
 24-02-2023 15:38:59;63;99;32;5484.152;1905;165.754;60;82.292;4300.001;9928;39.1;31.273;168
 24-02-2023 15:39:00;63;99;31;5493.59;1905;167.453;60;83.333;4300.001;9892;37.9;32.083;167.8
 24-02-2023 15:39:01;64;99;30;5433.59;1905;169.955;62;80.208;4300.001;10037;41.4;29.114;167.6
 24-02-2023 15:39:02;64;99;30;5400.402;1905;168.697;57;68.75;4300.001;10000;43.7;26.274;167.4
 24-02-2023 15:39:03;63;99;30;5354.965;1905;168.599;56;67.448;4300.001;9930;45.2;24.057;167.3
 24-02-2023 15:39:04;64;99;31;5318.152;1905;167.465;59;68.229;4300.001;9891;47.9;24.437;167.1
 24-02-2023 15:39:05;64;99;31;5317.215;1905;168.835;58;69.271;4300.001;10012;49.9;21.206;166.9
 24-02-2023 15:39:06;64;99;30;5290.965;1905;166.875;59;67.708;4300.001;9981;48.1;23.327;166.7
 24-02-2023 15:39:07;63;99;30;5276.527;1912;165.432;59;68.49;4300.001;9954;46.7;23.557;166.6
 24-02-2023 15:39:08;64;99;31;5270.465;1912;167.459;57;77.604;4300.002;10087;45.6;27.757;166.4
 24-02-2023 15:39:09;64;99;31;5250.402;1905;167.183;59;80.208;4300.002;10082;43.9;26.096;166.2
 24-02-2023 15:39:10;57;21;6;5244.715;1920;68.421;58;84.896;4300.002;9927;70.4;107.569;166.1
