Datetime; GPU temperature     ;GPU usage           ;FB usage            ;Memory usage        ;Core clock          ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 15:40:39;52;53;13;4677.152;1935;94.749;59;92.969;4300;8911;315.9;7.334;172.2
 24-02-2023 15:40:40;51;27;7;4844.965;1935;64.419;62;95.052;4300.001;8975;286.5;33.012;172.3
 24-02-2023 15:40:41;50;31;8;5230.027;1935;71.878;58;96.875;4300.001;9104;175;69.01;172.3
 24-02-2023 15:40:42;57;98;32;5232.523;1935;153.427;61;79.688;4300.001;9220;64.9;76.75;172.2
 24-02-2023 15:40:43;58;99;31;5232.586;1935;152.932;57;72.656;4300.002;9272;66.8;19.791;172
 24-02-2023 15:40:44;57;98;31;5227.336;1935;152.138;57;75;4300.002;9310;67.5;16.868;171.9
 24-02-2023 15:40:45;58;99;32;5226.711;1935;153.569;57;73.698;4300.001;9340;67.1;17.235;171.8
 24-02-2023 15:40:46;57;76;25;5264.523;1935;144.549;60;80.208;4300.001;9438;60.7;66.199;171.6
 24-02-2023 15:40:47;58;99;32;5252.148;1920;152.768;58;74.74;4300.001;9411;59.7;22.756;171.5
 24-02-2023 15:40:48;55;14;4;5270.086;1935;70.461;58;71.615;4300;9386;45.2;220.613;171.3
 24-02-2023 15:40:49;58;99;32;5317.586;1927;153.363;61;79.167;4300;9366;60.2;19.17;171.2
 24-02-2023 15:40:50;58;99;32;5273.648;1927;154.06;60;76.042;4300.002;9441;58.2;23.24;171.1
 24-02-2023 15:40:51;59;99;34;5276.961;1927;157.781;59;79.427;4300.002;9412;56.4;22.004;170.9
 24-02-2023 15:40:52;59;99;34;5279.023;1927;154.883;58;77.344;4300.001;9399;56.5;29.107;170.8
 24-02-2023 15:40:53;59;99;35;5282.523;1927;157.926;60;76.823;4300.002;9417;55.4;20.972;170.6
 24-02-2023 15:40:54;59;99;35;5291.398;1927;157.158;58;76.042;4300.002;9491;56;20.778;170.5
 24-02-2023 15:40:55;60;99;36;5294.211;1927;159.575;56;77.865;4300;9489;58.4;19.023;170.3
 24-02-2023 15:40:56;59;99;37;5322.398;1927;159.403;57;77.083;4300;9481;59.9;30.361;170.2
 24-02-2023 15:40:57;59;99;37;5331.836;1927;159.883;57;77.865;4300.002;9585;59.9;19.313;170.1
 24-02-2023 15:40:58;60;99;35;5330.586;1927;157.067;58;77.344;4300.001;9583;58.8;18.969;169.9
 24-02-2023 15:40:59;60;99;33;5335.461;1927;158.488;56;78.646;4300;9569;56.1;20.752;169.8
 24-02-2023 15:41:00;59;98;34;5333.461;1927;154.195;59;79.948;4300;9514;57.8;20.899;169.6
 24-02-2023 15:41:01;60;99;35;5333.336;1927;156.435;58;76.823;4300.001;9564;58.1;19.392;169.5
 24-02-2023 15:41:02;60;99;34;5320.398;1927;157.124;59;80.729;4300.001;9549;54.1;21.05;169.4
 24-02-2023 15:41:03;60;99;33;5316.898;1927;156.25;57;76.823;4300.002;9528;55.6;21.62;169.2
 24-02-2023 15:41:04;60;99;33;5314.523;1927;151.323;59;84.115;4300.002;9503;59.4;26.329;169.1
 24-02-2023 15:41:05;60;99;33;5325.148;1927;154.708;58;83.594;4300;9597;61.1;20.67;169
 24-02-2023 15:41:06;60;99;34;5325.273;1927;157.119;60;75.781;4300;9569;54.5;20.975;168.8
 24-02-2023 15:41:07;61;99;35;5322.523;1927;158.97;58;74.219;4300.001;9547;56.8;22.049;168.7
 24-02-2023 15:41:08;61;99;36;5322.211;1927;159.989;57;78.906;4300.001;9546;58.9;19.326;168.5
 24-02-2023 15:41:09;60;99;37;5318.961;1927;159.467;58;72.656;4300.001;9627;60.1;17.933;168.4
 24-02-2023 15:41:10;61;98;36;5327.961;1927;158.977;58;77.083;4300.001;9608;60.7;19.632;168.3
 24-02-2023 15:41:11;61;99;36;5327.586;1927;157.99;56;75.521;4300.001;9581;62.2;18.723;168.1
 24-02-2023 15:41:12;61;98;36;5335.461;1927;159.23;60;82.292;4300.001;9694;62.9;19.903;168
 24-02-2023 15:41:13;61;99;36;5336.086;1927;156.987;58;78.906;4300.001;9657;60.3;19.094;167.9
 24-02-2023 15:41:14;61;99;36;5336.836;1927;159.175;60;65.365;4300.001;9623;61.5;18.533;167.8
 24-02-2023 15:41:15;61;99;36;5337.648;1927;159.516;57;76.302;4300.002;9585;59.1;18.566;167.6
 24-02-2023 15:41:16;61;98;34;5318.148;1927;160.185;59;73.698;4300.002;9681;60.3;18.928;167.5
 24-02-2023 15:41:17;61;98;36;5319.086;1927;160.828;60;86.719;4300.001;9652;64.9;16.891;167.4
 24-02-2023 15:41:18;61;98;35;5317.273;1927;156.144;57;78.125;4300.001;9609;69.9;16.699;167.2
 24-02-2023 15:41:19;62;98;34;5313.273;1927;159.513;59;80.99;4300.001;9559;77.5;15.577;167.1
 24-02-2023 15:41:20;62;98;36;5303.711;1927;160.536;57;77.344;4300;9664;71;16.117;167
 24-02-2023 15:41:21;62;98;36;5305.648;1927;156.227;58;91.667;4300;9671;76.9;16.992;166.9
 24-02-2023 15:41:22;62;98;35;5290.898;1927;157.436;58;81.51;4300.002;9637;76.7;15.553;166.8
 24-02-2023 15:41:23;62;98;36;5256.461;1927;163.884;56;73.698;4300.002;9645;72.2;16.089;166.7
 24-02-2023 15:41:24;62;98;35;5246.211;1927;162.122;58;73.438;4300;9710;70.1;17.446;166.6
 24-02-2023 15:41:25;62;98;35;5228.773;1927;161.687;59;99.743;4300.005;9671;64;17.489;166.4
 24-02-2023 15:41:26;62;98;35;5213.836;1927;161.13;58;44.215;4300;9640;63.6;17.683;166.3
 24-02-2023 15:41:27;62;98;34;5214.461;1927;159.307;58;64.08;4300;9751;65.3;17.628;166.2
 24-02-2023 15:41:28;62;98;33;5218.148;1927;158.521;58;77.263;4300.001;9713;67.5;18.749;166.1
 24-02-2023 15:41:29;62;98;35;5209.773;1927;156.366;59;77.083;4300.001;9674;75.7;16.989;166
 24-02-2023 15:41:30;62;98;36;5210.773;1927;160.097;58;77.865;4300.001;9634;78.1;15.76;165.9
 24-02-2023 15:41:31;62;99;33;5214.336;1927;160.955;58;73.698;4300.001;9737;70.9;20.322;165.7
 24-02-2023 15:41:32;63;98;34;5208.773;1927;162.746;57;83.333;4300.001;9702;65;18.124;165.6
 24-02-2023 15:41:33;63;99;34;5214.336;1927;160.032;61;90.625;4300.001;9683;64.5;19.765;165.5
 24-02-2023 15:41:34;62;98;34;5205.523;1927;161.429;62;65.885;4300;9653;64.1;17.821;165.4
 24-02-2023 15:41:35;62;98;34;5213.398;1927;159.513;57;94.01;4300.001;9775;65.4;21.383;165.3
 24-02-2023 15:41:36;63;98;33;5173.836;1927;160.054;61;79.427;4300.001;9744;66.6;18.806;165.1
 24-02-2023 15:41:37;63;98;31;5151.461;1927;159.647;60;92.969;4300.001;9716;64.6;19.241;165
 24-02-2023 15:41:38;62;98;30;5072.023;1927;159.541;60;81.771;4300.001;9734;61.7;20.269;164.9
 24-02-2023 15:41:39;62;98;32;5030.398;1927;161.413;59;85.417;4300.002;9815;60.9;21.895;164.8
 24-02-2023 15:41:40;63;98;33;4985.461;1927;160.147;59;86.719;4300.002;9790;59.9;20.188;164.7
 24-02-2023 15:41:41;63;99;34;4970.648;1927;159.114;58;83.073;4300.001;9754;61.9;20.471;164.5
 24-02-2023 15:41:42;63;98;35;4978.711;1927;159.896;60;95.573;4300.001;9897;62.9;20.409;164.4
 24-02-2023 15:41:43;63;98;33;4984.523;1927;159.012;60;97.135;4300.001;9885;61.4;23.708;164.3
 24-02-2023 15:41:44;63;98;32;5042.523;1927;159.074;59;95.313;4300.001;9872;57.7;24.829;164.2
 24-02-2023 15:41:45;61;79;25;5303.211;1927;135.585;60;98.698;4300.001;9850;46.1;28.622;164
 24-02-2023 15:41:46;63;95;32;5343.586;1927;157.5;61;96.875;4300;9976;52.4;28.725;163.9
 24-02-2023 15:41:47;63;97;33;5395.023;1927;157.584;60;97.656;4300.005;9954;51.9;24.636;163.8
 24-02-2023 15:41:48;62;97;33;5415.523;1927;155.717;61;96.615;4300.005;9930;51.2;28.988;163.6
 24-02-2023 15:41:49;63;99;32;5457.961;1927;159.02;60;93.75;4300.001;9907;51.3;37.424;163.5
 24-02-2023 15:41:50;63;99;32;5410.898;1912;161.396;60;92.448;4300.001;10053;51.8;23.614;163.4
 24-02-2023 15:41:51;63;99;31;5324.336;1912;163.978;59;82.292;4300.001;10023;57.7;21.258;163.2
 24-02-2023 15:41:52;63;98;31;5298.086;1912;162.655;58;76.302;4300.001;9986;61.9;19.704;163.1
 24-02-2023 15:41:53;63;98;32;5266.648;1912;160.525;61;96.875;4300.001;9973;64.1;21.793;163
 24-02-2023 15:41:54;63;98;33;5218.086;1912;160.263;58;73.958;4300.001;10061;68.1;17.648;162.9
 24-02-2023 15:41:55;63;98;33;5189.148;1912;160.499;61;78.646;4300.001;10031;71.3;17.899;162.8
 24-02-2023 15:41:56;63;98;33;5188.336;1912;161.252;59;78.125;4300.001;10000;67.9;18.345;162.7
 24-02-2023 15:41:57;63;98;33;5174.336;1912;160.393;60;82.031;4299.999;10158;66.3;19.715;162.6
 24-02-2023 15:41:58;63;98;33;5149.648;1912;158.37;59;84.375;4299.999;10138;63.2;18.968;162.5
 24-02-2023 15:41:59;63;98;33;5137.586;1912;160.37;59;94.01;4300.002;10090;60.5;18.558;162.3
 24-02-2023 15:42:00;56;17;5;5142.648;1927;64.516;61;90.625;4300.002;9987;71.3;114.187;162.2
 24-02-2023 15:42:01;56;19;4;5082.711;1927;68.657;58;95.313;4300.001;10015;85.1;95.556;162.1
