Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:43:11;60.000;99.000;32.000;5402.695;1920.000;160.223;59.000;68.490;4300.002;9227.000;55.800;21.436;172.400
24-02-202315:43:12;60.000;99.000;32.000;5397.508;1920.000;160.609;58.000;67.708;4300.002;9298.000;56.200;20.139;172.300
24-02-202315:43:13;60.000;99.000;32.000;5397.008;1920.000;161.727;57.000;67.969;4300.002;9336.000;55.900;20.956;172.100
24-02-202315:43:14;60.000;79.000;26.000;5437.320;1920.000;161.768;59.000;69.531;4300.002;9345.000;51.700;61.666;172.000
24-02-202315:43:15;61.000;99.000;32.000;5424.820;1920.000;161.533;57.000;67.188;4300.001;9326.000;48.300;28.212;171.900
24-02-202315:43:16;58.000;21.000;6.000;5461.258;1920.000;130.783;58.000;66.133;4300.001;9410.000;38.800;218.369;171.700
24-02-202315:43:17;61.000;99.000;33.000;5491.570;1920.000;162.488;59.000;69.067;4300.000;9384.000;48.700;22.502;171.600
24-02-202315:43:18;61.000;99.000;33.000;5443.258;1920.000;158.804;58.000;72.034;4300.000;9378.000;47.700;26.650;171.500
24-02-202315:43:19;61.000;99.000;34.000;5442.195;1920.000;166.221;59.000;65.366;4300.002;9355.000;46.400;23.834;171.300
24-02-202315:43:20;61.000;99.000;35.000;5444.320;1920.000;162.516;59.000;71.354;4300.002;9431.000;46.500;23.378;171.200
24-02-202315:43:21;62.000;99.000;36.000;5449.133;1920.000;162.956;55.000;70.573;4300.001;9441.000;45.500;26.594;171.100
24-02-202315:43:22;62.000;99.000;37.000;5453.133;1920.000;163.517;58.000;65.876;4300.001;9452.000;46.100;24.301;170.900
24-02-202315:43:23;62.000;99.000;37.000;5456.570;1920.000;165.736;58.000;66.423;4300.001;9449.000;47.300;24.105;170.800
24-02-202315:43:24;62.000;99.000;38.000;5486.195;1920.000;165.649;57.000;69.725;4300.001;9552.000;48.500;24.290;170.700
24-02-202315:43:25;62.000;99.000;37.000;5494.570;1920.000;165.979;60.000;68.803;4300.001;9540.000;49.800;24.487;170.600
24-02-202315:43:26;62.000;99.000;37.000;5493.320;1920.000;164.832;60.000;72.917;4300.001;9551.000;48.700;23.997;170.400
24-02-202315:43:27;62.000;99.000;32.000;5497.570;1920.000;163.576;59.000;74.087;4300.002;9587.000;46.700;24.270;170.300
24-02-202315:43:28;62.000;99.000;34.000;5497.383;1920.000;160.711;58.000;67.448;4300.001;9584.000;48.700;23.267;170.200
24-02-202315:43:29;62.000;99.000;36.000;5497.883;1920.000;164.148;58.000;71.711;4300.001;9531.000;47.600;24.200;170.000
24-02-202315:43:30;62.000;99.000;36.000;5483.008;1920.000;166.904;58.000;70.052;4300.001;9515.000;44.800;25.568;169.900
24-02-202315:43:31;62.000;99.000;33.000;5479.820;1920.000;161.722;57.000;71.008;4300.000;9610.000;46.900;24.716;169.800
24-02-202315:43:32;62.000;92.000;30.000;5477.070;1920.000;160.137;56.000;73.297;4300.003;9585.000;50.200;26.880;169.700
24-02-202315:43:33;62.000;99.000;32.000;5490.008;1920.000;162.495;56.000;73.698;4300.003;9559.000;51.100;23.342;169.500
24-02-202315:43:34;63.000;99.000;34.000;5490.570;1920.000;163.939;58.000;69.792;4300.001;9537.000;45.100;24.019;169.400
24-02-202315:43:35;63.000;99.000;36.000;5487.445;1920.000;164.786;58.000;69.212;4300.002;9634.000;46.800;24.164;169.300
24-02-202315:43:36;63.000;99.000;35.000;5486.758;1920.000;164.363;59.000;71.875;4300.000;9609.000;48.700;24.052;169.100
24-02-202315:43:37;63.000;99.000;36.000;5483.508;1920.000;164.428;59.000;69.332;4300.000;9590.000;49.400;23.351;169.000
24-02-202315:43:38;62.000;99.000;36.000;5490.758;1920.000;163.891;60.000;67.969;4300.001;9573.000;49.900;22.962;168.900
24-02-202315:43:39;63.000;99.000;37.000;5492.070;1920.000;164.661;60.000;65.625;4300.001;9672.000;50.800;23.777;168.800
24-02-202315:43:40;63.000;99.000;37.000;5499.945;1920.000;164.004;58.000;73.438;4300.001;9650.000;52.000;21.211;168.700
24-02-202315:43:41;63.000;99.000;37.000;5501.008;1912.000;165.360;58.000;70.313;4300.001;9620.000;51.700;27.696;168.500
24-02-202315:43:42;63.000;99.000;37.000;5502.008;1905.000;164.686;61.000;67.969;4300.001;9654.000;51.300;22.845;168.400
24-02-202315:43:43;63.000;99.000;36.000;5502.820;1912.000;167.147;59.000;68.490;4300.001;9676.000;49.000;22.952;168.300
24-02-202315:43:44;63.000;99.000;33.000;5483.570;1912.000;165.144;59.000;68.750;4300.001;9642.000;49.400;22.657;168.200
24-02-202315:43:45;63.000;99.000;35.000;5484.320;1912.000;166.161;57.000;67.188;4300.001;9614.000;52.500;21.598;168.000
24-02-202315:43:46;63.000;99.000;33.000;5482.570;1912.000;162.085;59.000;70.833;4300.001;9702.000;56.900;19.765;167.900
24-02-202315:43:47;63.000;99.000;33.000;5478.320;1905.000;167.782;58.000;75.260;4300.001;9643.000;63.700;23.006;167.800
24-02-202315:43:48;63.000;99.000;35.000;5469.945;1912.000;165.728;59.000;67.448;4300.001;9607.000;56.700;19.612;167.700
24-02-202315:43:49;63.000;99.000;34.000;5470.195;1912.000;163.508;60.000;58.333;4300.001;9576.000;62.100;19.151;167.600
24-02-202315:43:50;63.000;99.000;33.000;5456.320;1912.000;163.947;59.000;52.604;4300.001;9683.000;62.500;17.461;167.500
24-02-202315:43:51;63.000;99.000;35.000;5427.570;1890.000;167.479;60.000;67.188;4300.001;9655.000;58.400;27.324;167.400
24-02-202315:43:52;64.000;99.000;35.000;5422.945;1912.000;168.764;60.000;65.625;4300.001;9626.000;55.300;21.389;167.300
24-02-202315:43:53;64.000;99.000;35.000;5404.258;1905.000;167.268;60.000;65.625;4300.001;9589.000;50.400;22.529;167.100
24-02-202315:43:54;64.000;99.000;34.000;5389.445;1905.000;167.303;61.000;68.229;4300.001;9699.000;50.200;22.224;167.000
24-02-202315:43:55;64.000;99.000;32.000;5391.758;1912.000;165.508;60.000;69.271;4300.001;9669.000;52.100;22.042;166.900
24-02-202315:43:56;64.000;99.000;31.000;5395.383;1905.000;164.085;61.000;65.104;4300.001;9635.000;53.600;22.463;166.800
24-02-202315:43:57;64.000;99.000;33.000;5388.070;1912.000;162.704;60.000;65.625;4300.001;9667.000;61.500;19.474;166.700
