Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202315:49:05;56.000;99.000;31.000;5215.148;1935.000;153.896;61.000;73.177;4300.002;9586.000;69.100;18.549;159.900
24-02-202315:49:06;57.000;98.000;32.000;5209.836;1935.000;154.155;59.000;78.125;4300.001;9424.000;69.600;16.365;159.900
24-02-202315:49:07;57.000;98.000;33.000;5209.211;1935.000;153.468;58.000;75.000;4300.000;9424.000;69.000;16.433;159.800
24-02-202315:49:08;57.000;94.000;32.000;5254.523;1935.000;154.668;61.000;79.427;4300.000;9408.000;62.200;59.304;159.700
24-02-202315:49:09;57.000;99.000;33.000;5242.148;1935.000;155.083;61.000;80.729;4300.001;9484.000;60.400;18.921;159.700
24-02-202315:49:10;55.000;31.000;10.000;5266.836;1935.000;103.452;58.000;66.406;4300.000;9480.000;45.800;223.686;159.600
24-02-202315:49:11;58.000;99.000;33.000;5291.586;1935.000;153.281;61.000;81.250;4300.000;9443.000;61.100;18.825;159.500
24-02-202315:49:12;58.000;99.000;33.000;5258.523;1935.000;153.679;59.000;78.385;4300.001;9428.000;58.800;22.513;159.400
24-02-202315:49:13;58.000;99.000;34.000;5258.523;1935.000;154.554;58.000;77.083;4300.001;9493.000;57.700;19.623;159.300
24-02-202315:49:14;58.000;98.000;36.000;5261.711;1935.000;156.545;56.000;81.250;4300.001;9486.000;57.400;21.083;159.300
24-02-202315:49:15;58.000;99.000;36.000;5266.211;1935.000;156.343;58.000;75.781;4300.001;9483.000;56.300;21.238;159.200
24-02-202315:49:16;59.000;99.000;35.000;5273.336;1935.000;156.295;59.000;79.167;4300.001;9496.000;57.100;20.067;159.100
24-02-202315:49:17;58.000;99.000;37.000;5275.398;1935.000;160.738;60.000;77.865;4300.002;9581.000;58.900;19.192;159.000
24-02-202315:49:18;59.000;99.000;37.000;5302.461;1935.000;159.311;58.000;75.521;4300.002;9572.000;60.000;21.149;158.900
24-02-202315:49:19;59.000;98.000;36.000;5311.211;1935.000;157.402;61.000;82.552;4300.001;9571.000;60.100;20.576;158.900
24-02-202315:49:20;59.000;99.000;35.000;5309.961;1920.000;156.711;59.000;75.521;4300.002;9680.000;58.900;18.924;158.800
24-02-202315:49:21;59.000;99.000;32.000;5314.148;1920.000;157.445;61.000;80.208;4300.002;9668.000;56.200;21.222;158.700
24-02-202315:49:22;59.000;99.000;34.000;5310.836;1920.000;153.591;58.000;79.167;4300.001;9591.000;58.400;19.135;158.600
24-02-202315:49:23;59.000;99.000;35.000;5312.773;1920.000;157.652;57.000;85.417;4300.001;9545.000;57.600;21.120;158.600
24-02-202315:49:24;59.000;99.000;34.000;5299.523;1920.000;154.932;61.000;77.604;4300.001;9656.000;54.300;24.076;158.500
24-02-202315:49:25;59.000;99.000;33.000;5296.273;1920.000;153.943;61.000;80.208;4299.999;9634.000;56.700;20.556;158.400
24-02-202315:49:26;59.000;99.000;33.000;5294.273;1920.000;150.497;59.000;75.626;4299.999;9605.000;60.400;26.223;158.300
24-02-202315:49:27;59.000;99.000;33.000;5305.336;1920.000;154.280;56.000;89.425;4300.001;9573.000;60.400;20.093;158.200
24-02-202315:49:28;59.000;99.000;34.000;5305.773;1920.000;154.809;59.000;74.219;4300.001;9674.000;54.700;20.553;158.200
24-02-202315:49:29;60.000;99.000;36.000;5303.023;1920.000;157.549;58.000;79.427;4300.002;9647.000;56.800;20.197;158.100
24-02-202315:49:30;60.000;99.000;36.000;5302.336;1920.000;157.664;58.000;77.165;4300.000;9618.000;58.700;18.884;158.000
24-02-202315:49:31;60.000;99.000;37.000;5298.898;1920.000;159.076;60.000;76.470;4300.001;9624.000;60.000;19.073;157.900
24-02-202315:49:32;60.000;99.000;37.000;5307.711;1920.000;158.804;59.000;75.781;4300.001;9702.000;60.500;20.613;157.900
24-02-202315:49:33;60.000;99.000;37.000;5307.336;1920.000;158.438;59.000;72.656;4300.001;9674.000;61.400;19.026;157.800
24-02-202315:49:34;60.000;99.000;36.000;5315.211;1920.000;155.590;57.000;84.115;4300.001;9653.000;62.300;18.308;157.700
24-02-202315:49:35;60.000;99.000;37.000;5315.523;1920.000;159.579;59.000;78.705;4300.001;9758.000;61.800;19.705;157.600
24-02-202315:49:36;60.000;99.000;36.000;5315.961;1920.000;155.923;57.000;77.263;4300.001;9723.000;61.000;18.129;157.600
24-02-202315:49:37;61.000;99.000;36.000;5316.773;1920.000;160.954;61.000;71.354;4300.001;9683.000;59.500;18.714;157.500
24-02-202315:49:38;61.000;99.000;34.000;5297.273;1920.000;159.259;56.000;76.042;4300.000;9646.000;60.500;18.594;157.400
24-02-202315:49:39;61.000;98.000;35.000;5298.211;1920.000;159.225;58.000;81.771;4300.000;9754.000;65.000;17.493;157.400
24-02-202315:49:40;61.000;98.000;35.000;5296.398;1920.000;157.129;58.000;76.652;4300.003;9710.000;70.800;17.230;157.300
24-02-202315:49:41;61.000;98.000;34.000;5292.836;1920.000;159.849;60.000;83.073;4300.000;9661.000;77.500;15.860;157.200
24-02-202315:49:42;61.000;98.000;37.000;5284.961;1920.000;160.384;59.000;76.108;4300.001;9629.000;71.500;15.889;157.200
24-02-202315:49:43;61.000;98.000;35.000;5282.461;1920.000;155.823;56.000;81.387;4300.001;9751.000;77.500;15.165;157.100
24-02-202315:49:44;61.000;98.000;34.000;5269.086;1920.000;156.550;60.000;79.167;4300.001;9754.000;76.600;15.280;157.000
24-02-202315:49:45;62.000;98.000;37.000;5237.898;1920.000;162.366;60.000;84.375;4300.001;9717.000;72.700;17.242;157.000
24-02-202315:49:46;62.000;98.000;35.000;5234.148;1920.000;161.486;59.000;72.396;4299.999;9702.000;70.100;17.347;156.900
24-02-202315:49:47;61.000;99.000;35.000;5211.711;1920.000;161.536;58.000;58.594;4299.999;9781.000;64.500;17.881;156.800
24-02-202315:49:48;62.000;98.000;34.000;5197.273;1920.000;160.779;59.000;36.719;4300.002;9752.000;63.800;17.931;156.800
24-02-202315:49:49;62.000;98.000;34.000;5198.648;1920.000;158.125;57.000;67.708;4300.000;9722.000;65.000;17.407;156.700
24-02-202315:49:50;62.000;98.000;33.000;5202.461;1920.000;157.813;57.000;80.208;4300.000;9831.000;67.300;17.408;156.600
24-02-202315:49:51;61.000;98.000;35.000;5194.961;1920.000;154.595;59.000;77.604;4300.001;9793.000;75.200;15.514;156.600
24-02-202315:49:52;62.000;98.000;36.000;5195.461;1920.000;159.791;58.000;73.698;4300.002;9745.000;77.100;16.286;156.500
24-02-202315:49:53;62.000;99.000;34.000;5192.148;1920.000;161.401;58.000;72.396;4300.002;9702.000;69.400;19.359;156.500
24-02-202315:49:54;62.000;98.000;35.000;5195.586;1920.000;160.798;58.000;69.792;4300.001;9805.000;64.600;18.749;156.400
24-02-202315:49:55;62.000;99.000;35.000;5215.836;1920.000;162.376;60.000;69.271;4300.001;9780.000;63.200;19.031;156.300
24-02-202315:49:56;62.000;98.000;34.000;5216.836;1920.000;160.609;58.000;97.656;4300.001;9748.000;64.000;18.068;156.300
24-02-202315:49:57;62.000;98.000;34.000;5216.461;1920.000;159.902;59.000;83.073;4300.001;9726.000;66.400;17.379;156.200
24-02-202315:49:58;62.000;98.000;34.000;5180.336;1920.000;160.804;60.000;80.469;4300.001;9848.000;66.300;18.816;156.100
24-02-202315:49:59;62.000;98.000;32.000;5165.461;1920.000;159.781;59.000;84.896;4300.001;9815.000;65.400;17.679;156.000
24-02-202315:50:00;63.000;99.000;31.000;5071.023;1920.000;159.069;60.000;90.625;4300.001;9789.000;62.200;18.895;156.000
24-02-202315:50:01;62.000;99.000;33.000;5029.836;1920.000;160.450;58.000;84.635;4300.001;9822.000;60.800;22.913;155.900
24-02-202315:50:02;62.000;99.000;33.000;4980.336;1920.000;158.483;60.000;88.021;4300.001;9884.000;61.100;19.799;155.800
24-02-202315:50:03;62.000;99.000;34.000;4969.086;1920.000;159.034;61.000;94.531;4300.001;9875.000;61.100;23.282;155.800
24-02-202315:50:04;62.000;98.000;34.000;4986.211;1920.000;159.560;61.000;85.417;4300.001;9862.000;62.400;23.856;155.700
24-02-202315:50:05;62.000;98.000;34.000;5006.773;1920.000;159.240;63.000;98.958;4300.001;9998.000;59.300;26.692;155.600
24-02-202315:50:06;63.000;98.000;32.000;5066.211;1920.000;157.099;62.000;92.708;4299.999;9986.000;56.900;22.923;155.600
24-02-202315:50:07;62.000;97.000;32.000;5276.773;1920.000;159.081;59.000;98.698;4300.003;9962.000;50.600;27.635;155.500
24-02-202315:50:08;62.000;91.000;31.000;5328.773;1920.000;159.423;61.000;97.656;4300.003;9934.000;48.900;29.463;155.400
24-02-202315:50:09;62.000;98.000;33.000;5389.398;1920.000;160.219;59.000;97.917;4300.001;10069.000;52.200;27.184;155.300
24-02-202315:50:10;61.000;99.000;33.000;5394.648;1920.000;156.987;60.000;97.135;4300.001;10051.000;50.800;28.681;155.200
24-02-202315:50:11;63.000;99.000;32.000;5396.648;1920.000;159.198;60.000;94.792;4300.001;10013.000;53.600;32.359;155.200
24-02-202315:50:12;62.000;99.000;31.000;5373.398;1920.000;157.431;60.000;91.406;4300.001;9981.000;50.400;24.188;155.100
24-02-202315:50:13;63.000;99.000;32.000;5322.773;1912.000;165.176;59.000;90.104;4300.002;10117.000;58.700;21.133;155.000
24-02-202315:50:14;63.000;98.000;32.000;5319.898;1920.000;162.867;60.000;90.885;4299.997;10084.000;63.000;20.036;155.000
24-02-202315:50:15;63.000;98.000;33.000;5275.398;1920.000;161.360;57.000;59.635;4300.005;10017.000;64.200;19.883;154.900
24-02-202315:50:16;63.000;98.000;33.000;5233.211;1920.000;159.836;59.000;82.031;4300.005;10069.000;68.400;17.045;154.800
24-02-202315:50:17;63.000;98.000;34.000;5216.023;1920.000;160.679;60.000;79.948;4300.001;10132.000;71.500;16.408;154.800
24-02-202315:50:18;63.000;98.000;34.000;5214.398;1920.000;162.526;57.000;81.250;4300.001;10102.000;69.800;17.888;154.700
24-02-202315:50:19;63.000;98.000;34.000;5209.398;1920.000;160.504;59.000;85.938;4300.001;10078.000;68.100;18.424;154.600
24-02-202315:50:20;63.000;98.000;34.000;5188.711;1920.000;158.923;62.000;82.031;4300.001;10236.000;65.200;19.065;154.600
24-02-202315:50:21;63.000;98.000;33.000;5164.086;1920.000;158.629;62.000;97.396;4300.001;10204.000;62.000;17.983;154.500
