Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202310:24:09;56.000;88.000;33.000;5348.090;1927.000;155.370;49.000;24.710;4299.999;7056.000;60.700;981.807;43.000
24-02-202310:24:10;57.000;87.000;33.000;5348.090;1927.000;155.291;50.000;30.277;4299.999;7057.000;60.100;18.012;43.000
24-02-202310:24:11;57.000;87.000;33.000;5348.090;1920.000;156.137;46.000;17.969;4299.999;7053.000;60.200;18.597;43.000
24-02-202310:24:12;57.000;85.000;33.000;5348.090;1927.000;153.992;45.000;19.792;4299.999;7058.000;60.100;18.030;43.000
24-02-202310:24:13;58.000;87.000;33.000;5348.090;1927.000;153.212;45.000;17.969;4299.999;7055.000;60.100;18.454;43.000
24-02-202310:24:14;58.000;86.000;34.000;5348.027;1927.000;155.540;51.000;25.207;4299.999;7053.000;60.100;20.731;43.000
24-02-202310:24:15;58.000;88.000;33.000;5346.340;1927.000;156.892;45.000;17.010;4299.999;7054.000;60.200;18.026;43.000
24-02-202310:24:16;58.000;88.000;33.000;5346.340;1927.000;154.342;45.000;14.844;4299.999;7022.000;60.100;17.699;43.000
24-02-202310:24:17;58.000;85.000;33.000;5346.652;1927.000;155.993;45.000;17.188;4299.999;7023.000;60.100;17.648;43.000
24-02-202310:24:18;58.000;88.000;33.000;5346.652;1927.000;155.822;45.000;18.492;4299.999;7023.000;60.100;17.880;43.000
24-02-202310:24:19;58.000;87.000;33.000;5346.652;1927.000;156.196;45.000;15.576;4299.999;7025.000;60.100;18.232;43.000
24-02-202310:24:20;59.000;99.000;38.000;5330.277;1927.000;164.850;45.000;26.302;4299.999;7030.000;57.800;33.477;43.000
24-02-202310:24:21;59.000;87.000;34.000;5330.277;1927.000;156.743;50.000;18.229;4299.999;7030.000;60.200;17.507;43.100
24-02-202310:24:22;58.000;85.000;34.000;5330.277;1927.000;156.468;46.000;17.188;4299.999;7027.000;60.200;18.003;43.100
24-02-202310:24:23;60.000;99.000;31.000;5330.277;1927.000;164.004;47.000;27.344;4299.999;7095.000;42.800;104.713;43.100
24-02-202310:24:24;59.000;99.000;32.000;5330.277;1927.000;165.059;50.000;23.698;4300.000;7094.000;46.100;22.568;43.100
24-02-202310:24:25;59.000;99.000;32.000;5330.277;1912.000;162.224;48.000;22.656;4300.000;7096.000;46.000;23.049;43.100
24-02-202310:24:26;60.000;99.000;32.000;5330.277;1920.000;162.746;50.000;21.615;4299.999;7096.000;45.900;22.505;43.100
24-02-202310:24:27;60.000;99.000;32.000;5330.277;1920.000;163.152;49.000;18.235;4299.999;7099.000;45.800;23.037;43.100
24-02-202310:24:28;60.000;99.000;38.000;5330.277;1897.000;168.427;46.000;24.310;4299.999;7119.000;47.500;77.120;43.100
24-02-202310:24:29;61.000;99.000;38.000;5330.277;1897.000;168.801;47.000;20.313;4299.999;7096.000;49.300;21.111;43.100
24-02-202310:24:30;60.000;99.000;37.000;5330.277;1912.000;164.552;54.000;26.950;4299.999;7295.000;48.000;22.886;43.100
24-02-202310:24:31;60.000;99.000;37.000;5330.277;1912.000;164.178;48.000;37.542;4299.999;7451.000;46.900;22.993;43.100
24-02-202310:24:32;60.000;99.000;37.000;5330.277;1912.000;165.055;50.000;32.292;4299.999;7594.000;47.200;22.611;43.100
24-02-202310:24:33;61.000;99.000;38.000;5330.277;1912.000;162.875;54.000;34.896;4299.998;7714.000;47.200;22.200;43.100
24-02-202310:24:34;60.000;99.000;38.000;5330.277;1920.000;163.510;54.000;33.333;4300.001;7823.000;47.100;22.598;43.100
24-02-202310:24:35;60.000;99.000;35.000;5330.277;1920.000;162.526;52.000;34.896;4299.999;7940.000;44.200;91.454;43.100
24-02-202310:24:36;61.000;99.000;34.000;5330.277;1920.000;162.526;51.000;35.417;4299.999;7933.000;46.400;22.730;43.100
24-02-202310:24:37;61.000;99.000;35.000;5330.277;1920.000;162.703;50.000;34.631;4299.999;7936.000;46.300;22.642;43.100
24-02-202310:24:38;61.000;99.000;34.000;5330.277;1920.000;163.187;54.000;35.417;4299.999;7991.000;46.500;22.845;43.100
24-02-202310:24:39;61.000;99.000;35.000;5330.277;1920.000;161.777;50.000;33.594;4299.999;8021.000;46.400;22.768;43.100
24-02-202310:24:40;61.000;99.000;35.000;5330.277;1920.000;162.192;53.000;34.635;4299.999;8015.000;46.400;22.692;43.100
24-02-202310:24:41;61.000;99.000;35.000;5330.277;1920.000;159.760;52.000;33.614;4299.999;8010.000;46.400;23.559;43.100
24-02-202310:24:42;61.000;99.000;34.000;5330.277;1920.000;161.410;51.000;31.985;4300.000;8056.000;46.600;22.629;43.100
24-02-202310:24:43;61.000;99.000;36.000;5330.277;1920.000;161.593;50.000;35.677;4300.000;8055.000;46.500;22.824;43.100
24-02-202310:24:44;61.000;99.000;34.000;5330.277;1920.000;162.032;53.000;34.896;4299.999;8045.000;46.500;22.556;43.100
24-02-202310:24:45;61.000;99.000;35.000;5330.277;1912.000;162.704;48.000;38.866;4299.999;8031.000;46.700;22.625;43.100
24-02-202310:24:46;62.000;99.000;36.000;5330.277;1912.000;160.919;48.000;36.719;4299.999;8111.000;46.700;23.549;43.100
24-02-202310:24:47;61.000;99.000;35.000;5330.277;1920.000;161.362;51.000;36.458;4299.999;8092.000;46.700;22.985;43.100
24-02-202310:24:48;62.000;99.000;34.000;5330.277;1920.000;161.751;54.000;36.690;4299.999;8080.000;46.500;22.661;43.100
24-02-202310:24:49;62.000;99.000;35.000;5330.277;1920.000;163.323;48.000;35.690;4299.999;8091.000;46.700;22.270;43.100
24-02-202310:24:50;62.000;99.000;35.000;5330.277;1920.000;162.035;49.000;36.719;4299.999;8143.000;45.700;43.080;43.100
24-02-202310:24:51;62.000;99.000;34.000;5330.277;1912.000;162.807;50.000;35.417;4299.999;8131.000;46.600;22.709;43.100
24-02-202310:24:52;62.000;99.000;35.000;5330.277;1920.000;162.356;51.000;34.375;4299.999;8117.000;46.600;23.171;43.100
24-02-202310:24:53;62.000;99.000;36.000;5330.277;1920.000;162.754;53.000;37.715;4299.999;8170.000;46.900;22.692;43.100
24-02-202310:24:54;62.000;99.000;35.000;5330.277;1920.000;161.282;48.000;34.375;4299.998;8161.000;46.900;22.889;43.100
24-02-202310:24:55;62.000;99.000;35.000;5330.277;1920.000;161.730;47.000;38.601;4299.998;8147.000;46.700;23.205;43.100
24-02-202310:24:56;62.000;99.000;35.000;5330.277;1920.000;163.431;51.000;33.073;4300.000;8132.000;46.400;27.187;43.100
24-02-202310:24:57;62.000;99.000;34.000;5330.277;1920.000;161.416;53.000;38.228;4300.000;8211.000;46.500;22.802;43.100
24-02-202310:24:58;63.000;99.000;35.000;5330.277;1920.000;163.161;50.000;34.896;4299.999;8166.000;46.500;22.763;43.100
24-02-202310:24:59;62.000;99.000;34.000;5394.277;1920.000;162.598;51.000;37.807;4299.999;8122.000;46.400;23.593;43.100
24-02-202310:25:00;62.000;99.000;35.000;5394.277;1920.000;164.475;54.000;35.156;4299.999;8082.000;46.400;22.992;43.100
24-02-202310:25:01;62.000;99.000;34.000;5394.277;1920.000;161.545;49.000;39.583;4299.999;8160.000;46.400;22.940;43.100
24-02-202310:25:02;62.000;99.000;35.000;5394.277;1920.000;164.238;54.000;43.750;4299.999;8136.000;46.500;22.797;43.100
24-02-202310:25:03;63.000;99.000;34.000;5394.277;1897.000;165.183;51.000;41.560;4299.999;8106.000;46.500;22.612;43.100
24-02-202310:25:04;63.000;99.000;36.000;5394.277;1897.000;167.197;49.000;37.500;4299.999;8144.000;46.600;22.581;43.100
24-02-202310:25:05;63.000;99.000;36.000;5394.277;1897.000;168.206;54.000;40.983;4299.999;8297.000;47.100;22.630;43.100
24-02-202310:25:06;63.000;99.000;36.000;5394.277;1905.000;166.905;49.000;37.760;4300.000;8324.000;47.700;22.275;43.100
24-02-202310:25:07;63.000;99.000;36.000;5394.277;1905.000;166.905;50.000;35.921;4299.999;8342.000;47.900;22.699;43.100
24-02-202310:25:08;63.000;99.000;36.000;5394.277;1912.000;167.479;59.000;36.979;4299.999;8389.000;45.700;51.198;43.100
24-02-202310:25:09;63.000;99.000;36.000;5394.277;1905.000;167.055;47.000;39.323;4299.999;8549.000;45.800;30.102;43.100
24-02-202310:25:10;63.000;99.000;37.000;5394.277;1897.000;168.060;48.000;39.660;4299.999;8559.000;45.300;23.622;43.100
24-02-202310:25:11;63.000;99.000;38.000;5394.277;1905.000;164.776;50.000;36.979;4299.999;8570.000;43.900;24.725;43.100
24-02-202310:25:12;63.000;99.000;36.000;5394.277;1912.000;165.018;54.000;39.991;4299.999;8659.000;43.900;24.507;43.100
24-02-202310:25:13;63.000;99.000;36.000;5394.277;1912.000;164.199;48.000;38.368;4299.999;8643.000;44.200;24.537;43.100
24-02-202310:25:14;63.000;99.000;35.000;5394.277;1912.000;163.858;55.000;38.021;4299.999;8647.000;45.200;23.877;43.100
24-02-202310:25:15;63.000;99.000;35.000;5394.277;1912.000;163.529;55.000;36.690;4299.999;8694.000;45.600;23.423;43.100
