Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202310:13:34;63.000;99.000;35.000;4037.941;1897.000;165.149;53.000;25.367;4299.999;7084.000;34.500;0.000;42.700
24-02-202310:13:35;63.000;99.000;34.000;4038.316;1897.000;162.777;47.000;35.073;4299.999;7082.000;34.100;0.000;42.700
24-02-202310:13:36;63.000;99.000;35.000;4036.629;1912.000;165.848;46.000;20.869;4299.999;7081.000;34.300;0.000;42.700
24-02-202310:13:37;64.000;99.000;35.000;4036.629;1897.000;166.410;46.000;20.573;4299.999;7075.000;34.600;0.000;42.700
24-02-202310:13:38;63.000;99.000;35.000;4036.629;1897.000;166.531;49.000;22.396;4299.999;7104.000;34.600;0.000;42.700
24-02-202310:13:39;63.000;99.000;35.000;4036.629;1897.000;165.418;50.000;20.030;4299.999;7108.000;34.900;0.000;42.700
24-02-202310:13:40;63.000;99.000;35.000;4036.629;1905.000;167.298;50.000;19.811;4299.999;7102.000;34.900;0.000;42.700
24-02-202310:13:41;63.000;99.000;35.000;4036.629;1912.000;166.919;47.000;19.531;4299.999;7107.000;34.900;0.000;42.700
24-02-202310:13:42;63.000;99.000;35.000;4036.754;1905.000;165.594;46.000;20.833;4299.999;7104.000;34.800;0.000;42.700
24-02-202310:13:43;63.000;99.000;36.000;4020.566;1890.000;166.926;47.000;24.643;4300.000;7106.000;33.900;90.764;42.700
24-02-202310:13:44;63.000;99.000;36.000;4020.566;1882.000;168.117;46.000;21.928;4300.000;7108.000;34.900;30.165;42.700
24-02-202310:13:45;63.000;99.000;33.000;4020.566;1897.000;161.857;46.000;21.615;4299.999;7074.000;34.800;29.964;42.700
24-02-202310:13:46;63.000;99.000;33.000;4020.566;1912.000;162.750;46.000;20.542;4299.999;7075.000;34.600;30.356;42.700
24-02-202310:13:47;63.000;99.000;33.000;4020.566;1912.000;167.262;49.000;22.987;4299.999;7071.000;34.800;31.656;42.700
24-02-202310:13:48;64.000;99.000;33.000;4020.566;1905.000;165.315;46.000;22.336;4299.999;7076.000;35.100;29.378;42.700
24-02-202310:13:49;63.000;99.000;33.000;4020.566;1912.000;162.832;48.000;18.487;4299.999;7073.000;35.100;30.205;42.700
24-02-202310:13:50;63.000;99.000;33.000;4020.566;1905.000;165.371;47.000;24.219;4299.999;7076.000;35.000;29.881;42.700
24-02-202310:13:51;54.000;3.000;1.000;3803.566;1920.000;56.164;52.000;22.080;4299.999;6080.000;9.700;627.895;42.700
24-02-202310:13:52;53.000;2.000;1.000;3803.566;502.000;55.555;48.000;26.427;4299.999;6194.000;9.700;0.000;42.700
24-02-202310:13:53;51.000;8.000;2.000;3803.566;345.000;34.587;52.000;20.833;4299.999;6310.000;0.000;0.000;42.700
24-02-202310:13:54;57.000;51.000;13.000;3803.566;1935.000;112.432;45.000;12.500;4299.999;6327.000;15.000;2205.467;42.600
24-02-202310:13:55;57.000;58.000;14.000;3803.566;1935.000;113.810;45.000;8.854;4299.999;6328.000;60.100;18.861;42.600
24-02-202310:13:56;57.000;55.000;13.000;3803.566;1935.000;113.585;45.000;9.115;4299.999;6327.000;60.100;16.952;42.600
24-02-202310:13:57;57.000;51.000;13.000;3803.566;1935.000;113.046;45.000;10.156;4299.999;6326.000;60.100;17.209;42.600
24-02-202310:13:58;57.000;51.000;13.000;3803.566;1935.000;112.938;45.000;9.777;4299.999;6325.000;60.100;16.942;42.600
24-02-202310:13:59;57.000;55.000;14.000;3803.566;1935.000;113.518;44.000;9.375;4299.999;6327.000;60.100;17.423;42.700
24-02-202310:14:00;57.000;58.000;13.000;3803.566;1935.000;113.717;46.000;9.375;4299.999;6147.000;60.000;18.651;42.700
24-02-202310:14:01;57.000;57.000;13.000;3803.566;1935.000;113.264;46.000;8.695;4299.999;6107.000;60.200;17.776;42.700
24-02-202310:14:02;57.000;54.000;13.000;3803.566;1935.000;112.669;45.000;10.938;4299.999;6103.000;60.100;17.349;42.700
24-02-202310:14:03;57.000;51.000;13.000;3803.566;1935.000;112.993;44.000;10.033;4299.999;6101.000;60.100;17.208;42.700
24-02-202310:14:04;57.000;55.000;13.000;3803.566;1935.000;113.161;45.000;9.115;4299.999;6107.000;60.100;17.483;42.700
24-02-202310:14:05;57.000;54.000;13.000;3803.566;1935.000;112.844;45.000;7.901;4299.999;6105.000;60.100;16.901;42.700
24-02-202310:14:06;56.000;56.000;13.000;3803.566;1935.000;113.673;45.000;10.938;4299.999;6101.000;60.100;17.507;42.700
24-02-202310:14:07;57.000;56.000;13.000;3803.566;1935.000;113.826;46.000;11.571;4299.999;6103.000;60.100;17.155;42.700
24-02-202310:14:08;56.000;59.000;14.000;3803.566;1935.000;114.298;45.000;10.813;4299.999;6103.000;60.100;16.872;42.700
24-02-202310:14:09;57.000;55.000;13.000;3803.566;1935.000;113.376;45.000;10.677;4299.999;6104.000;60.100;17.362;42.700
24-02-202310:14:10;56.000;51.000;13.000;3803.566;1935.000;112.565;44.000;9.115;4299.999;6105.000;60.100;16.969;42.700
24-02-202310:14:11;57.000;55.000;13.000;3803.566;1935.000;112.994;45.000;11.198;4299.999;6104.000;60.100;17.398;42.700
24-02-202310:14:12;56.000;58.000;13.000;3803.566;1935.000;113.272;45.000;12.240;4299.999;6106.000;60.100;17.532;42.700
24-02-202310:14:13;56.000;56.000;13.000;3803.566;1935.000;112.871;45.000;8.854;4299.999;6103.000;60.200;17.501;42.700
24-02-202310:14:14;56.000;53.000;13.000;3803.566;1935.000;112.909;45.000;13.109;4299.999;6108.000;60.100;17.210;42.700
24-02-202310:14:15;56.000;51.000;13.000;3803.316;1935.000;112.765;45.000;10.813;4299.998;6101.000;60.100;17.086;42.700
24-02-202310:14:16;56.000;52.000;13.000;3803.316;1935.000;112.698;45.000;10.033;4300.000;6102.000;60.100;17.565;42.700
24-02-202310:14:17;56.000;57.000;13.000;3803.316;1935.000;112.980;45.000;11.342;4300.000;6101.000;60.200;17.079;42.700
24-02-202310:14:18;56.000;56.000;13.000;3803.316;1935.000;112.649;44.000;10.546;4299.999;6101.000;60.100;17.255;42.700
24-02-202310:14:19;56.000;54.000;13.000;3803.316;1935.000;112.577;45.000;8.166;4299.999;6098.000;60.100;17.468;42.800
24-02-202310:14:20;55.000;51.000;13.000;3803.316;1935.000;112.751;45.000;12.240;4299.999;6098.000;60.100;16.888;42.800
24-02-202310:14:21;56.000;56.000;13.000;3803.316;1935.000;113.603;45.000;9.896;4299.999;6100.000;60.100;17.384;42.800
24-02-202310:14:22;55.000;57.000;13.000;3803.316;1935.000;113.720;44.000;9.896;4299.999;6100.000;60.100;17.004;42.800
24-02-202310:14:23;56.000;56.000;13.000;3803.316;1935.000;113.562;44.000;9.635;4299.999;6100.000;60.100;17.310;42.800
24-02-202310:14:24;56.000;55.000;13.000;3803.316;1935.000;112.677;45.000;11.719;4299.999;6099.000;60.000;17.431;42.800
24-02-202310:14:25;56.000;52.000;13.000;3803.316;1935.000;112.478;45.000;11.315;4299.999;6098.000;60.200;17.214;42.800
24-02-202310:14:26;55.000;55.000;13.000;3803.316;1935.000;112.411;45.000;10.548;4299.999;6098.000;60.100;18.053;42.800
24-02-202310:14:27;56.000;54.000;13.000;3803.316;1935.000;111.395;44.000;12.084;4299.999;6101.000;60.100;18.408;42.800
24-02-202310:14:28;55.000;56.000;13.000;3803.316;1935.000;113.004;45.000;8.695;4299.999;6096.000;60.200;17.482;42.800
24-02-202310:14:29;56.000;55.000;13.000;3803.316;1935.000;112.802;48.000;12.340;4299.999;6097.000;60.100;17.028;42.800
24-02-202310:14:30;55.000;58.000;13.000;3803.316;1935.000;113.117;44.000;8.695;4299.999;6098.000;60.100;17.794;42.800
24-02-202310:14:31;56.000;55.000;13.000;3803.316;1935.000;112.795;46.000;8.333;4300.000;6101.000;60.100;17.208;42.800
24-02-202310:14:32;55.000;51.000;13.000;3803.316;1935.000;112.246;44.000;10.156;4299.999;6098.000;60.100;17.004;42.800
24-02-202310:14:33;55.000;51.000;13.000;3803.316;1935.000;111.149;45.000;10.417;4299.999;6102.000;60.100;17.909;42.800
24-02-202310:14:34;55.000;59.000;14.000;3803.316;1935.000;113.760;45.000;12.853;4299.999;6099.000;60.100;17.100;42.800
24-02-202310:14:35;55.000;56.000;13.000;3803.316;1935.000;113.005;45.000;10.283;4299.999;6098.000;60.100;17.594;42.800
24-02-202310:14:36;55.000;53.000;13.000;3803.316;1935.000;112.691;45.000;11.458;4299.999;6101.000;60.100;17.365;42.800
24-02-202310:14:37;55.000;52.000;13.000;3803.316;1935.000;112.430;46.000;11.719;4299.999;6099.000;60.200;16.977;42.800
24-02-202310:14:38;55.000;52.000;13.000;3803.316;1935.000;112.661;47.000;9.375;4299.999;6091.000;60.100;17.599;42.800
24-02-202310:14:39;55.000;58.000;14.000;3803.316;1935.000;113.338;46.000;8.333;4299.999;6094.000;60.200;16.983;42.900
24-02-202310:14:40;55.000;57.000;13.000;3803.316;1935.000;113.077;45.000;11.719;4299.999;6090.000;60.100;17.380;42.900
24-02-202310:14:41;55.000;54.000;13.000;3803.316;1935.000;112.820;47.000;11.827;4299.999;6089.000;60.100;17.005;42.900
24-02-202310:14:42;56.000;51.000;13.000;3803.316;1935.000;112.116;45.000;10.283;4299.998;6088.000;60.100;17.118;42.900
24-02-202310:14:43;55.000;55.000;13.000;3803.316;1935.000;112.581;45.000;13.281;4299.998;6090.000;60.100;17.364;42.900
24-02-202310:14:44;55.000;55.000;13.000;3803.316;1935.000;112.426;45.000;10.033;4300.000;6087.000;60.100;17.083;42.900
24-02-202310:14:45;55.000;57.000;13.000;3803.316;1935.000;113.023;44.000;9.754;4299.999;6082.000;60.100;17.739;42.900
24-02-202310:14:46;55.000;55.000;13.000;3803.316;1935.000;112.890;45.000;12.760;4300.000;6086.000;60.100;16.937;42.900
24-02-202310:14:47;55.000;57.000;13.000;3803.316;1935.000;113.059;45.000;9.635;4300.000;6086.000;60.100;17.412;42.900
24-02-202310:14:48;55.000;55.000;13.000;3803.316;1935.000;112.679;45.000;11.827;4299.999;6086.000;60.100;17.334;42.900
24-02-202310:14:49;55.000;53.000;13.000;3803.316;1935.000;112.351;45.000;10.813;4299.999;6086.000;60.200;17.121;42.900
24-02-202310:14:50;55.000;55.000;13.000;3803.316;1935.000;112.359;48.000;13.281;4299.999;6084.000;60.000;17.923;42.900
24-02-202310:14:51;55.000;56.000;14.000;3803.316;1935.000;112.739;45.000;12.760;4300.000;6086.000;60.100;17.556;42.900
24-02-202310:14:52;55.000;56.000;12.000;4038.535;1935.000;109.817;46.000;10.290;4300.000;6089.000;55.100;85.374;42.900
24-02-202310:14:53;52.000;26.000;7.000;4171.973;1935.000;78.777;47.000;11.871;4299.999;6087.000;59.300;43.867;42.900
24-02-202310:14:54;51.000;25.000;7.000;4171.973;1402.000;78.428;46.000;13.542;4299.999;6084.000;60.100;17.813;42.900
24-02-202310:14:55;55.000;63.000;16.000;4632.410;1935.000;127.608;45.000;19.010;4299.999;6091.000;40.800;352.957;42.900
24-02-202310:14:56;55.000;59.000;16.000;4632.410;1935.000;127.499;44.000;11.571;4299.999;6094.000;60.100;17.375;42.900
24-02-202310:14:57;56.000;60.000;16.000;4632.410;1935.000;126.516;46.000;9.225;4300.000;6093.000;60.000;17.612;42.900
24-02-202310:14:58;56.000;65.000;17.000;4632.410;1935.000;129.133;45.000;8.073;4299.999;6092.000;60.300;17.294;42.900
24-02-202310:14:59;56.000;65.000;17.000;4632.410;1935.000;129.142;45.000;12.500;4299.999;6094.000;60.100;18.965;42.900
