Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202309:36:56;66.000;99.000;33.000;4454.648;1897.000;169.933;50.000;13.021;4299.999;7110.000;38.900;26.788;46.500
24-02-202309:36:57;66.000;99.000;33.000;4454.648;1890.000;168.222;51.000;11.571;4299.999;7110.000;39.300;26.362;46.500
24-02-202309:36:58;66.000;99.000;33.000;4454.648;1905.000;163.954;50.000;28.544;4299.999;7374.000;37.500;28.374;46.500
24-02-202309:36:59;66.000;99.000;32.000;4454.648;1912.000;164.385;50.000;28.646;4299.999;7524.000;37.500;28.668;46.500
24-02-202309:37:00;66.000;99.000;33.000;4454.648;1897.000;164.765;52.000;28.646;4299.999;7683.000;37.600;28.114;46.500
24-02-202309:37:01;66.000;99.000;32.000;4454.648;1905.000;166.854;53.000;31.250;4299.999;7843.000;37.600;27.946;46.500
24-02-202309:37:02;66.000;99.000;32.000;4454.648;1905.000;167.398;58.000;33.594;4299.999;7952.000;37.700;28.323;46.500
24-02-202309:37:03;66.000;99.000;30.000;4454.648;1905.000;162.445;59.000;32.813;4299.999;7958.000;36.700;90.022;46.500
24-02-202309:37:04;65.000;99.000;29.000;4454.648;1912.000;164.437;52.000;30.282;4300.000;8032.000;37.200;28.055;46.500
24-02-202309:37:05;65.000;99.000;30.000;4454.664;1912.000;164.269;50.000;26.692;4299.999;8025.000;37.000;28.800;46.500
24-02-202309:37:06;66.000;99.000;30.000;4454.664;1912.000;164.818;51.000;30.208;4299.999;8010.000;37.000;27.891;46.500
24-02-202309:37:07;66.000;99.000;30.000;4454.664;1912.000;163.527;56.000;27.604;4300.000;7994.000;37.100;27.931;46.500
24-02-202309:37:08;66.000;99.000;30.000;4454.664;1912.000;163.103;52.000;32.333;4299.997;8075.000;37.100;28.003;46.400
24-02-202309:37:09;65.000;99.000;30.000;4454.664;1912.000;164.364;56.000;29.167;4300.000;8057.000;37.100;33.051;46.400
24-02-202309:37:10;65.000;99.000;29.000;4454.664;1912.000;163.293;51.000;30.661;4300.000;8035.000;37.300;27.883;46.400
24-02-202309:37:11;66.000;99.000;30.000;4454.664;1912.000;164.518;51.000;28.385;4300.000;8017.000;37.300;27.915;46.400
24-02-202309:37:12;66.000;99.000;30.000;4454.664;1912.000;162.628;53.000;30.469;4299.998;8096.000;37.400;27.843;46.400
24-02-202309:37:13;66.000;99.000;29.000;4454.664;1897.000;163.804;51.000;30.282;4299.999;8074.000;37.400;27.799;46.400
24-02-202309:37:14;66.000;99.000;30.000;4454.664;1905.000;162.870;55.000;32.249;4299.999;8048.000;36.400;50.019;46.400
24-02-202309:37:15;66.000;99.000;29.000;4454.664;1912.000;164.351;53.000;30.469;4299.999;8038.000;38.000;29.764;46.400
24-02-202309:37:16;65.000;99.000;29.000;4454.664;1912.000;162.114;51.000;29.427;4299.999;8097.000;37.300;27.786;46.400
24-02-202309:37:17;66.000;99.000;30.000;4454.664;1912.000;164.491;54.000;30.538;4299.999;8073.000;37.200;28.434;46.400
24-02-202309:37:18;66.000;99.000;30.000;4454.664;1912.000;164.637;51.000;29.074;4299.999;8046.000;37.400;28.987;46.400
24-02-202309:37:19;66.000;99.000;29.000;4454.664;1912.000;161.632;50.000;28.646;4299.999;8127.000;37.400;28.452;46.400
24-02-202309:37:20;66.000;99.000;30.000;4454.664;1897.000;163.471;56.000;31.820;4299.999;8079.000;37.300;28.409;46.400
24-02-202309:37:21;66.000;99.000;29.000;4454.664;1912.000;162.601;54.000;25.521;4299.999;8051.000;37.600;27.930;46.400
24-02-202309:37:22;66.000;99.000;30.000;4454.664;1905.000;164.428;55.000;30.729;4299.999;8023.000;37.500;27.711;46.300
24-02-202309:37:23;66.000;99.000;30.000;4454.664;1912.000;164.259;50.000;30.661;4299.999;8100.000;37.500;27.915;46.300
24-02-202309:37:24;66.000;99.000;30.000;4454.664;1905.000;165.145;57.000;27.604;4299.999;8075.000;37.400;28.068;46.300
24-02-202309:37:25;66.000;99.000;29.000;4454.664;1912.000;163.657;54.000;28.906;4299.999;8046.000;37.300;27.856;46.300
24-02-202309:37:26;66.000;99.000;29.000;4454.664;1912.000;162.940;54.000;27.975;4299.999;8021.000;37.200;28.487;46.300
24-02-202309:37:27;66.000;99.000;30.000;4454.664;1905.000;164.062;51.000;28.809;4299.999;8098.000;37.300;27.761;46.300
24-02-202309:37:28;65.000;99.000;29.000;4454.664;1905.000;163.254;57.000;33.333;4299.999;8072.000;37.300;27.897;46.300
24-02-202309:37:29;66.000;99.000;29.000;4454.664;1912.000;163.255;55.000;29.948;4299.999;8043.000;37.300;27.823;46.300
24-02-202309:37:30;66.000;99.000;30.000;4454.664;1912.000;163.446;57.000;32.333;4299.999;8019.000;37.400;27.895;46.300
24-02-202309:37:31;66.000;99.000;29.000;4454.664;1905.000;163.083;50.000;34.896;4299.999;8097.000;37.400;27.670;46.300
24-02-202309:37:32;66.000;99.000;32.000;4454.664;1897.000;166.803;53.000;31.510;4299.999;8149.000;37.400;28.011;46.300
24-02-202309:37:33;66.000;99.000;32.000;4454.664;1897.000;166.637;50.000;28.906;4299.999;8191.000;37.900;28.216;46.300
24-02-202309:37:34;66.000;99.000;32.000;4454.664;1897.000;169.155;56.000;30.990;4299.999;8343.000;38.400;27.118;46.300
24-02-202309:37:35;67.000;99.000;33.000;4454.664;1890.000;166.685;57.000;28.385;4299.999;8380.000;38.800;27.071;46.300
24-02-202309:37:36;66.000;99.000;32.000;4454.664;1905.000;165.052;52.000;32.813;4299.999;8401.000;37.800;28.428;46.200
24-02-202309:37:37;66.000;99.000;32.000;4454.664;1897.000;165.128;53.000;31.510;4299.999;8413.000;36.400;29.035;46.200
24-02-202309:37:38;67.000;99.000;34.000;4454.664;1897.000;169.955;57.000;28.125;4299.999;8574.000;36.400;28.964;46.200
24-02-202309:37:39;66.000;99.000;35.000;4454.664;1897.000;167.071;54.000;32.589;4299.999;8587.000;34.900;30.043;46.200
24-02-202309:37:40;66.000;99.000;33.000;4454.664;1897.000;165.775;56.000;31.771;4299.999;8593.000;34.700;30.816;46.200
24-02-202309:37:41;66.000;99.000;32.000;4454.664;1912.000;165.520;55.000;28.385;4299.999;8585.000;35.100;29.590;46.200
24-02-202309:37:42;66.000;99.000;32.000;4454.664;1897.000;165.074;55.000;33.308;4299.999;8742.000;35.800;29.608;46.200
24-02-202309:37:43;66.000;99.000;32.000;4454.664;1905.000;164.729;53.000;29.948;4299.999;8728.000;36.600;28.795;46.200
24-02-202309:37:44;66.000;99.000;32.000;4454.664;1897.000;163.148;57.000;31.250;4299.999;8702.000;37.100;28.215;46.200
24-02-202309:37:45;67.000;99.000;32.000;4454.664;1912.000;166.364;59.000;31.307;4299.999;8705.000;37.900;27.862;46.200
24-02-202309:37:46;66.000;99.000;35.000;4454.664;1905.000;164.912;56.000;29.603;4299.999;8837.000;37.800;27.763;46.200
24-02-202309:37:47;66.000;99.000;31.000;4454.664;1912.000;165.036;55.000;33.594;4299.999;8811.000;37.000;28.793;46.200
24-02-202309:37:48;66.000;99.000;30.000;4454.664;1912.000;162.766;55.000;33.155;4299.999;8783.000;35.200;29.365;46.100
