Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202309:58:49;59.000;99.000;40.000;3968.504;1920.000;164.063;45.000;19.546;4300.000;7188.000;49.900;20.821;42.500
24-02-202309:58:50;59.000;99.000;40.000;3968.504;1920.000;164.683;44.000;15.885;4299.999;7181.000;49.900;20.828;42.500
24-02-202309:58:51;59.000;99.000;39.000;3968.504;1920.000;162.001;51.000;34.375;4299.999;7436.000;48.100;22.381;42.500
24-02-202309:58:52;59.000;99.000;39.000;3968.504;1920.000;161.617;53.000;39.063;4299.999;7598.000;47.900;22.099;42.500
24-02-202309:58:53;59.000;99.000;39.000;3968.504;1920.000;162.256;52.000;35.152;4299.999;7673.000;47.900;22.279;42.500
24-02-202309:58:54;59.000;99.000;39.000;3968.504;1920.000;162.379;49.000;34.631;4299.999;7753.000;48.000;22.000;42.500
24-02-202309:58:55;59.000;99.000;39.000;3968.504;1920.000;161.800;54.000;35.156;4299.999;7845.000;47.800;23.188;42.500
24-02-202309:58:56;59.000;79.000;31.000;3968.504;1920.000;141.147;53.000;36.198;4299.999;8010.000;45.000;92.502;42.500
24-02-202309:58:57;60.000;99.000;37.000;3968.504;1920.000;160.242;53.000;33.333;4299.999;8003.000;47.700;22.239;42.500
24-02-202309:58:58;60.000;99.000;37.000;3968.504;1920.000;158.958;54.000;36.946;4299.999;7988.000;47.600;22.784;42.500
24-02-202309:58:59;60.000;99.000;36.000;3968.504;1920.000;160.626;47.000;34.631;4299.999;8047.000;47.600;22.130;42.500
24-02-202309:59:00;60.000;99.000;37.000;3968.504;1920.000;157.872;51.000;34.635;4299.999;8054.000;47.500;22.342;42.500
24-02-202309:59:01;60.000;99.000;36.000;3968.504;1920.000;159.371;56.000;55.990;4299.999;8039.000;47.600;22.769;42.500
24-02-202309:59:02;60.000;99.000;36.000;3968.504;1920.000;160.162;51.000;36.198;4299.999;8018.000;47.800;22.078;42.500
24-02-202309:59:03;60.000;99.000;37.000;3968.504;1920.000;160.152;54.000;38.997;4299.999;8095.000;47.700;22.352;42.500
24-02-202309:59:04;60.000;99.000;37.000;3968.004;1920.000;158.894;54.000;42.969;4300.000;8081.000;47.900;21.986;42.500
24-02-202309:59:05;60.000;99.000;36.000;3968.004;1920.000;161.345;51.000;37.542;4299.999;8055.000;47.900;22.353;42.500
24-02-202309:59:06;60.000;99.000;37.000;3968.004;1920.000;159.747;54.000;39.063;4299.999;8033.000;48.000;21.919;42.500
24-02-202309:59:07;60.000;99.000;37.000;3968.004;1920.000;159.606;52.000;32.333;4299.999;8109.000;47.900;22.004;42.500
24-02-202309:59:08;60.000;99.000;36.000;3968.004;1920.000;160.173;50.000;33.308;4299.999;8083.000;47.900;22.179;42.600
24-02-202309:59:09;60.000;99.000;36.000;3968.004;1920.000;160.290;52.000;39.063;4299.999;8054.000;47.700;22.336;42.600
24-02-202309:59:10;61.000;93.000;34.000;3968.004;1920.000;161.394;53.000;40.625;4299.999;8029.000;46.900;32.933;42.600
24-02-202309:59:11;61.000;99.000;37.000;3968.004;1920.000;159.555;48.000;35.938;4299.999;8108.000;47.600;22.360;42.600
24-02-202309:59:12;61.000;99.000;36.000;3968.004;1920.000;158.963;51.000;38.542;4299.999;8085.000;47.500;22.356;42.600
24-02-202309:59:13;61.000;99.000;37.000;3968.004;1920.000;160.196;51.000;35.417;4299.999;8056.000;47.600;22.307;42.600
24-02-202309:59:14;61.000;99.000;36.000;3968.004;1920.000;160.406;55.000;38.542;4299.999;8084.000;47.700;22.038;42.600
24-02-202309:59:15;61.000;99.000;36.000;3968.004;1920.000;159.281;53.000;39.253;4299.999;8110.000;47.700;22.072;42.600
24-02-202309:59:16;61.000;99.000;36.000;3968.004;1920.000;160.947;50.000;38.866;4299.999;8080.000;47.700;22.021;42.600
24-02-202309:59:17;61.000;99.000;37.000;3968.004;1920.000;159.390;52.000;33.358;4299.999;8054.000;47.800;22.316;42.600
24-02-202309:59:18;61.000;99.000;37.000;3968.004;1920.000;158.965;53.000;35.938;4299.999;8131.000;47.900;21.976;42.600
24-02-202309:59:19;62.000;99.000;37.000;3968.004;1920.000;158.849;49.000;40.189;4299.999;8104.000;47.800;22.094;42.600
24-02-202309:59:20;61.000;99.000;36.000;3968.004;1920.000;160.881;50.000;32.813;4299.999;8076.000;47.800;21.959;42.600
24-02-202309:59:21;61.000;99.000;36.000;3968.004;1920.000;160.535;51.000;40.104;4299.999;8049.000;47.700;22.110;42.600
