Datetime; GPU temperature     ;GPU usage           ;FB usage            ;Memory usage        ;Core clock          ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 10:05:50;55;54;13;3515.004;1935;111.68;49;14.064;4300;6140;60.1;0;43.3
 24-02-2023 10:05:51;55;51;12;3513.691;1935;111.571;45;25.388;4299.999;6143;60.2;0;43.3
 24-02-2023 10:05:52;55;54;12;3513.691;1935;112.155;44;9.754;4299.999;6141;60.1;0;43.3
 24-02-2023 10:05:53;55;55;13;3513.129;1935;111.676;44;11.719;4299.999;6139;60.1;0;43.3
 24-02-2023 10:05:54;55;58;14;3511.816;1935;112.34;44;13.878;4299.999;6143;60.1;0;43.3
 24-02-2023 10:05:55;55;36;9;3496.816;1935;136.704;44;8.073;4299.999;6141;58.2;33.607;43.3
 24-02-2023 10:05:56;55;52;13;3496.816;1935;111.699;44;7.637;4299.999;6142;60.1;17.817;43.4
 24-02-2023 10:05:57;55;55;13;3496.816;1935;112.356;45;13.622;4299.999;6137;55.8;103.011;43.4
 24-02-2023 10:05:58;55;58;14;3496.816;1935;112.686;44;11.342;4299.999;6138;60.1;28.866;43.4
 24-02-2023 10:05:59;53;37;9;3496.816;1935;75.379;50;12.76;4299.999;6141;52.9;51.595;43.4
 24-02-2023 10:06:00;52;20;5;3496.816;1935;74.898;54;25.412;4299.999;6179;23.3;136.985;43.4
 24-02-2023 10:06:01;49;35;7;3496.816;1320;49.532;53;17.171;4299.999;6188;25.8;45.38;43.4
 24-02-2023 10:06:02;49;34;7;3496.816;1357;54.271;54;21.615;4299.999;6186;26.4;46.157;43.3
 24-02-2023 10:06:03;49;34;7;3496.816;1357;54.465;53;18.229;4299.999;6190;25.9;48.744;43.3
 24-02-2023 10:06:04;48;37;10;3496.816;1252;50.882;49;18.49;4299.999;6199;26.2;40.105;43.3
 24-02-2023 10:06:05;48;39;7;3496.816;1290;52.204;48;19.271;4299.999;6190;26.8;39.955;43.3
 24-02-2023 10:06:06;47;3;1;3496.816;1080;39.87;49;20.573;4299.999;6254;26.5;45.96;43.3
 24-02-2023 10:06:07;46;6;2;3496.816;825;34.105;46;20.833;4299.999;6233;6.7;499.97;43.3
 24-02-2023 10:06:08;45;6;2;3496.816;555;33.983;48;17.708;4299.999;6325;6.7;0;43.3
 24-02-2023 10:06:09;45;11;11;3496.816;405;28.993;45;18.229;4299.999;6339;0;0;43.3
 24-02-2023 10:06:10;45;13;12;3496.816;300;29.26;47;17.188;4299.999;6368;0;0;43.3
 24-02-2023 10:06:11;50;82;21;3496.816;1920;109.98;50;17.969;4299.999;6458;4.7;3976.261;43.3
 24-02-2023 10:06:12;52;53;14;3496.816;1920;111.836;49;23.958;4299.999;6486;55.7;80.327;43.3
 24-02-2023 10:06:13;53;57;14;3496.816;1935;112.458;49;20.542;4299.999;6468;60.2;17.316;43.3
 24-02-2023 10:06:14;53;60;14;3496.816;1935;112.707;47;21.399;4299.999;6443;60.1;18.067;43.3
 24-02-2023 10:06:15;53;64;15;3496.816;1935;112.764;50;28.125;4299.999;6583;60.1;32.035;43.3
 24-02-2023 10:06:16;48;2;1;3496.816;1935;54.371;51;27.344;4299.999;6705;60.2;16.771;43.3
 24-02-2023 10:06:17;48;5;2;3713.316;1920;65.062;59;32.031;4299.999;7734;0.6;1521.414;43.3
 24-02-2023 10:06:18;45;4;2;3713.316;907;34.308;46;21.875;4299.999;7722;1.2;65.085;43.3
 24-02-2023 10:06:19;44;10;11;3713.316;615;29.388;48;17.723;4299.999;7791;0;0;43.3
 24-02-2023 10:06:20;44;12;12;3713.316;450;29.189;52;17.958;4299.999;7753;0;0;43.3
 24-02-2023 10:06:21;50;57;14;3713.316;1920;92.652;50;15.365;4299.999;6990;9;3078.544;43.2
 24-02-2023 10:06:22;51;56;14;3713.316;1920;111.986;44;11.979;4299.999;6975;60.3;21.64;43.2
 24-02-2023 10:06:23;47;2;1;3713.316;1920;54.377;59;19.773;4299.999;7018;51.6;174.82;43.2
 24-02-2023 10:06:24;46;2;1;3713.316;1920;53.851;50;22.396;4299.999;6872;51.6;0;43.2
 24-02-2023 10:06:25;55;90;35;3764.066;1927;164.354;46;27.604;4300;7029;13.7;1885.396;43.2
 24-02-2023 10:06:26;53;72;29;3764.066;1935;131.431;47;24.839;4300;7053;37.8;242.844;43.2
 24-02-2023 10:06:27;55;73;29;3764.066;1912;143.058;48;21.094;4299.999;7065;56.5;72.455;43.2
 24-02-2023 10:06:28;56;84;33;3764.066;1935;152.82;45;21.094;4299.999;7029;59.9;30.978;43.2
 24-02-2023 10:06:29;53;2;1;3764.066;1935;156.17;46;24.219;4299.999;7031;33.7;249.23;43.2
 24-02-2023 10:06:30;49;50;20;3764.066;1935;54.644;48;26.437;4299.998;7047;27;234.151;43.2
 24-02-2023 10:06:31;49;43;17;3764.066;1935;54.795;49;23.698;4299.998;7048;23.3;257.336;43.2
