Datetime; GPU temperature     ;GPU usage           ;FB usage            ;Memory usage        ;Core clock          ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 09:47:54;63;100;28;4479.652;1897;168.425;49;24.304;4299.999;7105;25.6;0;40.5
 24-02-2023 09:47:55;64;100;30;4477.965;1905;170.112;47;19.542;4299.999;7100;25.6;0;40.4
 24-02-2023 09:47:56;63;100;29;4477.965;1875;168.029;47;14.844;4299.999;7102;25.8;0;40.4
 24-02-2023 09:47:57;63;100;29;4477.965;1905;167.38;47;20.833;4299.999;7101;25.6;0;40.4
 24-02-2023 09:47:58;64;100;29;4477.402;1897;167.265;46;20.869;4299.999;7099;25.7;0;40.4
 24-02-2023 09:47:59;63;100;30;4477.402;1905;170;47;15.104;4299.999;7100;26;0;40.4
 24-02-2023 09:48:00;63;100;30;4477.402;1890;167.721;47;17.708;4299.999;7103;25.7;0;40.4
 24-02-2023 09:48:01;64;100;29;4477.402;1875;164.687;47;17.708;4299.999;7102;25.8;0;40.4
 24-02-2023 09:48:02;63;100;29;4476.09;1890;166.086;48;18.75;4299.999;7103;25.7;0;40.4
 24-02-2023 09:48:03;63;100;29;4478.277;1897;164.555;51;15.104;4299.999;7103;25.8;0;40.4
 24-02-2023 09:48:04;63;100;30;4480.652;1897;170.621;47;16.927;4299.999;7104;25.8;0;40.4
 24-02-2023 09:48:05;63;99;30;4463.402;1897;164.06;50;21.094;4299.999;7106;26.1;151.178;40.4
 24-02-2023 09:48:06;63;99;28;4463.402;1912;166.632;49;18.748;4299.999;7106;25.8;39.923;40.4
 24-02-2023 09:48:07;64;100;27;4463.402;1912;164.332;47;15.047;4300;7109;25.9;39.67;40.4
 24-02-2023 09:48:08;63;100;27;4463.402;1890;165.094;46;14.583;4300;7111;25.6;39.92;40.3
 24-02-2023 09:48:09;64;100;27;4463.402;1890;167.241;47;20.03;4299.999;7105;25.9;39.382;40.3
 24-02-2023 09:48:10;63;100;27;4463.402;1890;168.436;46;14.323;4300;7110;26;39.424;40.3
 24-02-2023 09:48:11;64;99;27;4463.402;1905;164.849;46;16.106;4299.998;7110;26.3;39.121;40.3
 24-02-2023 09:48:12;63;100;27;4463.402;1905;161.879;50;14.583;4300;7109;26.2;39.372;40.3
 24-02-2023 09:48:13;63;99;26;4463.402;1897;165.227;46;15.416;4300;7111;26.3;39.332;40.3
 24-02-2023 09:48:14;63;99;27;4463.027;1905;165.166;51;13.802;4299.999;7111;26.4;38.899;40.3
 24-02-2023 09:48:15;63;100;26;4463.027;1905;163.855;51;17.958;4299.999;7114;26.2;53.969;40.3
 24-02-2023 09:48:16;58;100;26;4463.027;1912;123.054;54;17.723;4299.999;6542;26.2;39.028;40.3
 24-02-2023 09:48:17;54;2;1;4246.027;1927;56.039;55;26.042;4299.999;6054;8.7;598.305;40.3
 24-02-2023 09:48:18;52;6;2;4246.027;555;34.757;57;22.722;4299.999;6202;8.7;0;40.3
 24-02-2023 09:48:19;55;95;9;3990.027;1837;93.692;46;18.229;4300;6274;6.5;2103.389;40.2
 24-02-2023 09:48:20;56;44;11;3990.027;1935;104.18;45;11.719;4299.999;6274;60.1;18.591;40.2
 24-02-2023 09:48:21;57;44;11;3990.027;1935;104.973;46;7.552;4299.999;6275;60.1;19.077;40.2
 24-02-2023 09:48:22;56;47;12;3990.027;1935;105.302;46;9.635;4299.999;6271;60.1;17.751;40.3
 24-02-2023 09:48:23;57;49;12;3990.027;1935;105.051;46;10.417;4300;6273;60.1;18.671;40.3
 24-02-2023 09:48:24;56;46;11;3990.027;1935;104.335;46;10.677;4299.999;6273;60.1;17.271;40.3
 24-02-2023 09:48:25;56;43;11;3990.027;1935;103.902;47;9.635;4299.999;6275;60.1;19.038;40.3
