Datetime; GPU temperature     ;GPU usage           ;FB usage            ;Memory usage        ;Core clock          ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 10:13:34;63;99;35;4037.941;1897;165.149;53;25.367;4299.999;7084;34.5;0;42.7
 24-02-2023 10:13:35;63;99;34;4038.316;1897;162.777;47;35.073;4299.999;7082;34.1;0;42.7
 24-02-2023 10:13:36;63;99;35;4036.629;1912;165.848;46;20.869;4299.999;7081;34.3;0;42.7
 24-02-2023 10:13:37;64;99;35;4036.629;1897;166.41;46;20.573;4299.999;7075;34.6;0;42.7
 24-02-2023 10:13:38;63;99;35;4036.629;1897;166.531;49;22.396;4299.999;7104;34.6;0;42.7
 24-02-2023 10:13:39;63;99;35;4036.629;1897;165.418;50;20.03;4299.999;7108;34.9;0;42.7
 24-02-2023 10:13:40;63;99;35;4036.629;1905;167.298;50;19.811;4299.999;7102;34.9;0;42.7
 24-02-2023 10:13:41;63;99;35;4036.629;1912;166.919;47;19.531;4299.999;7107;34.9;0;42.7
 24-02-2023 10:13:42;63;99;35;4036.754;1905;165.594;46;20.833;4299.999;7104;34.8;0;42.7
 24-02-2023 10:13:43;63;99;36;4020.566;1890;166.926;47;24.643;4300;7106;33.9;90.764;42.7
 24-02-2023 10:13:44;63;99;36;4020.566;1882;168.117;46;21.928;4300;7108;34.9;30.165;42.7
 24-02-2023 10:13:45;63;99;33;4020.566;1897;161.857;46;21.615;4299.999;7074;34.8;29.964;42.7
 24-02-2023 10:13:46;63;99;33;4020.566;1912;162.75;46;20.542;4299.999;7075;34.6;30.356;42.7
 24-02-2023 10:13:47;63;99;33;4020.566;1912;167.262;49;22.987;4299.999;7071;34.8;31.656;42.7
 24-02-2023 10:13:48;64;99;33;4020.566;1905;165.315;46;22.336;4299.999;7076;35.1;29.378;42.7
 24-02-2023 10:13:49;63;99;33;4020.566;1912;162.832;48;18.487;4299.999;7073;35.1;30.205;42.7
 24-02-2023 10:13:50;63;99;33;4020.566;1905;165.371;47;24.219;4299.999;7076;35;29.881;42.7
 24-02-2023 10:13:51;54;3;1;3803.566;1920;56.164;52;22.08;4299.999;6080;9.7;627.895;42.7
 24-02-2023 10:13:52;53;2;1;3803.566;502;55.555;48;26.427;4299.999;6194;9.7;0;42.7
 24-02-2023 10:13:53;51;8;2;3803.566;345;34.587;52;20.833;4299.999;6310;0;0;42.7
 24-02-2023 10:13:54;57;51;13;3803.566;1935;112.432;45;12.5;4299.999;6327;15;2205.467;42.6
 24-02-2023 10:13:55;57;58;14;3803.566;1935;113.81;45;8.854;4299.999;6328;60.1;18.861;42.6
 24-02-2023 10:13:56;57;55;13;3803.566;1935;113.585;45;9.115;4299.999;6327;60.1;16.952;42.6
 24-02-2023 10:13:57;57;51;13;3803.566;1935;113.046;45;10.156;4299.999;6326;60.1;17.209;42.6
 24-02-2023 10:13:58;57;51;13;3803.566;1935;112.938;45;9.777;4299.999;6325;60.1;16.942;42.6
 24-02-2023 10:13:59;57;55;14;3803.566;1935;113.518;44;9.375;4299.999;6327;60.1;17.423;42.7
 24-02-2023 10:14:00;57;58;13;3803.566;1935;113.717;46;9.375;4299.999;6147;60;18.651;42.7
 24-02-2023 10:14:01;57;57;13;3803.566;1935;113.264;46;8.695;4299.999;6107;60.2;17.776;42.7
 24-02-2023 10:14:02;57;54;13;3803.566;1935;112.669;45;10.938;4299.999;6103;60.1;17.349;42.7
 24-02-2023 10:14:03;57;51;13;3803.566;1935;112.993;44;10.033;4299.999;6101;60.1;17.208;42.7
 24-02-2023 10:14:04;57;55;13;3803.566;1935;113.161;45;9.115;4299.999;6107;60.1;17.483;42.7
 24-02-2023 10:14:05;57;54;13;3803.566;1935;112.844;45;7.901;4299.999;6105;60.1;16.901;42.7
 24-02-2023 10:14:06;56;56;13;3803.566;1935;113.673;45;10.938;4299.999;6101;60.1;17.507;42.7
 24-02-2023 10:14:07;57;56;13;3803.566;1935;113.826;46;11.571;4299.999;6103;60.1;17.155;42.7
 24-02-2023 10:14:08;56;59;14;3803.566;1935;114.298;45;10.813;4299.999;6103;60.1;16.872;42.7
 24-02-2023 10:14:09;57;55;13;3803.566;1935;113.376;45;10.677;4299.999;6104;60.1;17.362;42.7
 24-02-2023 10:14:10;56;51;13;3803.566;1935;112.565;44;9.115;4299.999;6105;60.1;16.969;42.7
