Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202310:15:52;58.000;99.000;33.000;4900.598;1927.000;161.756;48.000;20.833;4299.999;7155.000;41.300;25.378;42.800
24-02-202310:15:53;59.000;99.000;33.000;4900.598;1927.000;162.447;45.000;20.833;4299.999;7155.000;41.500;25.223;42.800
24-02-202310:15:54;58.000;99.000;33.000;4900.598;1927.000;163.040;46.000;19.531;4299.999;7157.000;41.500;25.045;42.800
24-02-202310:15:55;59.000;99.000;32.000;4900.598;1927.000;163.610;50.000;20.052;4299.999;7154.000;41.500;25.156;42.800
24-02-202310:15:56;59.000;99.000;34.000;4900.598;1927.000;163.571;47.000;22.336;4299.998;7155.000;41.500;25.985;42.800
24-02-202310:15:57;59.000;99.000;38.000;4900.598;1905.000;168.009;46.000;22.193;4300.001;7179.000;42.800;75.361;42.800
24-02-202310:15:58;59.000;99.000;39.000;4900.598;1905.000;167.667;47.000;18.490;4300.001;7160.000;45.000;23.156;42.800
24-02-202310:15:59;60.000;99.000;39.000;4900.598;1912.000;168.543;45.000;19.792;4299.999;7157.000;45.100;23.261;42.800
24-02-202310:16:00;60.000;99.000;39.000;4900.598;1905.000;168.656;47.000;22.336;4299.998;7157.000;45.000;23.443;42.800
24-02-202310:16:01;60.000;99.000;39.000;4900.598;1905.000;168.757;48.000;19.010;4300.000;7157.000;44.900;23.486;42.800
24-02-202310:16:02;60.000;99.000;39.000;4900.598;1905.000;168.956;48.000;22.396;4300.000;7161.000;45.000;23.085;42.800
24-02-202310:16:03;60.000;99.000;40.000;4900.598;1912.000;166.972;52.000;21.094;4299.999;7226.000;44.900;24.789;42.800
24-02-202310:16:04;60.000;99.000;39.000;4900.598;1912.000;164.547;52.000;34.635;4299.998;7410.000;43.100;25.146;42.800
24-02-202310:16:05;60.000;99.000;39.000;4900.598;1912.000;163.704;52.000;36.198;4300.000;7579.000;43.100;25.116;42.800
24-02-202310:16:06;60.000;99.000;39.000;4900.598;1905.000;165.678;54.000;33.594;4300.000;7708.000;43.000;24.405;42.800
