Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202310:32:10;58;99;36;7147.465;1920;165.594;46;22.457;4299.999;7034;51.3;77.553;43.3
24-02-202310:32:11;58;99;37;7147.465;1920;166.941;46;21.354;4299.999;7016;54.6;18.851;43.3
24-02-202310:32:12;59;99;37;7147.465;1927;161.348;48;23.958;4299.999;7161;54.2;20.466;43.3
24-02-202310:32:13;59;99;37;7147.465;1927;163.522;51;36.458;4299.999;7316;52.3;20.442;43.3
24-02-202310:32:14;59;99;37;7147.465;1927;163.148;54;35.938;4299.999;7465;52.3;20.379;43.3
24-02-202310:32:15;59;99;36;7147.465;1927;163.452;50;39.253;4299.999;7590;52.4;20.28;43.3
24-02-202310:32:16;59;99;37;7147.465;1920;162.462;56;35.938;4299.999;7729;52.3;19.988;43.3
24-02-202310:32:17;59;99;36;7147.465;1927;163.233;47;34.631;4299.999;7832;52.6;20.799;43.3
24-02-202310:32:18;59;99;33;7147.465;1927;159.221;50;39.583;4299.999;7876;48.1;91.622;43.3
24-02-202310:32:19;59;99;33;7147.465;1927;159.961;49;35.156;4299.998;7875;51.9;20.583;43.3
24-02-202310:32:20;59;99;33;7147.465;1927;159.945;50;34.115;4299.998;7956;52.1;20.496;43.3
24-02-202310:32:21;59;99;34;7147.465;1927;160.415;53;38.021;4300;7955;52.2;20.648;43.3
24-02-202310:32:22;59;99;34;7147.465;1927;160.087;51;36.946;4300;7934;52.2;20.419;43.3
24-02-202310:32:23;59;99;34;7147.465;1927;158.78;51;38.802;4299.999;7935;52.1;20.445;43.3
24-02-202310:32:24;60;99;34;7147.465;1927;158.872;51;38.802;4299.999;8015;51.9;20.832;43.3
24-02-202310:32:25;60;99;34;7147.465;1927;159.575;48;36.748;4299.999;8004;51.8;20.693;43.3
24-02-202310:32:26;60;99;34;7147.465;1927;158.58;54;42.585;4299.999;8003;51.8;20.542;43.3
24-02-202310:32:27;60;99;33;7147.465;1927;159.251;49;34.896;4299.999;8026;51.8;20.705;43.3
24-02-202310:32:28;60;99;34;7147.465;1927;159.812;53;37.76;4299.999;8073;51.8;20.717;43.3
24-02-202310:32:29;60;99;34;7147.465;1927;159.288;53;35.152;4300;8065;51.9;20.664;43.3
24-02-202310:32:30;60;99;33;7147.465;1927;159.079;50;39.66;4299.998;8053;52;20.113;43.3
24-02-202310:32:31;60;99;34;7147.465;1927;160.735;52;31.771;4299.998;8115;52.1;20.363;43.3
24-02-202310:32:32;60;99;33;7147.465;1927;160.073;55;36.198;4299.999;8117;52.1;20.581;43.3
24-02-202310:32:33;61;99;33;7147.465;1927;159.98;54;32.813;4300.001;8090;52;20.428;43.4
24-02-202310:32:34;60;99;33;7147.465;1927;159.916;53;37.76;4299.999;8082;52;20.361;43.4
24-02-202310:32:35;61;99;33;7147.465;1927;160.111;54;33.871;4299.999;8159;52;20.243;43.4
24-02-202310:32:36;61;99;33;7147.465;1927;159.401;50;37.542;4299.999;8127;52.1;20.944;43.4
24-02-202310:32:37;61;99;34;7147.465;1927;159.207;52;37.24;4299.999;8110;52;20.125;43.4
24-02-202310:32:38;61;99;34;7147.465;1927;159.768;56;39.583;4299.999;8066;52.1;20.328;43.4
24-02-202310:32:39;61;99;34;7147.465;1927;163.185;49;36.177;4300;8142;52.2;20.508;43.4
24-02-202310:32:40;61;99;34;7147.465;1927;160.908;49;40.189;4300;8104;52.1;21.161;43.4
24-02-202310:32:41;61;99;34;7147.465;1927;161.203;49;38.542;4299.999;8061;52.4;20.669;43.4
24-02-202310:32:42;61;99;34;7147.465;1927;163.07;51;39.51;4299.999;8023;52.4;20.193;43.4
24-02-202310:32:43;61;99;34;7147.465;1927;161.433;50;36.219;4299.999;8100;52.3;20.376;43.4
24-02-202310:32:44;61;99;34;7147.465;1927;161.016;49;36.719;4299.999;8077;52.2;20.361;43.4
24-02-202310:32:45;62;99;34;7147.465;1927;162.462;59;42.842;4299.999;8040;52;20.583;43.4
24-02-202310:32:46;62;99;35;7147.465;1912;164.028;54;39.924;4299.999;8073;52.1;20.744;43.4
24-02-202310:32:47;62;99;35;7147.465;1920;166.784;53;35.156;4299.999;8170;52.3;20.301;43.4
24-02-202310:32:48;62;99;36;7147.465;1912;165.181;50;43.611;4299.999;8203;52.7;20.541;43.4
24-02-202310:32:49;62;99;36;7147.465;1912;166.285;49;36.484;4299.999;8229;53.2;19.897;43.4
24-02-202310:32:50;62;99;36;7147.465;1905;164.866;54;35.938;4299.999;8385;53.2;19.976;43.4
24-02-202310:32:51;62;99;36;7147.465;1905;165.357;52;37.972;4299.999;8408;52.5;20.456;43.4
24-02-202310:32:52;62;99;35;7147.465;1912;165.083;50;38.802;4299.999;8415;51.5;20.862;43.4
24-02-202310:32:53;62;99;36;7147.465;1912;164.518;52;36.979;4299.998;8418;50.3;22.822;43.4
24-02-202310:32:54;62;99;37;7147.465;1905;166.086;51;39.13;4299.998;8577;49.1;21.832;43.4
24-02-202310:32:55;62;99;35;7147.465;1912;163.592;50;39.063;4300;8583;49.1;21.938;43.4
24-02-202310:32:56;62;99;34;7147.465;1912;162.17;51;43.098;4300;8579;49.1;21.772;43.4
24-02-202310:32:57;62;99;35;7147.465;1912;163.036;50;37.76;4300;8557;50.4;20.963;43.4
24-02-202310:32:58;62;99;34;7147.465;1912;163.751;49;37.542;4299.999;8705;51.2;20.76;43.4
24-02-202310:32:59;62;99;35;7147.465;1912;162.868;51;36.979;4299.999;8681;51.9;20.403;43.4
24-02-202310:33:00;63;99;36;7147.465;1912;165.15;51;43.49;4299.999;8663;52.6;20.764;43.4
24-02-202310:33:01;62;99;36;7147.465;1912;165.549;52;38.997;4299.999;8739;51.6;52.025;43.4
24-02-202310:33:02;63;99;34;7147.465;1912;164.137;50;38.072;4299.999;8801;52.3;20.707;43.4
24-02-202310:33:03;63;99;35;7147.465;1912;164.752;55;39.766;4300;8764;51.5;20.712;43.4
24-02-202310:33:04;63;99;35;7147.465;1912;163.758;50;43.49;4300;8731;52.3;20.642;43.4
24-02-202310:33:05;63;99;34;7147.465;1912;162.974;50;39.924;4299.999;8886;51.8;22.81;43.4
24-02-202310:33:06;63;99;35;7147.465;1912;165.365;52;41.146;4299.999;8835;50.9;21.333;43.4
24-02-202310:33:07;63;99;36;7147.465;1912;165.454;51;38.021;4299.999;8777;49.3;21.868;43.4
24-02-202310:33:08;63;99;36;7147.465;1905;166.533;51;35.156;4300;8720;48;22.332;43.4
24-02-202310:33:09;63;99;35;7147.465;1905;166.58;50;41.406;4299.999;8887;47.9;22.205;43.4
24-02-202310:33:10;63;99;35;7147.465;1905;163.118;52;46.43;4299.999;8819;48.1;22.385;43.4
24-02-202310:33:11;63;99;35;7147.465;1912;165.29;53;44.271;4299.999;8760;48.3;21.89;43.4
24-02-202310:33:12;63;99;35;7147.465;1912;163.242;49;46.354;4299.998;8735;47.6;22.585;43.4
24-02-202310:33:13;63;99;34;7147.465;1897;166.217;49;38.866;4300;8853;48.6;22.029;43.4
24-02-202310:33:14;63;99;34;7147.465;1905;164.69;50;42.708;4300;8803;49;22.21;43.4
24-02-202310:33:15;63;99;34;7147.465;1912;165.012;53;40.365;4299.999;8745;49.8;21.405;43.4
24-02-202310:33:16;63;99;34;7147.465;1912;165.031;50;41.406;4299.999;8837;50;21.304;43.4
24-02-202310:33:17;63;99;34;7147.465;1912;163.707;51;42.329;4299.999;8844;50.1;21.269;43.4
24-02-202310:33:18;63;99;34;7147.465;1912;163.664;51;46.276;4299.999;8778;50.7;21.175;43.4
24-02-202310:33:19;63;99;34;7147.465;1912;162.589;53;41.927;4299.999;8720;50.3;21.094;43.4
24-02-202310:33:20;63;99;35;7147.465;1912;163.157;52;41.047;4299.999;8877;51.3;20.752;43.4
24-02-202310:33:21;63;99;35;7147.465;1912;163.549;48;37.807;4299.999;8867;51.4;21.281;43.4
24-02-202310:33:22;63;99;36;7147.465;1905;164.196;52;46.875;4299.999;8767;51.6;20.491;43.4
24-02-202310:33:23;63;99;35;7147.465;1912;163.42;54;43.354;4299.999;8823;51.3;20.876;43.4
24-02-202310:33:24;63;99;35;7147.465;1912;163.004;51;42.041;4300;8901;51.3;21.058;43.4
24-02-202310:33:25;63;99;35;7147.465;1912;163.464;52;40.885;4300;8786;51.3;21.168;43.4
24-02-202310:33:26;63;99;34;7147.465;1912;162.173;52;44.38;4299.999;8758;51.8;20.544;43.4
24-02-202310:33:27;63;99;34;7147.465;1912;162.383;52;44.531;4299.999;8832;51.4;20.873;43.4
24-02-202310:33:28;63;99;34;7147.465;1912;162.124;51;43.75;4299.999;8858;51.2;20.99;43.4
24-02-202310:33:29;63;99;35;7147.465;1912;164.203;49;38.601;4299.999;8723;51.2;21.278;43.4
24-02-202310:33:30;63;99;35;7147.465;1912;165.057;52;44.271;4300;8710;51.4;21.056;43.4
24-02-202310:33:31;63;99;35;7147.465;1912;163.479;57;39.51;4300;8837;50.6;21.224;43.4
24-02-202310:33:32;63;99;35;7147.465;1912;163.905;48;43.894;4299.999;8819;49.5;21.383;43.4
24-02-202310:33:33;63;99;34;7147.465;1912;164.021;52;46.094;4299.998;8729;49.2;22.166;43.5
24-02-202310:33:34;63;99;34;7147.465;1905;163.314;55;44.531;4299.998;8755;49.4;21.561;43.5
24-02-202310:33:35;63;99;34;7147.465;1912;163.668;52;47.968;4300;8870;49.5;21.52;43.5
24-02-202310:33:36;63;99;34;7147.465;1912;163.482;50;42.708;4300;8825;49.9;21.737;43.5
24-02-202310:33:37;63;99;34;7147.465;1912;163.542;51;43.365;4299.999;8761;50.6;20.894;43.5
24-02-202310:33:38;63;99;34;7147.465;1912;163.232;55;48.438;4299.999;8785;50.6;21.51;43.5
24-02-202310:33:39;63;99;36;7147.465;1905;163.865;53;40.535;4299.999;8862;51.4;20.774;43.5
24-02-202310:33:40;63;99;35;7147.465;1912;163.817;52;48.177;4299.999;8759;51.7;20.773;43.5
24-02-202310:33:41;63;99;34;7147.465;1912;164.899;52;45.217;4300;8670;50.4;21.393;43.5
24-02-202310:33:42;63;99;35;7147.465;1912;165.631;52;46.875;4300;8752;49.4;21.988;43.5
24-02-202310:33:43;63;99;34;7147.465;1905;165.49;56;43.354;4299.999;8805;47.7;22.811;43.5
24-02-202310:33:44;63;99;34;7147.465;1905;164.572;54;48.393;4299.999;8806;45.9;23.147;43.5
24-02-202310:33:45;63;99;35;7148.902;1912;163.724;52;44.01;4299.999;8788;44.8;23.778;43.5
24-02-202310:33:46;63;99;34;7148.902;1905;162.913;56;44.892;4299.999;8814;44.3;24.206;43.5
24-02-202310:33:47;63;99;34;7148.902;1912;163.549;50;46.805;4299.998;8801;45.4;23.376;43.5
24-02-202310:33:48;63;99;33;7148.902;1912;164.26;52;52.865;4299.998;8746;46.1;23.251;43.5
24-02-202310:33:49;63;99;35;7148.902;1912;163.719;53;48.737;4300;8744;46.6;23.014;43.5
24-02-202310:33:50;63;99;34;7148.902;1912;163.936;52;44.953;4300;8882;47.3;22.662;43.5
24-02-202310:33:51;63;99;33;7148.902;1912;163.914;58;43.75;4299.999;8779;47.3;22.627;43.5
24-02-202310:33:52;63;99;34;7148.902;1912;163.763;52;49.506;4299.999;8736;48.1;22.401;43.5
24-02-202310:33:53;63;99;34;7148.902;1912;162.592;50;42.188;4299.999;8773;48.7;21.807;43.5
24-02-202310:33:54;63;99;34;7148.902;1912;163.48;53;44.423;4300;8709;49.6;21.811;43.5
24-02-202310:33:55;63;99;34;7148.902;1912;163.651;53;42.708;4300;8715;49.7;21.356;43.5
24-02-202310:33:56;63;99;34;7148.902;1912;163.277;55;45.405;4299.999;8715;49.5;21.734;43.5
24-02-202310:33:57;63;99;34;7148.902;1912;162.627;53;43.75;4299.999;8796;49.2;21.787;43.5
24-02-202310:33:58;63;99;33;7148.902;1912;162.348;51;47.07;4299.999;8764;49.2;21.686;43.5
24-02-202310:33:59;63;99;34;7148.902;1912;163.814;50;43.75;4299.999;8754;50.1;21.027;43.5
24-02-202310:34:00;63;99;33;7148.902;1912;161.973;52;46.094;4299.999;8706;49.6;21.712;43.5
24-02-202310:34:01;63;99;33;7148.902;1912;162.282;52;43.611;4300;8789;48;54.018;43.5
24-02-202310:34:02;63;99;33;7148.902;1912;161.775;51;40.189;4299.999;8758;48.9;21.778;43.5
24-02-202310:34:03;63;99;33;7148.902;1912;162.819;55;46.615;4299.999;8708;49;22.352;43.5
24-02-202310:34:04;63;99;33;7148.902;1912;161.678;57;44.38;4299.999;8717;49.5;22.264;43.5
24-02-202310:34:05;63;99;34;7148.902;1912;162.856;51;40.454;4300;8848;50;21.339;43.5
24-02-202310:34:06;63;99;34;7148.902;1912;162.154;55;48.958;4300;8753;50;21.489;43.5
24-02-202310:34:07;63;99;34;7148.902;1912;162.39;54;46.094;4299.999;8647;50.7;21.233;43.5
24-02-202310:34:08;63;99;34;7148.902;1912;161.933;55;47.656;4299.999;8677;51.5;20.672;43.5
24-02-202310:34:09;63;99;34;7148.902;1912;163.87;51;47.135;4299.999;8777;51.8;20.566;43.5
24-02-202310:34:10;63;99;34;7148.902;1912;162.83;51;43.49;4299.999;8767;51.6;20.78;43.5
24-02-202310:34:11;63;99;34;7148.902;1912;163.996;50;46.174;4299.999;8691;51.4;20.956;43.5
24-02-202310:34:12;63;99;34;7148.902;1905;162.332;52;46.54;4299.999;8763;51.8;20.66;43.5
24-02-202310:34:13;63;99;35;7148.902;1912;163.131;54;40.104;4299.999;8764;52.4;20.224;43.5
24-02-202310:34:14;63;99;35;7148.902;1912;162.935;52;48.737;4299.999;8754;52.6;20.391;43.5
24-02-202310:34:15;63;99;35;7148.902;1912;163.476;53;47.864;4299.999;8711;52.8;20.156;43.5
24-02-202310:34:16;64;99;35;7148.902;1905;163.813;53;44.271;4299.999;8794;53;20.308;43.5
24-02-202310:34:17;63;99;35;7148.902;1912;165.362;50;45.405;4299.999;8770;52.2;20.252;43.5
24-02-202310:34:18;63;99;34;7148.902;1912;163.33;52;46.875;4299.998;8659;51.2;20.746;43.5
24-02-202310:34:19;63;99;34;7148.902;1912;163.172;52;42.571;4299.998;8666;50.9;20.705;43.5
24-02-202310:34:20;63;99;34;7148.902;1912;164.106;52;47.199;4300;8807;50.1;20.844;43.5
24-02-202310:34:21;63;99;34;7148.902;1912;162.191;53;43.49;4300;8797;49.3;22.033;43.5
24-02-202310:34:22;63;99;33;7148.902;1912;161.297;52;44.423;4299.999;8698;48.9;21.567;43.5
24-02-202310:34:23;63;99;33;7148.902;1912;163.406;51;45.052;4299.999;8675;48.5;22.441;43.5
24-02-202310:34:24;63;99;33;7148.902;1912;161.448;52;47.712;4299.999;8792;48.5;22.121;43.5
24-02-202310:34:25;63;99;33;7148.902;1912;162.065;50;42.041;4299.999;8734;48.3;21.773;43.5
24-02-202310:34:26;63;99;33;7148.902;1912;161.178;58;46.943;4299.999;8732;47.6;22.891;43.5
24-02-202310:34:27;63;99;33;7148.902;1912;161.33;48;41.512;4299.999;8815;46.6;22.914;43.5
24-02-202310:34:28;63;99;33;7148.902;1912;160.967;54;42.708;4299.999;8762;46.1;23.085;43.5
24-02-202310:34:29;63;99;33;7148.902;1912;160.986;54;41.047;4300;8667;45.8;23.154;43.5
24-02-202310:34:30;63;99;33;7148.902;1912;161.681;52;43.1;4300;8683;45.2;23.44;43.5
24-02-202310:34:31;63;99;33;7148.902;1912;161.783;51;41.927;4299.999;8813;45.1;23.533;43.5
24-02-202310:34:32;63;99;33;7148.902;1912;163.713;54;39.323;4299.999;8813;45.1;23.353;43.5
24-02-202310:34:33;63;99;33;7148.902;1912;164.104;52;42.842;4299.999;8758;45;24.047;43.5
24-02-202310:34:34;63;99;33;7148.902;1912;161.175;57;47.396;4299.999;8765;44.8;23.608;43.5
24-02-202310:34:35;63;99;33;7148.902;1905;162.094;50;41.247;4300;8873;44.8;23.91;43.5
24-02-202310:34:36;63;99;33;7148.902;1912;165.114;55;45.052;4300;8812;44.4;24.174;43.5
24-02-202310:34:37;63;99;33;7148.902;1912;163.249;52;42.708;4299.999;8725;44.7;23.897;43.5
24-02-202310:34:38;63;99;32;7148.902;1912;162.991;56;40.885;4299.999;8762;45.3;23.964;43.5
24-02-202310:34:39;63;99;32;7148.902;1912;161.954;51;41.146;4299.999;8798;45.2;23.291;43.5
24-02-202310:34:40;63;99;33;7148.902;1912;161.632;53;45.405;4299.999;8781;47.7;22.607;43.5
24-02-202310:34:41;63;99;33;7148.902;1912;162.703;52;39.924;4299.999;8706;50.5;20.97;43.5
24-02-202310:34:42;63;99;34;7148.902;1912;162.403;54;36.458;4299.999;8776;51;20.718;43.5
24-02-202310:34:43;63;99;34;7148.902;1912;164.298;53;40.791;4300;8753;50.9;21.073;43.5
24-02-202310:34:44;63;99;34;7148.902;1912;163.738;53;41.406;4299.999;8731;50.2;21.547;43.5
