Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202316:16:43;61.000;99.000;29.000;6161.926;1920.000;136.852;49.000;49.740;4300.002;11227.000;71.700;17.071;40.600
24-02-202316:16:44;61.000;99.000;29.000;6161.926;1920.000;135.922;51.000;72.135;4300.001;11414.000;71.400;17.424;40.800
24-02-202316:16:45;61.000;99.000;29.000;6161.926;1920.000;134.204;52.000;66.146;4300.001;11499.000;70.200;17.998;41.000
24-02-202316:16:46;61.000;99.000;29.000;6161.926;1920.000;132.731;53.000;71.094;4300.001;11537.000;71.700;17.287;41.200
24-02-202316:16:47;62.000;99.000;27.000;6163.676;1920.000;130.971;52.000;65.625;4300.001;11584.000;68.200;17.866;41.400
24-02-202316:16:48;62.000;99.000;29.000;6163.676;1920.000;135.536;51.000;69.531;4300.001;11621.000;70.900;15.764;41.600
24-02-202316:16:49;62.000;99.000;27.000;6163.676;1920.000;135.438;49.000;68.750;4300.001;11647.000;74.900;14.558;41.900
24-02-202316:16:50;62.000;99.000;26.000;6163.676;1920.000;126.569;52.000;72.917;4300.001;11666.000;58.300;20.528;42.000
24-02-202316:16:51;62.000;99.000;26.000;6163.676;1920.000;125.676;54.000;72.746;4300.001;11757.000;55.800;19.608;42.100
24-02-202316:16:52;62.000;99.000;26.000;6163.676;1920.000;122.661;53.000;80.740;4300.002;11819.000;60.700;17.731;42.200
24-02-202316:16:53;62.000;99.000;26.000;6163.754;1920.000;121.903;53.000;81.510;4300.002;11870.000;59.400;17.869;42.300
24-02-202316:16:54;62.000;99.000;26.000;6163.754;1920.000;125.161;51.000;84.375;4300.000;11905.000;57.400;18.707;42.400
24-02-202316:16:55;62.000;100.000;26.000;6163.754;1920.000;125.165;51.000;80.208;4300.000;12001.000;59.300;18.390;42.500
24-02-202316:16:56;62.000;99.000;25.000;6158.809;1920.000;124.621;53.000;83.333;4300.001;12012.000;59.300;18.931;42.600
24-02-202316:16:57;62.000;97.000;25.000;6167.320;1920.000;127.478;55.000;97.917;4296.149;12030.000;52.700;23.981;42.700
24-02-202316:16:58;61.000;100.000;25.000;6176.621;1920.000;123.088;56.000;91.927;4296.149;12118.000;52.900;24.442;42.800
24-02-202316:16:59;62.000;99.000;25.000;6176.621;1920.000;125.731;54.000;79.167;4302.042;12115.000;53.600;21.340;42.800
24-02-202316:17:00;61.000;99.000;25.000;6166.910;1920.000;121.386;54.000;86.658;4300.065;12119.000;55.400;21.674;42.900
24-02-202316:17:01;61.000;98.000;24.000;6173.539;1920.000;117.579;54.000;91.146;4300.001;12099.000;54.700;22.904;43.000
24-02-202316:17:02;61.000;99.000;25.000;6170.926;1920.000;124.531;53.000;93.390;4299.999;12204.000;54.500;26.225;43.100
24-02-202316:17:03;61.000;100.000;25.000;6172.484;1920.000;123.676;54.000;84.635;4299.999;12194.000;56.200;19.002;43.200
24-02-202316:17:04;61.000;99.000;25.000;6169.180;1920.000;123.070;54.000;84.564;4300.002;12188.000;58.200;18.446;43.200
24-02-202316:17:05;60.000;99.000;25.000;6169.180;1920.000;121.159;52.000;81.541;4300.003;12168.000;56.400;21.844;43.300
24-02-202316:17:06;60.000;99.000;25.000;6163.527;1920.000;123.152;57.000;88.021;4300.003;12266.000;57.400;18.871;43.400
24-02-202316:17:07;60.000;99.000;26.000;6170.672;1920.000;123.315;54.000;83.854;4300.001;12265.000;58.800;21.050;43.500
24-02-202316:17:08;60.000;96.000;25.000;6165.047;1920.000;121.468;54.000;99.479;4300.001;12248.000;57.600;23.901;43.600
24-02-202316:17:09;60.000;99.000;26.000;6165.734;1920.000;124.087;53.000;84.375;4300.001;12269.000;58.500;20.441;43.700
24-02-202316:17:10;60.000;100.000;26.000;6165.734;1920.000;124.894;54.000;84.115;4300.001;12298.000;57.900;21.242;43.800
24-02-202316:17:11;60.000;96.000;24.000;6167.551;1920.000;120.367;54.000;90.885;4300.001;12297.000;57.200;20.902;43.900
24-02-202316:17:12;60.000;97.000;25.000;6180.359;1920.000;122.772;57.000;99.740;4300.001;12266.000;56.600;22.721;43.900
24-02-202316:17:13;60.000;99.000;27.000;6171.863;1920.000;124.222;53.000;89.323;4300.001;12361.000;58.500;18.839;44.000
24-02-202316:17:14;60.000;99.000;26.000;6180.176;1920.000;125.032;52.000;86.979;4300.000;12331.000;59.900;17.959;44.100
24-02-202316:17:15;60.000;99.000;28.000;6180.176;1920.000;124.027;53.000;81.250;4300.000;12301.000;60.900;17.917;44.200
24-02-202316:17:16;59.000;99.000;26.000;6170.023;1920.000;118.715;56.000;98.438;4300.001;12287.000;57.500;23.116;44.300
24-02-202316:17:17;59.000;99.000;26.000;6179.129;1920.000;123.104;56.000;93.490;4300.001;12382.000;60.200;23.503;44.400
24-02-202316:17:18;59.000;99.000;26.000;6174.973;1920.000;117.146;55.000;89.063;4300.003;12399.000;60.100;19.497;44.500
24-02-202316:17:19;60.000;99.000;25.000;6173.309;1920.000;125.633;58.000;97.656;4300.003;12407.000;55.900;24.282;44.500
24-02-202316:17:20;60.000;99.000;27.000;6107.895;1920.000;130.548;54.000;95.573;4300.001;12370.000;57.100;33.096;44.600
24-02-202316:17:21;60.000;99.000;27.000;6098.504;1920.000;130.999;54.000;85.065;4300.001;12462.000;59.800;20.229;44.700
24-02-202316:17:22;59.000;92.000;25.000;6101.430;1920.000;124.764;55.000;97.893;4300.000;12401.000;55.700;26.234;44.800
24-02-202316:17:23;60.000;98.000;27.000;6101.469;1920.000;130.463;57.000;98.958;4300.001;12368.000;59.100;22.093;44.800
24-02-202316:17:24;60.000;96.000;27.000;6093.148;1920.000;131.969;57.000;99.219;4300.001;12456.000;59.400;24.173;44.900
24-02-202316:17:25;60.000;99.000;28.000;6090.484;1920.000;133.576;56.000;98.958;4300.002;12485.000;62.300;20.237;45.000
24-02-202316:17:26;60.000;99.000;29.000;6086.176;1920.000;135.287;55.000;82.552;4300.000;12449.000;66.000;18.942;45.100
