Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202316:20:58;58.000;99.000;28.000;6193.004;1935.000;130.496;51.000;63.542;4300.000;11170.000;76.100;16.345;41.400
24-02-202316:20:59;59.000;99.000;29.000;6193.004;1935.000;131.748;53.000;73.698;4300.001;11245.000;77.000;16.717;41.700
24-02-202316:21:00;59.000;99.000;27.000;6193.004;1935.000;128.307;54.000;74.479;4300.001;11295.000;76.900;17.560;42.000
24-02-202316:21:01;59.000;99.000;26.000;6196.754;1935.000;123.691;54.000;84.375;4300.001;11377.000;58.200;19.477;42.100
24-02-202316:21:02;58.000;99.000;26.000;6196.754;1935.000;118.528;55.000;77.865;4300.001;11483.000;60.900;19.346;42.200
24-02-202316:21:03;59.000;99.000;26.000;6196.754;1935.000;119.409;54.000;84.375;4300.001;11596.000;65.000;17.535;42.400
24-02-202316:21:04;59.000;99.000;26.000;6196.832;1935.000;119.137;54.000;80.990;4300.001;11687.000;61.900;20.047;42.600
24-02-202316:21:05;59.000;99.000;26.000;6196.832;1920.000;119.350;55.000;86.719;4300.002;11788.000;60.000;24.342;42.700
24-02-202316:21:06;59.000;98.000;26.000;6190.137;1920.000;119.959;55.000;84.115;4300.002;11877.000;61.100;21.193;42.800
24-02-202316:21:07;59.000;93.000;24.000;6194.512;1920.000;117.350;55.000;88.198;4300.001;11975.000;59.600;22.998;42.900
24-02-202316:21:08;60.000;97.000;25.000;6210.902;1920.000;117.749;57.000;96.827;4300.000;11971.000;53.800;26.558;43.000
24-02-202316:21:09;60.000;99.000;25.000;6209.699;1920.000;119.688;56.000;91.277;4300.000;11954.000;55.800;20.417;43.100
24-02-202316:21:10;60.000;99.000;25.000;6199.988;1920.000;120.274;56.000;81.758;4300.001;12039.000;56.900;19.642;43.200
24-02-202316:21:11;60.000;99.000;25.000;6193.277;1920.000;119.030;56.000;83.854;4300.001;12035.000;58.300;19.043;43.300
24-02-202316:21:12;60.000;97.000;24.000;6202.066;1920.000;114.276;56.000;97.170;4300.001;12026.000;56.000;22.212;43.400
24-02-202316:21:13;61.000;99.000;25.000;6202.129;1920.000;120.266;55.000;91.287;4300.001;12075.000;57.200;21.750;43.500
24-02-202316:21:14;61.000;99.000;26.000;6207.070;1920.000;119.436;55.000;86.719;4300.001;12107.000;59.000;19.684;43.600
24-02-202316:21:15;61.000;99.000;25.000;6202.258;1920.000;121.195;54.000;89.583;4300.001;12083.000;60.300;18.515;43.700
24-02-202316:21:16;61.000;99.000;25.000;6193.195;1920.000;118.939;56.000;88.021;4300.002;12051.000;59.500;18.340;43.800
24-02-202316:21:17;61.000;99.000;26.000;6201.086;1920.000;119.470;54.000;88.802;4299.999;12141.000;59.900;20.703;43.900
24-02-202316:21:18;62.000;95.000;24.000;6203.750;1920.000;118.581;58.000;88.542;4299.999;12139.000;61.100;19.621;44.100
24-02-202316:21:19;61.000;98.000;25.000;6236.000;1920.000;118.033;55.000;100.000;4300.002;12121.000;59.400;21.987;44.200
24-02-202316:21:20;62.000;98.000;25.000;6228.875;1920.000;120.115;56.000;87.500;4300.002;12098.000;60.400;19.480;44.300
24-02-202316:21:21;62.000;99.000;26.000;6229.875;1920.000;122.320;54.000;84.709;4300.001;12199.000;60.500;19.343;44.400
24-02-202316:21:22;62.000;98.000;25.000;6236.793;1920.000;122.969;56.000;94.511;4300.001;12202.000;59.200;21.413;44.500
24-02-202316:21:23;63.000;96.000;25.000;6244.500;1920.000;116.727;56.000;100.000;4300.000;12161.000;57.300;23.205;44.600
24-02-202316:21:24;63.000;99.000;27.000;6237.941;1920.000;123.362;55.000;84.862;4300.002;12109.000;61.500;22.494;44.700
24-02-202316:21:25;63.000;99.000;27.000;6246.254;1920.000;123.193;54.000;91.540;4300.002;12191.000;63.700;17.662;44.800
24-02-202316:21:26;62.000;98.000;26.000;6242.309;1920.000;120.363;54.000;84.307;4300.002;12165.000;63.000;21.384;44.900
24-02-202316:21:27;62.000;96.000;25.000;6236.102;1920.000;117.478;57.000;99.736;4300.002;12142.000;60.000;21.853;45.000
24-02-202316:21:28;62.000;99.000;25.000;6245.207;1920.000;121.445;54.000;99.487;4299.999;12187.000;62.900;22.790;45.100
24-02-202316:21:29;62.000;96.000;24.000;6238.941;1920.000;121.816;56.000;99.736;4299.999;12344.000;61.300;21.986;45.200
24-02-202316:21:30;62.000;99.000;25.000;6246.137;1920.000;122.846;59.000;97.917;4300.002;12257.000;60.800;18.597;45.300
24-02-202316:21:31;62.000;98.000;26.000;6174.066;1920.000;126.784;56.000;94.869;4300.000;12222.000;59.900;33.618;45.400
24-02-202316:21:32;62.000;96.000;25.000;6164.363;1920.000;122.037;56.000;87.838;4300.001;12293.000;62.700;20.133;45.500
24-02-202316:21:33;62.000;92.000;25.000;6167.098;1920.000;119.025;55.000;100.000;4300.001;12248.000;58.800;23.546;45.600
24-02-202316:21:34;62.000;95.000;26.000;6159.633;1920.000;121.912;55.000;99.219;4300.001;12238.000;62.800;22.798;45.700
24-02-202316:21:35;61.000;97.000;27.000;6161.691;1920.000;124.785;57.000;99.219;4300.001;12238.000;63.000;21.150;45.800
24-02-202316:21:36;62.000;97.000;27.000;6156.656;1920.000;128.211;57.000;98.438;4300.000;12328.000;66.100;22.780;45.900
24-02-202316:21:37;62.000;98.000;28.000;6152.348;1920.000;131.124;54.000;87.760;4300.001;12290.000;70.600;17.205;46.100
24-02-202316:21:38;61.000;96.000;26.000;6154.504;1920.000;125.626;58.000;95.833;4300.001;12196.000;68.700;17.390;46.200
24-02-202316:21:39;61.000;95.000;27.000;6149.539;1920.000;130.239;57.000;98.177;4300.001;12166.000;68.200;20.040;46.300
24-02-202316:21:40;61.000;99.000;28.000;6149.727;1920.000;130.339;55.000;87.654;4300.001;12248.000;72.600;17.372;46.500
24-02-202316:21:41;61.000;99.000;27.000;6151.320;1920.000;130.055;54.000;79.157;4300.001;12189.000;72.500;15.051;46.600
24-02-202316:21:42;61.000;97.000;26.000;6155.625;1920.000;128.132;57.000;92.448;4300.001;12130.000;68.200;18.170;46.800
24-02-202316:21:43;61.000;99.000;27.000;6159.633;1920.000;129.604;55.000;98.698;4299.999;12158.000;67.700;19.330;46.900
24-02-202316:21:44;61.000;99.000;27.000;6155.242;1920.000;130.118;55.000;78.906;4299.999;12175.000;70.800;16.673;47.000
24-02-202316:21:45;61.000;99.000;27.000;6155.117;1920.000;127.955;56.000;91.667;4300.002;12151.000;69.400;17.671;47.200
24-02-202316:21:46;61.000;96.000;26.000;6184.691;1920.000;127.532;56.000;99.479;4300.001;12113.000;65.100;18.653;47.300
24-02-202316:21:47;60.000;96.000;26.000;6188.156;1920.000;127.467;58.000;99.740;4300.000;12160.000;62.100;20.948;47.300
24-02-202316:21:48;60.000;98.000;27.000;6185.070;1920.000;126.730;58.000;97.135;4300.002;12130.000;61.600;19.406;47.400
24-02-202316:21:49;60.000;98.000;27.000;6190.578;1920.000;127.434;55.000;89.583;4300.002;12108.000;60.300;20.030;47.500
