Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202316:29:03;58.000;99.000;28.000;6069.250;1935.000;135.338;55.000;62.240;4300.002;11235.000;69.200;17.852;35.500
24-02-202316:29:04;58.000;99.000;29.000;6069.250;1935.000;136.112;53.000;68.229;4299.999;11316.000;70.100;15.790;35.800
24-02-202316:29:05;58.000;99.000;29.000;6069.250;1935.000;135.792;53.000;67.188;4300.003;11393.000;69.900;19.057;36.100
24-02-202316:29:06;58.000;99.000;28.000;6069.250;1935.000;134.006;53.000;70.495;4300.000;11449.000;71.700;16.861;36.400
24-02-202316:29:07;58.000;99.000;27.000;6069.313;1935.000;132.793;59.000;72.135;4300.001;11492.000;68.900;18.992;36.700
24-02-202316:29:08;59.000;99.000;28.000;6069.313;1935.000;135.384;53.000;69.596;4300.001;11543.000;70.200;17.028;37.000
24-02-202316:29:09;59.000;99.000;27.000;6071.063;1935.000;137.076;54.000;68.229;4300.001;11599.000;74.800;24.277;37.400
24-02-202316:29:10;59.000;100.000;25.000;6071.063;1920.000;127.200;54.000;71.778;4300.001;11665.000;61.300;21.991;37.600
24-02-202316:29:11;59.000;99.000;25.000;6071.063;1920.000;125.714;53.000;74.355;4300.002;11756.000;54.700;20.054;37.700
24-02-202316:29:12;59.000;99.000;25.000;6071.063;1920.000;121.793;56.000;73.958;4300.002;11859.000;60.600;19.503;37.900
24-02-202316:29:13;59.000;99.000;26.000;6071.266;1920.000;122.498;54.000;85.353;4300.001;11961.000;59.500;17.834;38.100
24-02-202316:29:14;59.000;99.000;26.000;6071.266;1920.000;123.776;56.000;75.031;4300.000;12061.000;57.300;20.432;38.200
24-02-202316:29:15;60.000;99.000;26.000;6071.266;1920.000;125.386;55.000;81.758;4300.000;12151.000;58.200;21.633;38.400
24-02-202316:29:16;60.000;99.000;25.000;6064.570;1920.000;125.299;55.000;76.563;4300.001;12237.000;59.200;19.637;38.600
24-02-202316:29:17;60.000;99.000;25.000;6072.133;1920.000;123.937;57.000;95.573;4300.001;12325.000;55.100;20.717;38.700
24-02-202316:29:18;60.000;99.000;24.000;6082.383;1920.000;124.211;55.000;97.917;4300.001;11616.000;51.400;25.314;38.800
24-02-202316:29:19;61.000;99.000;25.000;6084.195;1920.000;126.160;54.000;78.906;4300.001;11649.000;52.800;21.123;38.900
24-02-202316:29:20;61.000;99.000;25.000;6068.609;1920.000;121.757;55.000;85.333;4300.001;11681.000;54.800;21.099;39.100
24-02-202316:29:21;61.000;98.000;24.000;6068.039;1920.000;121.887;56.000;88.928;4300.001;11783.000;54.500;24.004;39.200
24-02-202316:29:22;61.000;99.000;25.000;6076.625;1920.000;126.004;55.000;95.052;4300.001;11801.000;53.900;22.474;39.300
24-02-202316:29:23;61.000;99.000;25.000;6078.184;1920.000;123.059;55.000;86.719;4300.001;11813.000;55.300;19.244;39.400
24-02-202316:29:24;62.000;99.000;25.000;6076.816;1920.000;125.884;56.000;83.594;4300.001;11906.000;58.000;20.376;39.600
24-02-202316:29:25;62.000;99.000;25.000;6076.816;1920.000;124.690;55.000;82.552;4300.001;11910.000;55.600;22.931;39.700
24-02-202316:29:26;62.000;99.000;26.000;6071.164;1920.000;125.529;57.000;81.250;4300.001;11913.000;57.200;18.639;39.800
24-02-202316:29:27;62.000;99.000;26.000;6078.309;1920.000;124.732;55.000;83.854;4300.001;11908.000;57.900;18.855;40.000
24-02-202316:29:28;62.000;98.000;25.000;6110.559;1920.000;123.887;56.000;96.615;4300.001;12028.000;58.500;20.855;40.100
24-02-202316:29:29;63.000;99.000;25.000;6108.934;1920.000;126.426;57.000;90.625;4300.001;12025.000;57.600;21.955;40.200
24-02-202316:29:30;63.000;99.000;26.000;6103.434;1920.000;127.593;54.000;77.865;4300.001;12023.000;57.500;18.835;40.400
24-02-202316:29:31;62.000;92.000;23.000;6105.801;1920.000;116.136;56.000;86.979;4300.001;12024.000;56.700;22.189;40.500
24-02-202316:29:32;62.000;96.000;24.000;6118.059;1920.000;122.638;57.000;98.958;4300.002;12121.000;57.100;22.189;40.600
24-02-202316:29:33;62.000;99.000;26.000;6109.563;1920.000;126.694;55.000;93.229;4300.002;12106.000;57.700;20.407;40.700
24-02-202316:29:34;62.000;99.000;26.000;6119.523;1920.000;126.430;56.000;84.375;4300.001;12088.000;60.100;20.791;40.900
