Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202316:25:15;58.000;99.000;27.000;6063.184;1935.000;132.820;54.000;80.469;4300.002;11211.000;70.800;21.023;39.300
24-02-202316:25:16;59.000;99.000;28.000;6063.184;1935.000;133.247;56.000;83.854;4300.001;11273.000;72.300;15.653;39.500
24-02-202316:25:17;59.000;99.000;29.000;6063.184;1935.000;134.088;52.000;76.563;4300.001;11338.000;73.400;15.066;39.700
24-02-202316:25:18;59.000;99.000;28.000;6063.184;1935.000;133.285;51.000;72.135;4300.001;11372.000;73.700;14.985;40.000
24-02-202316:25:19;59.000;99.000;27.000;6064.934;1935.000;132.238;53.000;74.219;4300.001;11392.000;70.600;20.068;40.200
24-02-202316:25:20;59.000;99.000;28.000;6064.934;1920.000;132.045;54.000;74.600;4300.001;11414.000;72.100;15.357;40.400
24-02-202316:25:21;60.000;99.000;28.000;6065.059;1920.000;135.030;52.000;68.274;4300.001;11474.000;75.500;15.249;40.700
24-02-202316:25:22;59.000;99.000;26.000;6065.059;1920.000;127.062;54.000;76.563;4300.001;11495.000;69.900;18.318;40.900
24-02-202316:25:23;60.000;99.000;25.000;6065.059;1920.000;125.871;53.000;71.615;4300.001;11543.000;56.000;20.767;41.000
24-02-202316:25:24;59.000;98.000;26.000;6065.059;1920.000;122.765;56.000;77.865;4300.002;11631.000;60.200;19.134;41.100
24-02-202316:25:25;60.000;99.000;25.000;6065.137;1920.000;120.560;55.000;81.510;4300.001;11690.000;62.500;18.307;41.200
24-02-202316:25:26;60.000;99.000;25.000;6065.137;1920.000;123.385;55.000;84.635;4300.001;11722.000;59.800;19.457;41.400
24-02-202316:25:27;60.000;99.000;25.000;6065.137;1920.000;122.655;55.000;81.250;4300.001;11745.000;59.600;18.548;41.500
24-02-202316:25:28;60.000;99.000;25.000;6058.441;1920.000;121.465;54.000;86.979;4300.001;11837.000;60.400;18.300;41.600
24-02-202316:25:29;60.000;97.000;24.000;6068.574;1920.000;117.516;56.000;96.354;4300.001;11852.000;57.800;21.362;41.700
24-02-202316:25:30;61.000;99.000;25.000;6078.004;1920.000;123.327;56.000;99.740;4300.001;11860.000;53.300;26.872;41.800
24-02-202316:25:31;61.000;100.000;24.000;6078.004;1920.000;122.433;54.000;88.281;4300.000;11863.000;54.800;20.038;41.900
24-02-202316:25:32;61.000;99.000;25.000;6068.293;1920.000;122.274;55.000;84.375;4300.000;11939.000;56.200;19.772;42.000
24-02-202316:25:33;61.000;99.000;24.000;6063.457;1920.000;121.555;56.000;82.031;4300.002;11940.000;56.300;19.488;42.100
24-02-202316:25:34;61.000;94.000;23.000;6072.309;1920.000;120.567;57.000;99.479;4299.999;11951.000;53.700;26.464;42.100
