Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202316:58:59;60;99;35;4944.445;1920;158.379;54;66.159;4300;10124;45.8;28.637;56.5
24-02-202316:59:00;60;100;36;4965.102;1920;161.307;54;72.917;4300;10253;44.4;30.46;56.4
24-02-202316:59:01;61;99;35;4976.238;1920;161.034;54;73.958;4299.968;10372;44.7;30.107;56.3
24-02-202316:59:02;61;100;36;4979.938;1920;161.101;52;72.656;4300.067;10478;44.4;29.146;56.2
24-02-202316:59:03;62;100;37;4981.551;1912;160.997;48;51.302;4300.067;10580;44.8;27.138;56.1
24-02-202316:59:04;62;100;37;4986.613;1920;161.05;48;41.927;4300.001;10698;44.8;29.22;56
24-02-202316:59:05;62;100;37;4988.676;1912;161.545;50;44.01;4300.001;10808;45;27.706;55.9
24-02-202316:59:06;63;100;37;4989.715;1905;163.495;46;44.531;4300.002;10917;45.1;26.919;55.8
24-02-202316:59:07;63;100;36;4998.891;1920;161.037;52;47.135;4300.002;11014;45.5;28.551;55.7
24-02-202316:59:08;63;100;35;5005.641;1920;163.28;52;45.313;4300.001;11129;45.1;26.533;55.6
24-02-202316:59:09;63;100;35;5012.836;1920;161.131;50;45.573;4300.001;10619;44.8;26.778;55.6
24-02-202316:59:10;63;100;34;5023.961;1912;159.374;48;49.74;4300.002;10668;44.6;27.531;55.5
24-02-202316:59:11;63;100;34;5027.836;1920;159.316;48;47.917;4300;10783;44.4;27.285;55.4
24-02-202316:59:12;63;100;34;5028.203;1920;159.534;47;42.969;4300.002;10811;43.9;29.453;55.3
24-02-202316:59:13;63;100;34;5030.078;1920;159.825;51;43.229;4300.002;10835;44.2;27.081;55.2
24-02-202316:59:14;63;99;33;5033.531;1920;157.739;48;41.146;4300.001;10853;44.3;27.334;55.1
24-02-202316:59:15;63;99;34;5034.094;1920;160.309;52;47.135;4300.001;10975;44.5;29.745;55
24-02-202316:59:16;63;100;35;5040.332;1920;158.661;53;64.323;4300.001;10990;45.7;27.407;54.9
24-02-202316:59:17;63;100;36;5052.762;1920;161.236;46;50.26;4300.001;10992;45.5;26.646;54.9
24-02-202316:59:18;63;100;35;5052.762;1920;159.472;48;46.094;4300;10991;45.5;26.123;54.8
24-02-202316:59:19;63;100;36;5052.762;1912;160.051;48;46.615;4300;11112;45.9;26.637;54.7
24-02-202316:59:20;63;100;36;5058.324;1920;159.533;52;46.615;4300.002;11111;46.3;25.479;54.6
24-02-202316:59:21;63;100;36;5058.324;1920;159.87;50;44.271;4299.998;11099;46.3;26.082;54.6
24-02-202316:59:22;63;100;36;5058.324;1920;160.173;48;44.01;4299.998;11114;46.1;25.856;54.5
24-02-202316:59:31;60;99;36;4999.477;1920;158.632;53;67.448;4300.001;10856;51.3;24.686;54.5
24-02-202316:59:32;60;99;37;5022.121;1920;160.74;48;47.66;4300.001;10861;51.3;24.388;54.4
24-02-202316:59:33;61;98;36;5062.895;1920;161.992;48;55.848;4300.001;10884;50.3;38.637;54.4
24-02-202316:59:34;61;99;37;5058.363;1920;158.944;53;48.177;4300.001;10957;50.7;35.445;54.3
24-02-202316:59:35;61;99;37;5042.492;1920;161.15;46;52.535;4300.001;10943;50.5;24.615;54.3
24-02-202316:59:36;61;99;37;5048.484;1920;158.234;50;53.125;4300.001;10946;50.3;24.753;54.2
24-02-202316:59:37;61;99;37;5052.672;1920;159.927;49;45.008;4300.002;10929;50.9;24.665;54.2
24-02-202316:59:38;61;100;37;4854.109;1920;164.209;48;52.278;4300.002;11028;50.6;28.024;54.2
24-02-202316:59:39;61;99;37;4854.109;1912;164.642;52;49.767;4300.001;11003;50.9;23.732;54.1
24-02-202316:59:40;61;100;40;4857.539;1920;159.488;49;48.698;4300.001;10987;50.3;23.837;54.1
24-02-202316:59:41;61;100;39;4857.539;1920;164.172;51;49.456;4300.001;11080;49.3;24.564;54
24-02-202316:59:42;61;100;38;4861.977;1920;160.858;50;50.781;4300.002;11073;50.6;24.208;54
24-02-202316:59:43;62;100;39;4863.664;1920;163.409;48;49.479;4300.002;11058;49.7;25.879;54
24-02-202316:59:44;62;100;39;4865.727;1920;162.93;49;48.974;4300.001;11041;49.1;25.392;53.9
24-02-202316:59:45;62;100;39;4866.113;1920;162.302;52;48.43;4300.001;11138;49.3;24.288;53.9
24-02-202316:59:46;62;100;39;4871.801;1912;163.242;48;50.781;4300.001;11181;49.3;24.28;53.8
24-02-202316:59:47;62;100;39;4887.488;1920;163.803;50;52.604;4300;11112;49.9;23.774;53.8
