Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202313:16:12;60.000;99.000;40.000;5609.199;1905.000;162.924;46.000;38.281;4299.999;12115.000;33.900;32.264;75.800
24-02-202313:16:13;61.000;99.000;40.000;5609.199;1905.000;163.638;50.000;45.723;4299.999;12255.000;33.400;32.166;75.800
24-02-202313:16:14;62.000;99.000;40.000;5609.199;1920.000;161.419;45.000;49.239;4299.999;12367.000;32.900;32.402;75.700
24-02-202313:16:15;62.000;99.000;41.000;5609.199;1912.000;166.093;47.000;47.917;4299.999;12429.000;33.200;33.244;75.700
24-02-202313:16:16;62.000;99.000;40.000;5609.199;1890.000;165.476;43.000;48.438;4299.999;12470.000;33.500;32.152;75.600
24-02-202313:16:17;63.000;99.000;40.000;5609.199;1912.000;165.383;52.000;50.521;4299.999;12601.000;33.300;33.723;75.500
24-02-202313:16:18;63.000;98.000;40.000;5609.199;1920.000;165.423;49.000;61.198;4299.999;12669.000;33.300;32.826;75.500
24-02-202313:16:19;63.000;99.000;40.000;5609.199;1912.000;166.778;52.000;62.240;4299.998;12707.000;34.000;31.907;75.400
24-02-202313:16:20;63.000;99.000;39.000;5609.199;1897.000;167.375;53.000;61.198;4299.998;12755.000;34.000;31.866;75.400
24-02-202313:16:21;63.000;99.000;39.000;5609.199;1905.000;163.776;49.000;60.156;4300.000;12844.000;33.300;32.743;75.300
24-02-202313:16:22;64.000;99.000;38.000;5609.199;1897.000;161.943;47.000;63.802;4299.999;12859.000;32.800;33.618;75.300
24-02-202313:16:23;63.000;99.000;38.000;5609.199;1897.000;164.109;50.000;60.938;4299.999;12874.000;32.700;34.887;75.200
24-02-202313:16:24;63.000;99.000;38.000;5609.199;1890.000;161.961;50.000;44.271;4299.999;12980.000;32.700;33.816;75.200
24-02-202313:16:25;63.000;98.000;37.000;5609.199;1905.000;163.123;47.000;41.146;4299.999;12981.000;32.700;34.193;75.100
24-02-202313:16:26;63.000;98.000;37.000;5609.199;1905.000;162.408;50.000;61.198;4299.999;12985.000;32.400;54.495;75.100
24-02-202313:16:27;63.000;99.000;37.000;5609.199;1897.000;162.866;50.000;59.635;4299.999;12967.000;32.400;33.151;75.000
24-02-202313:16:29;64.000;99.000;38.000;5609.199;1875.000;160.939;46.000;52.083;4299.999;13077.000;32.000;34.683;74.900
24-02-202313:16:30;63.000;99.000;38.000;5609.199;1897.000;165.331;50.000;50.000;4299.999;13059.000;32.400;33.638;74.800
24-02-202313:16:31;63.000;99.000;37.000;5609.199;1890.000;157.582;45.000;44.531;4299.999;13025.000;32.400;33.264;74.800
24-02-202313:16:32;63.000;99.000;38.000;5609.199;1897.000;165.577;45.000;52.604;4299.999;13145.000;32.700;33.518;74.700
24-02-202313:16:33;63.000;98.000;38.000;5609.199;1867.000;157.596;49.000;62.500;4299.999;13121.000;32.200;33.889;74.700
24-02-202313:16:34;63.000;99.000;38.000;5609.199;1905.000;164.837;49.000;61.979;4300.000;13102.000;32.500;33.525;74.600
24-02-202313:16:35;63.000;99.000;37.000;5609.199;1912.000;160.995;49.000;59.115;4299.997;13197.000;32.200;34.398;74.600
24-02-202313:16:42;60.000;98.000;43.000;5641.199;1912.000;162.674;54.000;53.906;4300.000;12814.000;35.600;56.743;75.800
24-02-202313:16:43;60.000;98.000;45.000;5641.199;1912.000;164.902;53.000;69.271;4300.000;12914.000;42.900;27.332;75.700
24-02-202313:16:44;61.000;98.000;45.000;5641.199;1905.000;164.025;50.000;60.417;4299.999;12894.000;43.000;25.600;75.700
24-02-202313:16:45;61.000;98.000;45.000;5641.199;1920.000;164.051;50.000;54.948;4300.000;12891.000;42.700;26.209;75.700
24-02-202313:16:46;61.000;98.000;45.000;5641.199;1912.000;163.202;51.000;61.458;4300.000;12882.000;41.100;27.349;75.600
24-02-202313:16:47;61.000;98.000;45.000;5641.199;1912.000;163.142;52.000;67.969;4299.999;12961.000;42.100;28.697;75.600
24-02-202313:16:48;61.000;98.000;46.000;5641.199;1897.000;165.545;51.000;67.448;4299.999;12940.000;42.100;26.942;75.500
24-02-202313:16:49;61.000;98.000;45.000;5641.199;1905.000;162.409;47.000;61.979;4299.999;12924.000;42.100;27.061;75.500
24-02-202313:16:50;61.000;98.000;46.000;5641.199;1912.000;167.269;51.000;52.791;4299.999;12980.000;41.500;28.121;75.400
24-02-202313:16:51;62.000;98.000;46.000;5641.199;1920.000;165.737;52.000;60.677;4299.999;13047.000;42.000;27.699;75.400
24-02-202313:16:52;61.000;98.000;47.000;5641.199;1890.000;165.738;52.000;51.618;4299.999;13019.000;42.200;28.355;75.400
