Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202313:25:06;58.000;98.000;31.000;5182.879;1935.000;159.254;57.000;68.375;4299.999;11783.000;45.800;25.158;71.700
24-02-202313:25:07;58.000;98.000;31.000;5182.879;1935.000;157.969;55.000;70.742;4299.999;11823.000;44.800;26.245;71.700
24-02-202313:25:08;58.000;98.000;31.000;5182.879;1920.000;155.628;55.000;66.860;4299.999;11871.000;45.000;25.519;71.700
24-02-202313:25:09;59.000;98.000;31.000;5182.879;1920.000;159.410;52.000;68.699;4299.999;11991.000;44.900;24.909;71.700
24-02-202313:25:10;59.000;98.000;31.000;5182.879;1920.000;155.325;54.000;70.654;4300.000;12035.000;44.600;27.488;71.600
24-02-202313:25:11;60.000;98.000;31.000;5182.879;1920.000;154.983;57.000;68.229;4300.000;12063.000;43.900;25.542;71.600
24-02-202313:25:12;60.000;98.000;30.000;5182.879;1920.000;156.070;55.000;63.281;4299.999;12121.000;42.600;27.487;71.600
24-02-202313:25:13;60.000;98.000;30.000;5182.879;1920.000;156.171;53.000;68.229;4299.999;12193.000;42.100;26.718;71.600
24-02-202313:25:14;60.000;98.000;28.000;5182.879;1920.000;157.378;53.000;64.323;4299.999;12204.000;41.800;25.797;71.600
24-02-202313:25:15;61.000;98.000;28.000;5182.879;1920.000;155.146;56.000;65.885;4299.999;12200.000;40.500;27.778;71.500
24-02-202313:25:16;61.000;98.000;29.000;5182.879;1920.000;157.919;56.000;61.979;4299.999;12313.000;40.600;27.277;71.500
24-02-202313:25:17;61.000;98.000;27.000;5182.879;1920.000;159.051;55.000;66.146;4299.999;12306.000;40.500;27.617;71.500
24-02-202313:25:18;62.000;98.000;27.000;5182.879;1920.000;158.383;58.000;60.938;4299.999;12296.000;40.300;27.732;71.500
24-02-202313:25:19;62.000;98.000;28.000;5182.879;1920.000;160.703;56.000;66.406;4299.999;12287.000;41.400;27.874;71.400
24-02-202313:25:20;63.000;98.000;29.000;5182.879;1920.000;159.789;58.000;63.802;4300.000;12398.000;41.600;26.272;71.400
24-02-202313:25:21;63.000;98.000;28.000;5182.879;1920.000;163.076;53.000;65.625;4299.997;12372.000;41.600;28.035;71.400
24-02-202313:25:22;63.000;98.000;28.000;5182.879;1920.000;161.980;54.000;66.927;4300.001;12354.000;41.800;26.925;71.400
24-02-202313:25:23;63.000;98.000;28.000;5182.879;1912.000;161.742;56.000;69.271;4300.001;12345.000;41.900;26.284;71.400
24-02-202313:25:24;63.000;98.000;29.000;5182.879;1912.000;160.478;54.000;65.625;4299.999;12455.000;42.200;26.604;71.300
24-02-202313:25:25;63.000;98.000;29.000;5182.879;1912.000;160.524;57.000;65.625;4299.999;12416.000;41.700;26.306;71.300
24-02-202313:25:26;63.000;98.000;29.000;5182.879;1912.000;160.666;52.000;70.052;4299.999;12364.000;42.300;26.414;71.300
24-02-202313:25:36;59.000;98.000;32.000;5182.879;1920.000;155.044;53.000;67.188;4299.999;12057.000;53.900;42.351;72.500
24-02-202313:25:37;60.000;98.000;36.000;5182.879;1920.000;162.408;56.000;79.427;4299.999;12073.000;60.900;20.098;72.500
24-02-202313:25:38;60.000;98.000;35.000;5182.879;1920.000;160.135;56.000;69.271;4299.999;12081.000;61.200;18.441;72.500
24-02-202313:25:39;60.000;98.000;36.000;5182.879;1920.000;160.918;56.000;74.479;4299.999;12160.000;61.100;19.453;72.500
24-02-202313:25:40;60.000;98.000;36.000;5182.879;1920.000;160.968;55.000;81.771;4299.999;12157.000;59.900;20.635;72.500
24-02-202313:25:41;61.000;97.000;35.000;5182.879;1920.000;157.854;55.000;84.375;4299.998;12144.000;58.400;21.290;72.500
24-02-202313:25:42;61.000;98.000;37.000;5182.879;1920.000;161.508;58.000;70.573;4300.001;12177.000;59.500;20.662;72.400
24-02-202313:25:43;61.000;98.000;37.000;5182.879;1920.000;161.724;56.000;73.177;4300.001;12169.000;59.900;19.661;72.400
24-02-202313:25:44;61.000;98.000;37.000;5182.879;1920.000;160.372;57.000;73.698;4299.998;12146.000;59.500;20.074;72.400
24-02-202313:25:45;61.000;98.000;36.000;5182.879;1920.000;161.019;55.000;75.260;4299.998;12130.000;59.400;21.538;72.400
24-02-202313:25:46;61.000;98.000;38.000;5166.879;1920.000;163.164;55.000;60.417;4300.000;12214.000;59.800;18.053;72.400
24-02-202313:25:47;61.000;98.000;38.000;5166.879;1920.000;163.130;56.000;72.396;4300.000;12203.000;57.700;21.020;72.400
24-02-202313:25:48;61.000;98.000;38.000;5166.879;1920.000;162.357;54.000;66.406;4299.998;12187.000;59.100;20.053;72.400
24-02-202313:25:49;61.000;98.000;39.000;5166.879;1920.000;163.806;54.000;63.542;4299.998;12178.000;59.900;19.159;72.400
24-02-202313:25:50;62.000;98.000;39.000;5166.879;1920.000;163.156;51.000;61.979;4299.999;12276.000;58.800;20.037;72.400
24-02-202313:25:51;62.000;98.000;39.000;5166.879;1920.000;162.767;53.000;61.979;4300.000;12266.000;58.400;19.312;72.400
24-02-202313:25:52;62.000;98.000;39.000;5166.879;1920.000;163.641;55.000;57.031;4300.000;12223.000;58.600;19.501;72.300
24-02-202313:25:53;61.000;98.000;38.000;5166.879;1920.000;159.629;53.000;58.854;4300.000;12201.000;59.000;20.196;72.300
24-02-202313:25:54;62.000;97.000;36.000;5166.879;1920.000;156.919;56.000;68.490;4299.998;12290.000;58.000;22.027;72.300
24-02-202313:25:55;62.000;98.000;39.000;5166.879;1920.000;162.846;60.000;77.165;4300.000;12258.000;57.900;20.448;72.300
24-02-202313:25:56;62.000;97.000;39.000;5166.879;1920.000;162.282;54.000;76.302;4299.999;12232.000;59.900;22.127;72.300
24-02-202313:25:57;62.000;97.000;40.000;5166.879;1920.000;162.813;54.000;63.542;4299.999;12262.000;59.600;19.782;72.300
24-02-202313:25:58;62.000;98.000;40.000;5166.879;1920.000;163.392;54.000;60.938;4300.000;12318.000;60.000;17.809;72.300
24-02-202313:25:59;62.000;98.000;40.000;5166.879;1920.000;162.314;53.000;58.854;4299.998;12293.000;59.900;33.054;72.300
24-02-202313:26:00;62.000;98.000;40.000;5166.879;1920.000;163.255;55.000;63.780;4299.998;12254.000;63.400;19.117;72.300
24-02-202313:26:09;60.000;98.000;28.000;5166.879;1920.000;162.631;55.000;76.563;4299.999;12124.000;56.700;22.409;73.300
24-02-202313:26:10;60.000;98.000;27.000;5166.879;1920.000;160.979;56.000;83.854;4299.999;12111.000;53.200;23.195;73.300
24-02-202313:26:11;61.000;98.000;27.000;5166.879;1920.000;160.639;56.000;80.208;4299.999;12104.000;52.800;23.457;73.300
24-02-202313:26:12;60.000;98.000;26.000;5150.879;1920.000;157.856;55.000;80.469;4299.999;12104.000;52.800;22.411;73.200
24-02-202313:26:13;61.000;98.000;27.000;5150.879;1920.000;161.210;55.000;79.167;4299.999;12168.000;52.000;23.741;73.200
