Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202313:52:04;54.000;98.000;31.000;5188.129;1942.000;155.752;56.000;72.917;4300.000;10195.000;43.900;26.186;73.000
24-02-202313:52:05;55.000;98.000;31.000;5188.129;1942.000;157.425;56.000;65.625;4299.999;10311.000;44.500;24.493;73.000
24-02-202313:52:06;55.000;98.000;32.000;5188.129;1942.000;158.902;51.000;64.063;4300.000;10389.000;44.800;24.977;73.000
24-02-202313:52:07;56.000;98.000;32.000;5188.129;1942.000;157.995;52.000;49.479;4300.000;10426.000;44.800;25.088;73.000
24-02-202313:52:08;56.000;98.000;33.000;5188.129;1927.000;157.862;48.000;49.740;4299.999;10488.000;44.900;25.870;72.900
24-02-202313:52:09;56.000;98.000;33.000;5188.129;1927.000;156.044;52.000;51.563;4299.999;10610.000;44.600;25.902;72.900
24-02-202313:52:10;57.000;98.000;33.000;5188.129;1927.000;154.678;53.000;60.417;4299.999;10678.000;45.100;25.359;72.900
24-02-202313:52:11;57.000;98.000;34.000;5188.129;1927.000;156.671;53.000;67.448;4299.999;10728.000;44.900;25.412;72.900
24-02-202313:52:12;58.000;98.000;34.000;5188.129;1927.000;157.970;59.000;70.573;4299.999;10746.000;45.700;24.770;72.900
24-02-202313:52:13;59.000;98.000;34.000;5188.129;1927.000;157.790;55.000;80.990;4299.999;10855.000;46.200;25.595;72.900
24-02-202313:52:14;59.000;98.000;34.000;5188.129;1927.000;158.308;57.000;66.667;4299.999;10845.000;46.900;25.003;72.900
24-02-202313:52:15;59.000;98.000;34.000;5188.129;1927.000;157.280;52.000;55.469;4299.999;10847.000;46.800;24.048;72.900
24-02-202313:52:16;59.000;98.000;34.000;5188.129;1927.000;156.228;54.000;60.156;4299.999;10947.000;47.200;23.686;72.900
24-02-202313:52:17;60.000;98.000;34.000;5188.129;1927.000;154.952;55.000;56.510;4299.999;10941.000;46.800;24.254;72.900
24-02-202313:52:18;60.000;98.000;35.000;5188.129;1927.000;156.736;52.000;57.292;4299.999;10927.000;47.300;24.213;72.900
24-02-202313:52:19;60.000;98.000;34.000;5188.129;1927.000;158.445;53.000;56.250;4299.999;10915.000;47.900;23.239;72.800
24-02-202313:52:20;61.000;98.000;34.000;5188.129;1927.000;154.051;57.000;66.133;4299.999;10985.000;46.600;25.556;72.800
24-02-202313:52:21;61.000;98.000;35.000;5188.129;1927.000;157.994;58.000;69.010;4299.999;10980.000;48.100;23.872;72.800
24-02-202313:52:22;61.000;98.000;35.000;5188.129;1927.000;159.332;58.000;65.895;4299.999;10952.000;48.400;23.194;72.800
24-02-202313:52:23;61.000;98.000;35.000;5188.129;1927.000;156.749;53.000;58.594;4299.998;10938.000;48.800;22.886;72.800
