Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202314:30:22;60.000;98.000;29.000;4721.664;1920.000;158.344;46.000;63.021;4299.998;10748.000;46.600;27.056;71.000
24-02-202314:30:23;60.000;98.000;28.000;4721.664;1920.000;157.587;46.000;56.771;4299.998;10870.000;40.700;34.490;70.700
24-02-202314:30:24;61.000;98.000;30.000;4721.664;1920.000;159.904;49.000;69.010;4299.998;10989.000;45.300;25.824;70.600
24-02-202314:30:25;61.000;98.000;31.000;4721.664;1920.000;160.101;52.000;57.292;4299.998;11091.000;46.300;23.949;70.400
24-02-202314:30:26;62.000;98.000;31.000;4721.664;1920.000;158.896;53.000;54.167;4299.997;11254.000;45.900;23.576;70.200
24-02-202314:30:27;62.000;98.000;31.000;4721.664;1920.000;158.959;45.000;59.549;4299.997;11361.000;45.900;24.171;70.100
24-02-202314:30:28;62.000;98.000;31.000;4721.664;1920.000;160.529;53.000;53.561;4299.997;11417.000;45.900;25.119;69.900
24-02-202314:30:29;63.000;98.000;32.000;4721.664;1920.000;165.386;46.000;57.552;4299.999;11455.000;46.100;23.410;69.800
24-02-202314:30:30;63.000;98.000;31.000;4721.664;1920.000;162.656;46.000;52.344;4299.999;11485.000;45.800;23.899;69.600
24-02-202314:30:31;63.000;98.000;31.000;4721.664;1912.000;162.404;45.000;54.262;4299.999;11597.000;45.200;36.366;69.500
24-02-202314:30:32;64.000;98.000;30.000;4721.664;1912.000;161.705;48.000;54.688;4299.999;11608.000;44.900;23.490;69.300
24-02-202314:30:33;63.000;98.000;30.000;4721.664;1912.000;159.843;52.000;57.292;4299.998;11607.000;44.700;24.966;69.100
24-02-202314:30:34;63.000;98.000;30.000;4721.664;1912.000;161.721;46.000;48.958;4299.998;11611.000;41.300;32.452;69.000
24-02-202314:30:35;63.000;98.000;31.000;4721.664;1912.000;162.370;50.000;55.208;4299.998;11708.000;45.200;24.663;68.800
24-02-202314:30:36;63.000;98.000;30.000;4721.664;1912.000;159.955;50.000;58.436;4299.998;11723.000;44.700;25.144;68.700
24-02-202314:30:37;63.000;98.000;31.000;4721.664;1912.000;157.932;49.000;65.366;4299.998;11713.000;44.700;27.096;68.500
24-02-202314:30:38;63.000;98.000;30.000;4721.664;1912.000;157.381;47.000;63.567;4299.998;11751.000;45.000;25.615;68.400
24-02-202314:30:39;63.000;98.000;31.000;4725.664;1912.000;158.729;45.000;54.167;4299.998;11810.000;45.600;27.275;68.200
24-02-202314:30:40;63.000;98.000;31.000;4725.664;1912.000;158.381;45.000;55.729;4299.998;11802.000;45.800;26.538;68.100
24-02-202314:30:41;63.000;98.000;31.000;4725.664;1912.000;161.731;43.000;50.781;4299.998;11786.000;46.100;23.876;68.000
24-02-202314:30:42;63.000;98.000;32.000;4725.664;1912.000;162.180;52.000;50.521;4299.998;11861.000;46.700;26.246;67.800
24-02-202314:30:43;63.000;98.000;33.000;4725.664;1912.000;162.771;49.000;52.865;4299.998;11877.000;47.300;23.758;67.700
24-02-202314:30:44;63.000;98.000;32.000;4725.664;1912.000;160.802;47.000;56.113;4299.998;11864.000;47.500;23.107;67.600
24-02-202314:30:45;63.000;98.000;33.000;4725.664;1912.000;161.554;50.000;57.153;4299.998;11826.000;47.900;22.819;67.500
24-02-202314:30:58;59.000;98.000;34.000;4823.664;1935.000;161.915;48.000;65.365;4299.998;11563.000;59.900;20.280;78.600
24-02-202314:30:59;59.000;98.000;34.000;4823.664;1920.000;161.569;48.000;56.510;4299.998;11560.000;60.400;18.526;78.500
24-02-202314:31:00;59.000;97.000;35.000;4823.664;1920.000;162.029;50.000;62.240;4299.998;11560.000;59.800;18.143;78.400
24-02-202314:31:01;60.000;98.000;35.000;4823.664;1920.000;162.557;50.000;65.365;4299.997;11640.000;59.900;19.082;78.300
24-02-202314:31:02;60.000;98.000;35.000;4823.664;1920.000;162.282;48.000;61.979;4299.999;11628.000;59.800;18.086;78.200
24-02-202314:31:03;60.000;98.000;35.000;4823.664;1912.000;162.232;49.000;59.375;4299.999;11623.000;59.800;21.010;78.100
24-02-202314:31:04;60.000;98.000;35.000;4823.664;1920.000;162.422;49.000;58.333;4299.999;11619.000;59.900;20.764;78.000
24-02-202314:31:05;60.000;97.000;34.000;4823.664;1920.000;157.805;50.000;70.052;4299.997;11720.000;57.100;22.089;77.900
24-02-202314:31:06;60.000;98.000;35.000;4823.664;1920.000;159.236;51.000;68.229;4299.997;11699.000;57.600;20.866;77.800
24-02-202314:31:07;60.000;98.000;36.000;4823.664;1920.000;161.285;51.000;72.135;4299.998;11762.000;58.200;20.206;77.700
24-02-202314:31:08;60.000;98.000;37.000;4823.664;1920.000;162.837;50.000;72.135;4299.998;11737.000;56.900;20.476;77.600
24-02-202314:31:09;60.000;98.000;36.000;4823.664;1920.000;163.637;52.000;66.423;4299.999;11877.000;57.500;22.057;77.500
24-02-202314:31:10;60.000;98.000;37.000;4823.664;1920.000;163.718;50.000;69.468;4299.999;10696.000;58.600;21.315;77.400
24-02-202314:31:11;61.000;98.000;37.000;4823.664;1920.000;161.277;54.000;59.549;4299.998;10536.000;57.300;19.221;77.300
24-02-202314:31:12;61.000;98.000;38.000;4823.664;1912.000;161.478;52.000;61.515;4299.998;10543.000;57.700;21.379;77.200
24-02-202314:31:13;60.000;97.000;37.000;4823.664;1920.000;158.565;50.000;61.719;4299.998;10634.000;57.000;21.241;77.100
24-02-202314:31:14;61.000;98.000;38.000;4823.664;1920.000;163.778;51.000;76.563;4299.999;10619.000;57.400;20.131;77.000
24-02-202314:31:15;61.000;98.000;38.000;4823.664;1920.000;164.686;49.000;64.844;4299.997;10591.000;58.300;20.072;76.900
24-02-202314:31:16;61.000;98.000;38.000;4823.664;1912.000;164.283;49.000;59.635;4299.997;10674.000;58.900;20.149;76.800
24-02-202314:31:17;61.000;98.000;38.000;4823.664;1897.000;163.580;51.000;57.292;4299.999;10650.000;59.200;18.854;76.700
24-02-202314:31:18;61.000;98.000;38.000;4823.664;1920.000;164.226;51.000;60.677;4299.998;10624.000;59.700;18.445;76.600
24-02-202314:31:19;61.000;98.000;38.000;4823.664;1920.000;164.059;51.000;64.044;4299.998;10601.000;59.900;20.427;76.600
24-02-202314:31:20;61.000;98.000;38.000;4823.664;1920.000;164.066;50.000;63.542;4299.998;10686.000;59.900;18.611;76.500
24-02-202314:31:21;61.000;98.000;39.000;4823.664;1920.000;164.367;56.000;67.416;4299.998;10681.000;60.100;20.747;76.400
24-02-202314:31:31;59.000;98.000;26.000;4825.664;1927.000;163.384;51.000;73.033;4299.998;10642.000;54.900;23.422;82.900
24-02-202314:31:32;59.000;99.000;26.000;4825.664;1927.000;163.638;52.000;69.271;4299.998;10676.000;53.200;21.381;82.800
24-02-202314:31:33;60.000;99.000;25.000;4825.664;1927.000;163.514;50.000;69.010;4299.998;10674.000;53.200;22.921;82.600
24-02-202314:31:34;60.000;99.000;26.000;4827.664;1920.000;164.036;50.000;68.229;4299.999;10664.000;53.400;20.553;82.500
24-02-202314:31:35;60.000;98.000;26.000;4827.664;1920.000;164.343;51.000;69.271;4299.999;10744.000;52.900;21.083;82.400
24-02-202314:31:36;60.000;98.000;25.000;4827.664;1920.000;162.669;50.000;74.219;4299.999;10755.000;52.300;22.414;82.200
24-02-202314:31:37;60.000;98.000;25.000;4827.664;1920.000;163.724;54.000;75.781;4299.999;10747.000;52.000;22.621;82.100
24-02-202314:31:38;60.000;99.000;25.000;4827.664;1920.000;164.117;55.000;68.442;4299.997;10730.000;51.900;22.391;81.900
24-02-202314:31:39;60.000;98.000;26.000;4827.664;1920.000;164.268;50.000;63.802;4299.999;10809.000;52.900;22.959;81.800
24-02-202314:31:40;61.000;98.000;26.000;4827.664;1912.000;164.390;49.000;63.542;4299.999;10799.000;53.300;20.858;81.700
24-02-202314:31:41;61.000;98.000;27.000;4827.664;1912.000;165.138;50.000;63.802;4299.997;10781.000;54.900;20.823;81.600
24-02-202314:31:42;61.000;98.000;27.000;4827.664;1912.000;163.705;49.000;66.688;4299.997;10744.000;56.200;21.495;81.500
24-02-202314:31:43;61.000;98.000;27.000;4827.664;1920.000;163.867;53.000;71.008;4300.000;10811.000;57.000;20.026;81.300
24-02-202314:31:44;61.000;98.000;28.000;4829.664;1912.000;161.713;49.000;76.563;4299.997;10802.000;57.900;22.000;81.200
24-02-202314:31:45;61.000;98.000;28.000;4829.664;1920.000;162.869;54.000;75.000;4299.997;10777.000;58.300;22.034;81.100
24-02-202314:31:46;61.000;98.000;28.000;4829.664;1912.000;162.741;52.000;74.740;4299.999;10869.000;57.900;20.644;81.000
24-02-202314:31:47;61.000;98.000;28.000;4829.664;1912.000;163.092;50.000;75.260;4299.997;10862.000;57.900;20.101;80.900
24-02-202314:31:48;61.000;98.000;29.000;4829.664;1912.000;163.279;50.000;75.260;4299.997;10844.000;58.200;20.400;80.800
24-02-202314:31:49;61.000;98.000;29.000;4829.664;1912.000;162.448;52.000;70.833;4299.998;10833.000;58.800;19.952;80.800
24-02-202314:31:50;61.000;98.000;29.000;4829.664;1912.000;164.750;50.000;74.479;4299.998;10925.000;59.600;19.770;80.700
24-02-202314:31:51;61.000;98.000;29.000;4829.664;1912.000;164.162;52.000;64.583;4299.998;10916.000;59.300;19.830;80.600
24-02-202314:31:52;62.000;98.000;29.000;4829.664;1912.000;164.928;53.000;64.583;4299.998;10894.000;60.000;20.816;80.500
24-02-202314:31:53;61.000;98.000;29.000;4829.664;1920.000;163.395;55.000;64.323;4299.998;10884.000;59.800;21.596;80.400
24-02-202314:31:54;62.000;98.000;30.000;4829.664;1912.000;165.068;56.000;65.104;4299.998;10965.000;60.000;19.305;80.300
24-02-202314:32:17;55.000;95.000;31.000;4845.664;1935.000;148.830;54.000;87.685;4299.998;10734.000;46.900;56.778;94.500
24-02-202314:32:18;56.000;96.000;33.000;4845.664;1935.000;154.052;54.000;93.229;4299.998;10767.000;52.400;25.497;94.400
24-02-202314:32:19;57.000;98.000;33.000;4845.664;1935.000;156.683;52.000;91.540;4299.998;10776.000;53.600;23.280;94.200
24-02-202314:32:20;57.000;98.000;33.000;4845.664;1935.000;153.656;55.000;89.844;4299.998;10882.000;53.200;23.297;94.100
24-02-202314:32:21;57.000;97.000;32.000;4845.664;1927.000;154.075;53.000;88.802;4299.999;10910.000;52.700;22.847;93.900
24-02-202314:32:22;57.000;93.000;30.000;4845.664;1927.000;152.911;51.000;92.708;4299.999;10935.000;51.400;27.242;93.800
24-02-202314:32:23;57.000;92.000;31.000;4845.664;1927.000;154.804;53.000;91.927;4299.997;10942.000;50.700;24.507;93.600
24-02-202314:32:24;57.000;96.000;31.000;4845.664;1927.000;153.032;53.000;87.428;4299.997;11036.000;50.400;22.343;93.400
24-02-202314:32:25;57.000;96.000;31.000;4845.664;1927.000;146.698;52.000;96.034;4299.998;11033.000;46.900;29.379;93.300
24-02-202314:32:26;57.000;97.000;32.000;4845.664;1927.000;154.210;54.000;96.354;4299.998;11048.000;49.800;24.465;93.100
24-02-202314:32:27;57.000;94.000;30.000;4845.664;1927.000;150.243;53.000;97.135;4299.998;11054.000;47.100;31.113;92.900
24-02-202314:32:28;57.000;97.000;31.000;4845.664;1927.000;151.754;55.000;94.099;4299.999;11133.000;49.700;24.122;92.800
24-02-202314:32:29;57.000;92.000;31.000;4845.664;1927.000;153.772;54.000;92.448;4299.995;11122.000;49.900;23.402;92.600
24-02-202314:32:30;58.000;98.000;33.000;4845.664;1927.000;156.195;53.000;85.938;4299.995;11069.000;51.200;24.353;92.500
24-02-202314:32:31;58.000;98.000;32.000;4845.664;1927.000;155.352;53.000;90.482;4299.999;11168.000;51.100;22.267;92.300
24-02-202314:32:32;58.000;98.000;32.000;4845.664;1927.000;151.160;54.000;92.188;4299.998;11160.000;50.500;24.339;92.200
24-02-202314:32:33;58.000;93.000;31.000;4845.664;1927.000;153.009;54.000;94.531;4299.998;11139.000;47.700;25.235;92.000
24-02-202314:32:34;58.000;88.000;28.000;4845.664;1927.000;153.105;57.000;95.313;4299.998;11125.000;49.400;26.461;91.900
24-02-202314:32:35;58.000;97.000;31.000;4845.664;1927.000;152.954;55.000;91.927;4299.998;11220.000;50.800;26.526;91.700
24-02-202314:32:36;59.000;94.000;31.000;4845.664;1927.000;151.486;57.000;95.125;4299.998;11194.000;49.800;25.934;91.600
