Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202314:37:54;59.000;98.000;29.000;4772.781;1927.000;156.899;44.000;58.333;4299.994;10593.000;46.100;27.853;66.900
24-02-202314:37:55;60.000;98.000;33.000;4772.781;1927.000;162.788;52.000;59.635;4299.994;10725.000;45.600;30.954;66.800
24-02-202314:37:56;60.000;98.000;34.000;4772.781;1927.000;160.366;47.000;70.573;4300.000;10825.000;48.100;24.085;66.700
24-02-202314:37:57;61.000;98.000;34.000;4772.781;1927.000;162.403;47.000;57.552;4300.000;10933.000;48.000;23.680;66.600
24-02-202314:37:58;61.000;98.000;34.000;4772.781;1927.000;163.353;46.000;59.896;4299.997;11051.000;48.100;23.261;66.400
24-02-202314:37:59;62.000;98.000;35.000;4772.781;1927.000;164.808;51.000;53.646;4299.997;11169.000;48.200;23.567;66.300
24-02-202314:38:00;62.000;98.000;35.000;4772.781;1912.000;162.018;52.000;58.594;4299.999;11278.000;48.100;24.552;66.200
24-02-202314:38:01;62.000;98.000;35.000;4772.781;1912.000;163.283;52.000;53.906;4299.999;11301.000;47.900;23.864;66.100
24-02-202314:38:02;63.000;98.000;35.000;4772.781;1912.000;164.097;48.000;49.479;4299.998;11325.000;47.900;23.101;66.000
24-02-202314:38:03;63.000;98.000;34.000;4772.781;1912.000;163.873;52.000;55.208;4299.998;11333.000;47.400;23.346;65.900
24-02-202314:38:04;63.000;98.000;33.000;4772.781;1912.000;162.415;52.000;53.646;4299.998;11338.000;46.900;24.559;65.700
24-02-202314:38:05;63.000;98.000;33.000;4772.781;1912.000;161.207;50.000;51.823;4299.998;11406.000;45.700;24.350;65.600
24-02-202314:38:06;63.000;98.000;33.000;4772.781;1912.000;161.944;48.000;51.302;4299.998;11427.000;46.600;23.318;65.500
24-02-202314:38:07;63.000;98.000;33.000;4772.781;1912.000;163.548;48.000;52.604;4299.998;11424.000;46.900;23.236;65.400
24-02-202314:38:08;63.000;98.000;34.000;4772.781;1912.000;161.872;45.000;52.411;4299.998;11412.000;47.100;23.908;65.300
24-02-202314:38:09;63.000;98.000;34.000;4772.781;1912.000;164.504;51.000;56.383;4299.998;11521.000;47.300;33.798;65.200
24-02-202314:38:10;63.000;98.000;35.000;4772.781;1912.000;162.916;51.000;55.729;4299.998;11498.000;48.100;22.427;65.100
24-02-202314:38:11;63.000;98.000;35.000;4788.781;1912.000;163.847;46.000;52.083;4299.999;11473.000;47.900;23.242;65.000
24-02-202314:38:12;63.000;98.000;35.000;4788.781;1912.000;164.098;49.000;48.698;4299.999;11455.000;47.800;29.910;64.900
24-02-202314:38:13;63.000;98.000;34.000;4788.781;1912.000;161.181;50.000;55.208;4299.999;11567.000;47.900;24.264;64.800
