Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202314:37:55;60;98;33;4772.781;1927;162.788;52;59.635;4299.994;10725;45.6;30.954;66.8
24-02-202314:37:56;60;98;34;4772.781;1927;160.366;47;70.573;4300;10825;48.1;24.085;66.7
24-02-202314:37:57;61;98;34;4772.781;1927;162.403;47;57.552;4300;10933;48;23.68;66.6
24-02-202314:37:58;61;98;34;4772.781;1927;163.353;46;59.896;4299.997;11051;48.1;23.261;66.4
24-02-202314:37:59;62;98;35;4772.781;1927;164.808;51;53.646;4299.997;11169;48.2;23.567;66.3
24-02-202314:38:00;62;98;35;4772.781;1912;162.018;52;58.594;4299.999;11278;48.1;24.552;66.2
24-02-202314:38:01;62;98;35;4772.781;1912;163.283;52;53.906;4299.999;11301;47.9;23.864;66.1
24-02-202314:38:02;63;98;35;4772.781;1912;164.097;48;49.479;4299.998;11325;47.9;23.101;66
24-02-202314:38:03;63;98;34;4772.781;1912;163.873;52;55.208;4299.998;11333;47.4;23.346;65.9
24-02-202314:38:04;63;98;33;4772.781;1912;162.415;52;53.646;4299.998;11338;46.9;24.559;65.7
24-02-202314:38:05;63;98;33;4772.781;1912;161.207;50;51.823;4299.998;11406;45.7;24.35;65.6
24-02-202314:38:06;63;98;33;4772.781;1912;161.944;48;51.302;4299.998;11427;46.6;23.318;65.5
24-02-202314:38:07;63;98;33;4772.781;1912;163.548;48;52.604;4299.998;11424;46.9;23.236;65.4
24-02-202314:38:08;63;98;34;4772.781;1912;161.872;45;52.411;4299.998;11412;47.1;23.908;65.3
24-02-202314:38:09;63;98;34;4772.781;1912;164.504;51;56.383;4299.998;11521;47.3;33.798;65.2
24-02-202314:38:10;63;98;35;4772.781;1912;162.916;51;55.729;4299.998;11498;48.1;22.427;65.1
24-02-202314:38:11;63;98;35;4788.781;1912;163.847;46;52.083;4299.999;11473;47.9;23.242;65
24-02-202314:38:12;63;98;35;4788.781;1912;164.098;49;48.698;4299.999;11455;47.8;29.91;64.9
24-02-202314:38:13;63;98;34;4788.781;1912;161.181;50;55.208;4299.999;11567;47.9;24.264;64.8
24-02-202314:38:14;63;98;35;4792.781;1912;162.892;48;65.365;4299.998;11550;47.1;24.246;64.7
24-02-202314:38:15;63;98;34;4856.781;1912;160.803;47;61.719;4299.998;11528;47.4;23.998;64.6
24-02-202314:38:16;63;98;35;4856.781;1912;161.767;46;57.813;4299.998;11511;47.9;23.554;64.5
24-02-202314:38:25;60;98;34;4872.781;1927;164.811;50;63.802;4299.998;11310;52.9;57.735;71.4
24-02-202314:38:26;60;98;35;4872.781;1912;162.424;49;54.791;4299.998;11313;57.8;19.978;71.4
24-02-202314:38:27;61;98;35;4872.781;1920;162.89;47;58.333;4299.998;11310;57.5;19.832;71.3
24-02-202314:38:28;60;98;35;4872.781;1927;164.72;50;59.635;4299.997;11400;57;20.432;71.2
24-02-202314:38:29;61;98;35;4872.781;1927;161.584;50;58.333;4299.997;11386;56.3;19.64;71.1
24-02-202314:38:30;60;97;34;4872.781;1927;157.605;51;65.363;4299.998;11369;54.7;21.756;71
24-02-202314:38:31;61;98;35;4872.781;1927;159.952;50;66.952;4299.999;11357;55.2;22.207;71
24-02-202314:38:32;61;98;35;4872.781;1927;164.472;49;62.028;4299.999;11407;55.6;20.978;70.9
24-02-202314:38:33;61;98;35;4872.781;1927;163.974;48;55.729;4299.998;11384;55;19.928;70.8
24-02-202314:38:34;61;98;36;4872.781;1927;161.356;50;51.042;4299.999;11364;55.3;21.107;70.7
24-02-202314:38:35;61;98;38;4872.781;1927;161.993;53;55.848;4299.997;11420;54.7;20.517;70.6
24-02-202314:38:36;61;98;37;4872.781;1920;162.78;48;55.357;4299.997;11428;53.9;21.058;70.5
24-02-202314:38:37;61;97;37;4872.781;1927;166.833;52;55.99;4299.998;11416;55.7;19.908;70.5
24-02-202314:38:38;61;98;39;4872.781;1927;165.357;52;54.948;4299.999;11398;55.1;20.749;70.4
24-02-202314:38:39;61;98;38;4872.781;1912;165.466;50;50.296;4299.999;11491;54.6;20.221;70.3
