Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202314:47:00;59.000;98.000;30.000;4747.594;1920.000;157.365;51.000;59.206;4299.999;11202.000;51.400;21.277;78.600
24-02-202314:47:01;60.000;98.000;30.000;4747.594;1920.000;157.430;48.000;59.285;4299.999;11313.000;51.100;21.129;78.600
24-02-202314:47:02;60.000;98.000;30.000;4747.594;1920.000;158.784;49.000;57.292;4299.998;11413.000;51.100;21.728;78.500
24-02-202314:47:03;60.000;98.000;31.000;4747.594;1920.000;157.123;53.000;60.156;4299.998;11488.000;50.600;22.246;78.500
24-02-202314:47:04;61.000;97.000;31.000;4747.594;1920.000;158.011;51.000;69.271;4299.998;11528.000;49.700;22.270;78.400
24-02-202314:47:05;61.000;98.000;31.000;4747.594;1920.000;157.142;51.000;67.448;4299.998;11627.000;49.800;23.673;78.400
24-02-202314:47:06;62.000;98.000;31.000;4747.594;1920.000;155.556;53.000;66.667;4299.998;11693.000;49.600;24.530;78.400
24-02-202314:47:07;62.000;98.000;31.000;4747.594;1920.000;158.084;51.000;68.955;4299.998;11742.000;49.900;23.562;78.300
24-02-202314:47:08;62.000;98.000;32.000;4747.594;1920.000;158.028;51.000;59.896;4299.999;11768.000;50.100;22.839;78.300
24-02-202314:47:09;62.000;98.000;31.000;4747.594;1920.000;158.304;54.000;58.492;4299.999;11874.000;50.200;23.735;78.200
24-02-202314:47:10;63.000;98.000;32.000;4747.594;1920.000;163.026;50.000;59.975;4299.999;11884.000;50.700;21.792;78.200
24-02-202314:47:11;63.000;98.000;32.000;4747.594;1920.000;160.134;49.000;55.469;4299.998;11887.000;50.900;24.837;78.200
24-02-202314:47:12;63.000;97.000;31.000;4747.594;1920.00S0;153.774;55.000;65.885;4299.998;11894.000;49.400;24.029;78.100
24-02-202314:47:13;63.000;98.000;32.000;4747.594;1920.000;159.961;51.000;70.052;4299.998;11996.000;50.700;24.008;78.100
24-02-202314:47:14;63.000;98.000;32.000;4747.594;1920.000;160.906;52.000;70.833;4299.999;11987.000;51.600;22.203;78.000
24-02-202314:47:15;63.000;98.000;32.000;4747.594;1920.000;161.319;53.000;68.750;4299.999;11982.000;51.900;22.622;78.000
24-02-202314:47:16;64.000;98.000;33.000;4747.594;1920.000;161.501;51.000;61.719;4299.998;12055.000;52.300;30.038;78.000
24-02-202314:47:17;63.000;98.000;33.000;4747.594;1920.000;159.258;55.000;59.896;4299.998;12078.000;52.300;20.876;77.900
24-02-202314:47:18;63.000;98.000;33.000;4747.594;1920.000;162.538;51.000;54.948;4299.999;12051.000;52.400;21.115;77.900
24-02-202314:47:19;64.000;98.000;33.000;4747.594;1920.000;161.488;50.000;57.552;4299.997;12041.000;52.100;36.414;77.900
24-02-202314:47:20;63.000;98.000;32.000;4747.594;1920.000;159.912;49.000;57.552;4299.997;12134.000;52.800;20.766;77.800
24-02-202314:47:21;63.000;98.000;34.000;4747.594;1920.000;162.577;53.000;57.813;4299.999;12124.000;52.200;21.270;77.800
24-02-202314:47:22;63.000;97.000;33.000;4747.594;1920.000;158.338;54.000;69.332;4299.995;12119.000;51.000;23.191;77.800
24-02-202314:47:23;63.000;98.000;33.000;4747.594;1920.000;161.248;51.000;71.615;4299.999;12077.000;53.100;22.585;77.700
24-02-202314:47:34;59.000;97.000;32.000;4763.594;1920.000;160.191;50.000;95.770;4299.998;11825.000;63.100;18.476;79.800
24-02-202314:47:35;60.000;97.000;31.000;4763.594;1920.000;156.926;51.000;61.771;4299.998;11909.000;63.500;18.454;79.800
24-02-202314:47:36;60.000;97.000;32.000;4763.594;1920.000;156.875;54.000;79.378;4299.998;11909.000;61.700;19.236;79.800
24-02-202314:47:37;60.000;97.000;33.000;4763.594;1920.000;156.828;53.000;71.354;4299.998;11892.000;62.000;19.667;79.800
24-02-202314:47:38;60.000;97.000;32.000;4763.594;1920.000;155.827;53.000;66.927;4299.999;11891.000;61.600;20.340;79.700
24-02-202314:47:39;60.000;97.000;33.000;4763.594;1920.000;156.297;52.000;78.906;4299.998;11935.000;60.900;19.057;79.700
24-02-202314:47:40;60.000;97.000;33.000;4763.594;1920.000;157.935;52.000;79.218;4299.999;11926.000;61.500;19.171;79.700
24-02-202314:47:41;60.000;97.000;32.000;4763.594;1920.000;155.518;52.000;77.344;4299.997;11905.000;60.300;20.380;79.700
24-02-202314:47:42;61.000;97.000;33.000;4763.594;1920.000;157.108;53.000;74.740;4299.997;11892.000;60.500;20.597;79.600
24-02-202314:47:43;61.000;97.000;35.000;4747.594;1920.000;158.902;53.000;74.740;4299.999;11962.000;60.800;21.043;79.600
24-02-202314:47:44;60.000;97.000;35.000;4747.594;1920.000;159.134;52.000;69.792;4299.999;11947.000;59.700;19.365;79.600
24-02-202314:47:45;61.000;97.000;34.000;4747.594;1920.000;157.284;54.000;75.000;4299.997;11941.000;60.200;19.731;79.600
24-02-202314:47:46;61.000;97.000;35.000;4747.594;1920.000;158.364;52.000;74.091;4299.997;12000.000;61.000;20.763;79.500
24-02-202314:47:47;61.000;97.000;36.000;4747.594;1920.000;158.361;53.000;69.271;4299.999;12013.000;59.800;19.691;79.500
24-02-202314:47:48;61.000;97.000;36.000;4747.594;1920.000;158.630;52.000;68.955;4299.999;12002.000;59.800;19.491;79.500
24-02-202314:47:49;61.000;97.000;36.000;4747.594;1920.000;158.402;53.000;69.010;4299.998;11966.000;60.100;18.956;79.500
24-02-202314:47:50;61.000;97.000;35.000;4747.594;1920.000;157.642;52.000;72.504;4299.998;12057.000;59.800;19.535;79.400
24-02-202314:47:51;61.000;97.000;35.000;4747.594;1920.000;158.582;52.000;70.495;4299.999;12025.000;60.000;19.060;79.400
24-02-202314:47:52;61.000;97.000;35.000;4747.594;1920.000;158.944;52.000;75.260;4299.998;11987.000;60.200;21.067;79.400
24-02-202314:47:53;62.000;98.000;36.000;4747.594;1920.000;162.324;50.000;60.078;4299.998;11956.000;60.500;19.506;79.400
24-02-202314:47:54;61.000;97.000;35.000;4747.594;1920.000;157.219;52.000;70.052;4299.997;12043.000;61.100;21.006;79.300
24-02-202314:47:55;62.000;97.000;37.000;4747.594;1920.000;162.756;55.000;66.903;4299.997;12016.000;60.900;19.726;79.300
