Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
1;24-02-202316:04:33;62;99;27;6002.039;1920;139.305;53;68.75;4300.001;11378;64.7;19.566;48.9;Base
2;24-02-202316:04:34;62;99;27;6002.039;1920;138.493;51;50.781;4300.001;11449;65;16.478;48.9;Base
3;24-02-202316:04:35;62;99;27;6002.039;1920;137.325;50;55.469;4300.001;11508;65.4;16.854;49;Base
4;24-02-202316:04:36;62;99;25;6003.789;1920;134.402;50;61.719;4300.001;11572;65.8;18.822;49;Base
5;24-02-202316:04:37;62;99;27;6003.789;1920;137.927;51;70.833;4300.001;11589;66.1;17.935;49.1;Base
6;24-02-202316:04:38;63;99;28;6003.789;1920;139.188;53;63.802;4300.002;11636;68.8;18.211;49.2;Base
7;24-02-202316:04:39;63;99;27;6003.789;1920;133.849;55;71.615;4300.001;11662;67.2;19.872;49.2;Base
8;24-02-202316:04:40;62;99;25;6003.789;1920;129.566;51;66.927;4300.001;11763;51.3;21.906;49.2;Base
9;24-02-202316:04:41;62;99;25;6003.789;1920;126.904;50;72.656;4300.001;11838;54.7;22.102;49.2;Base
10;24-02-202316:04:42;62;99;25;6003.789;1920;125.998;53;74.479;4300.001;11900;58.2;18.871;49.3;Base
11;24-02-202316:04:43;62;99;25;6003.992;1920;127.707;52;73.698;4299.954;12022;54.5;29.057;49.3;Base
12;24-02-202316:04:44;62;99;25;6003.992;1920;128.42;50;74.219;4299.954;12063;54.4;21.019;49.3;Base
13;24-02-202316:04:45;61;100;25;5997.297;1920;127.765;52;78.385;4300.051;12084;56.2;21.083;49.3;Base
14;24-02-202316:04:46;61;99;24;6002.266;1920;123.268;56;82.292;4300.051;12104;55.5;20.239;49.3;Base
15;24-02-202316:04:47;61;99;24;6016.859;1920;128.707;57;97.396;4300.001;12215;50.1;24.423;49.3;Base
16;24-02-202316:04:48;61;99;24;6016.859;1920;126.666;53;80.501;4300.001;12217;50.9;24.05;49.3;Base
17;24-02-202316:04:49;61;99;25;6007.148;1920;126.305;54;78.321;4300.001;12209;51.5;23.11;49.3;Base
18;24-02-202316:04:50;61;99;24;6000.438;1920;125.983;53;76.042;4300.001;12214;52.4;21.543;49.3;Base
19;24-02-202316:04:51;60;99;24;6009.227;1920;124.869;55;94.792;4300.001;12331;51.7;22.344;49.4;Base
