Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202316:09:53;60.000;99.000;29.000;6102.500;1920.000;134.535;48.000;64.337;4300.002;11191.000;72.800;17.461;45.900
24-02-202316:09:54;60.000;99.000;29.000;6103.125;1920.000;133.897;53.000;61.458;4300.001;11351.000;73.800;16.514;46.100
24-02-202316:09:55;60.000;99.000;29.000;6103.125;1920.000;133.755;54.000;61.458;4300.001;11423.000;73.500;17.088;46.200
24-02-202316:09:56;60.000;99.000;28.000;6103.125;1920.000;133.207;54.000;71.711;4300.002;11468.000;73.000;14.678;46.400
24-02-202316:09:57;60.000;98.000;27.000;6105.000;1920.000;130.282;53.000;69.982;4300.000;11501.000;69.800;17.780;46.500
24-02-202316:09:58;61.000;99.000;28.000;6105.000;1920.000;130.305;53.000;83.608;4300.000;11570.000;70.700;15.299;46.600
24-02-202316:09:59;61.000;99.000;28.000;6105.000;1920.000;133.256;54.000;78.906;4300.001;11614.000;75.000;16.123;46.700
24-02-202316:10:00;61.000;99.000;26.000;6105.000;1920.000;125.329;53.000;83.854;4300.001;11624.000;70.600;18.580;46.800
24-02-202316:10:01;61.000;99.000;25.000;6105.000;1920.000;122.903;56.000;72.489;4300.002;11676.000;56.100;19.162;46.900
24-02-202316:10:02;61.000;98.000;26.000;6105.000;1920.000;121.242;52.000;72.295;4300.001;11783.000;60.200;19.262;47.000
24-02-202316:10:03;61.000;99.000;26.000;6105.078;1920.000;121.582;53.000;89.844;4300.001;11839.000;62.700;17.009;47.000
24-02-202316:10:04;61.000;99.000;26.000;6105.078;1920.000;122.528;53.000;82.292;4300.000;11880.000;59.500;18.152;47.100
24-02-202316:10:05;61.000;99.000;25.000;6105.078;1920.000;121.531;54.000;78.646;4300.005;11911.000;59.700;19.215;47.200
24-02-202316:10:06;62.000;99.000;26.000;6098.383;1920.000;121.748;53.000;87.500;4300.005;11999.000;60.000;19.716;47.200
24-02-202316:10:07;62.000;98.000;24.000;6108.578;1920.000;123.346;56.000;86.198;4300.000;12026.000;58.200;21.453;47.300
24-02-202316:10:08;62.000;98.000;25.000;6113.313;1920.000;123.944;56.000;100.000;4300.000;12016.000;52.800;22.409;47.300
24-02-202316:10:09;62.000;99.000;25.000;6117.945;1920.000;124.002;53.000;84.307;4300.000;12007.000;54.600;24.456;47.300
24-02-202316:10:10;63.000;99.000;26.000;6108.234;1920.000;123.215;53.000;83.652;4300.002;12094.000;56.400;19.629;47.400
24-02-202316:10:11;63.000;99.000;25.000;6101.523;1920.000;122.890;52.000;81.771;4300.001;12099.000;57.100;20.218;47.400
24-02-202316:10:12;62.000;96.000;23.000;6112.250;1920.000;118.471;55.000;97.947;4300.001;12119.000;54.300;24.213;47.500
24-02-202316:10:13;62.000;99.000;25.000;6112.250;1920.000;124.977;52.000;83.896;4300.001;12129.000;56.600;25.213;47.500
24-02-202316:10:14;62.000;99.000;25.000;6116.621;1920.000;122.549;52.000;86.979;4300.001;12198.000;59.000;20.990;47.600
24-02-202316:10:15;62.000;99.000;25.000;6110.504;1920.000;123.255;55.000;81.510;4300.000;12183.000;58.800;21.064;47.600
24-02-202316:10:16;62.000;99.000;26.000;6106.410;1920.000;122.664;54.000;89.323;4300.000;12167.000;58.900;20.396;47.700
24-02-202316:10:17;62.000;99.000;25.000;6113.324;1920.000;122.460;53.000;86.198;4300.002;12260.000;59.100;18.209;47.700
24-02-202316:10:18;61.000;98.000;25.000;6143.809;1920.000;121.173;57.000;89.583;4300.001;12267.000;60.100;20.113;47.800
24-02-202316:10:19;61.000;99.000;25.000;6144.246;1920.000;122.767;53.000;95.833;4300.002;12248.000;59.400;22.231;47.800
24-02-202316:10:20;61.000;99.000;26.000;6139.059;1920.000;122.849;54.000;80.208;4300.002;12233.000;59.700;18.841;47.900
24-02-202316:10:21;61.000;99.000;26.000;6141.992;1920.000;123.288;55.000;85.938;4300.001;12334.000;59.600;18.198;47.900
