Datetime; GPU temperature     ;GPU usage           ;FB usage            ;Memory usage        ;Core clock          ;Power               ;CPU temperature     ;CPU usage           ;CPU clock           ;RAM usage           ;Framerate           ;Frametime           ;Framerate Avg       
 24-02-2023 16:16:43;61;99;29;6161.926;1920;136.852;49;49.74;4300.002;11227;71.7;17.071;40.6
 24-02-2023 16:16:44;61;99;29;6161.926;1920;135.922;51;72.135;4300.001;11414;71.4;17.424;40.8
 24-02-2023 16:16:45;61;99;29;6161.926;1920;134.204;52;66.146;4300.001;11499;70.2;17.998;41
 24-02-2023 16:16:46;61;99;29;6161.926;1920;132.731;53;71.094;4300.001;11537;71.7;17.287;41.2
 24-02-2023 16:16:47;62;99;27;6163.676;1920;130.971;52;65.625;4300.001;11584;68.2;17.866;41.4
 24-02-2023 16:16:48;62;99;29;6163.676;1920;135.536;51;69.531;4300.001;11621;70.9;15.764;41.6
 24-02-2023 16:16:49;62;99;27;6163.676;1920;135.438;49;68.75;4300.001;11647;74.9;14.558;41.9
 24-02-2023 16:16:50;62;99;26;6163.676;1920;126.569;52;72.917;4300.001;11666;58.3;20.528;42
 24-02-2023 16:16:51;62;99;26;6163.676;1920;125.676;54;72.746;4300.001;11757;55.8;19.608;42.1
 24-02-2023 16:16:52;62;99;26;6163.676;1920;122.661;53;80.74;4300.002;11819;60.7;17.731;42.2
 24-02-2023 16:16:53;62;99;26;6163.754;1920;121.903;53;81.51;4300.002;11870;59.4;17.869;42.3
 24-02-2023 16:16:54;62;99;26;6163.754;1920;125.161;51;84.375;4300;11905;57.4;18.707;42.4
 24-02-2023 16:16:55;62;100;26;6163.754;1920;125.165;51;80.208;4300;12001;59.3;18.39;42.5
 24-02-2023 16:16:56;62;99;25;6158.809;1920;124.621;53;83.333;4300.001;12012;59.3;18.931;42.6
 24-02-2023 16:16:57;62;97;25;6167.32;1920;127.478;55;97.917;4296.149;12030;52.7;23.981;42.7
 24-02-2023 16:16:58;61;100;25;6176.621;1920;123.088;56;91.927;4296.149;12118;52.9;24.442;42.8
 24-02-2023 16:16:59;62;99;25;6176.621;1920;125.731;54;79.167;4302.042;12115;53.6;21.34;42.8
 24-02-2023 16:17:00;61;99;25;6166.91;1920;121.386;54;86.658;4300.065;12119;55.4;21.674;42.9
 24-02-2023 16:17:01;61;98;24;6173.539;1920;117.579;54;91.146;4300.001;12099;54.7;22.904;43
 24-02-2023 16:17:02;61;99;25;6170.926;1920;124.531;53;93.39;4299.999;12204;54.5;26.225;43.1
 24-02-2023 16:17:03;61;100;25;6172.484;1920;123.676;54;84.635;4299.999;12194;56.2;19.002;43.2
 24-02-2023 16:17:04;61;99;25;6169.18;1920;123.07;54;84.564;4300.002;12188;58.2;18.446;43.2
 24-02-2023 16:17:05;60;99;25;6169.18;1920;121.159;52;81.541;4300.003;12168;56.4;21.844;43.3
 24-02-2023 16:17:06;60;99;25;6163.527;1920;123.152;57;88.021;4300.003;12266;57.4;18.871;43.4
 24-02-2023 16:17:07;60;99;26;6170.672;1920;123.315;54;83.854;4300.001;12265;58.8;21.05;43.5
 24-02-2023 16:17:08;60;96;25;6165.047;1920;121.468;54;99.479;4300.001;12248;57.6;23.901;43.6
 24-02-2023 16:17:09;60;99;26;6165.734;1920;124.087;53;84.375;4300.001;12269;58.5;20.441;43.7
 24-02-2023 16:17:10;60;100;26;6165.734;1920;124.894;54;84.115;4300.001;12298;57.9;21.242;43.8
 24-02-2023 16:17:11;60;96;24;6167.551;1920;120.367;54;90.885;4300.001;12297;57.2;20.902;43.9
