02;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Memoryclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateMin;FramerateAvg;FramerateMax;Framerate1%Low;Fanspeed2;Fantachometer2
80;24-02-202316:33:16;57.000;99.000;28.000;6053.020;1927.000;7500.999;134.387;54.000;75.781;4300.002;11191.000;76.300;16.424;0.000;40.200;451.200;0.000;0.000;0.000
80;24-02-202316:33:17;58.000;99.000;28.000;6053.020;1927.000;7500.999;132.354;54.000;69.271;4300.002;11304.000;75.400;17.390;0.000;40.400;451.200;0.000;0.000;0.000
80;24-02-202316:33:18;58.000;99.000;29.000;6053.020;1927.000;7500.999;130.547;53.000;72.396;4300.001;11372.000;77.700;16.418;0.000;40.700;451.200;0.000;0.000;0.000
80;24-02-202316:33:19;58.000;99.000;28.000;6053.020;1927.000;7500.999;132.168;52.000;67.448;4300.001;11417.000;76.800;15.775;0.000;41.000;451.200;0.000;0.000;0.000
80;24-02-202316:33:20;58.000;99.000;24.000;6053.082;1927.000;7500.999;120.705;55.000;77.344;4300.001;11439.000;74.600;17.083;0.000;41.200;451.200;0.000;0.000;0.000
80;24-02-202316:33:21;59.000;99.000;26.000;6053.082;1927.000;7500.999;130.894;55.000;73.761;4300.000;11479.000;75.000;15.484;0.000;41.500;451.200;0.000;0.000;0.000
80;24-02-202316:33:22;59.000;99.000;28.000;6054.770;1927.000;7500.999;133.046;55.000;75.724;4300.002;11484.000;77.100;16.764;0.000;41.700;451.200;0.000;0.000;0.000
80;24-02-202316:33:23;59.000;99.000;27.000;6054.770;1927.000;7500.999;130.569;55.000;73.177;4300.002;11502.000;78.500;18.082;0.000;42.000;451.200;0.000;0.000;0.000
80;24-02-202316:33:24;59.000;99.000;25.000;6054.770;1927.000;7500.999;123.469;54.000;76.563;4300.001;11542.000;59.400;19.540;0.000;42.100;451.200;0.000;0.000;0.000
80;24-02-202316:33:25;59.000;99.000;25.000;6054.770;1927.000;7500.999;118.959;57.000;72.656;4300.001;11617.000;61.400;18.271;0.000;42.200;451.200;0.000;0.000;0.000
80;24-02-202316:33:26;59.000;99.000;25.000;6054.770;1927.000;7500.999;118.911;56.000;78.125;4300.002;11658.000;65.300;19.376;0.000;42.400;451.200;0.000;0.000;0.000
80;24-02-202316:33:27;59.000;99.000;25.000;6054.848;1927.000;7500.999;118.814;53.000;85.417;4300.001;11695.000;61.900;18.609;0.000;42.500;451.200;0.000;0.000;0.000
80;24-02-202316:33:28;60.000;99.000;24.000;6054.848;1920.000;7500.999;119.206;55.000;84.635;4299.998;11746.000;61.100;18.573;0.000;42.700;451.200;0.000;0.000;0.000
