02, Datetime, GPU temperature     ,GPU usage           ,FB usage            ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Fan speed 2         ,Fan tachometer 2
80, 24-02-2023 10:24:09, 56.000              ,88.000              ,33.000              ,5348.090            ,1927.000            ,7500.999            ,155.370             ,49.000              ,24.710              ,4299.999            ,7056.000            ,60.700              ,981.807             ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1218.000            
80, 24-02-2023 10:24:10, 57.000              ,87.000              ,33.000              ,5348.090            ,1927.000            ,7500.999            ,155.291             ,50.000              ,30.277              ,4299.999            ,7057.000            ,60.100              ,18.012              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1216.000            
80, 24-02-2023 10:24:11, 57.000              ,87.000              ,33.000              ,5348.090            ,1920.000            ,7500.999            ,156.137             ,46.000              ,17.969              ,4299.999            ,7053.000            ,60.200              ,18.597              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1210.000            
80, 24-02-2023 10:24:12, 57.000              ,85.000              ,33.000              ,5348.090            ,1927.000            ,7500.999            ,153.992             ,45.000              ,19.792              ,4299.999            ,7058.000            ,60.100              ,18.030              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1208.000            
80, 24-02-2023 10:24:13, 58.000              ,87.000              ,33.000              ,5348.090            ,1927.000            ,7500.999            ,153.212             ,45.000              ,17.969              ,4299.999            ,7055.000            ,60.100              ,18.454              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1207.000            
80, 24-02-2023 10:24:14, 58.000              ,86.000              ,34.000              ,5348.027            ,1927.000            ,7500.999            ,155.540             ,51.000              ,25.207              ,4299.999            ,7053.000            ,60.100              ,20.731              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1207.000            
80, 24-02-2023 10:24:15, 58.000              ,88.000              ,33.000              ,5346.340            ,1927.000            ,7500.999            ,156.892             ,45.000              ,17.010              ,4299.999            ,7054.000            ,60.200              ,18.026              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1206.000            
80, 24-02-2023 10:24:16, 58.000              ,88.000              ,33.000              ,5346.340            ,1927.000            ,7500.999            ,154.342             ,45.000              ,14.844              ,4299.999            ,7022.000            ,60.100              ,17.699              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1203.000            
80, 24-02-2023 10:24:17, 58.000              ,85.000              ,33.000              ,5346.652            ,1927.000            ,7500.999            ,155.993             ,45.000              ,17.188              ,4299.999            ,7023.000            ,60.100              ,17.648              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1203.000            
80, 24-02-2023 10:24:18, 58.000              ,88.000              ,33.000              ,5346.652            ,1927.000            ,7500.999            ,155.822             ,45.000              ,18.492              ,4299.999            ,7023.000            ,60.100              ,17.880              ,0.100               ,43.000              ,2673.700            ,0.200               ,30.000              ,1202.000            
