02, Datetime, GPU temperature     ,GPU usage           ,FB usage            ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Fan speed 2         ,Fan tachometer 2
80, 24-02-2023 10:13:34, 63.000              ,99.000              ,35.000              ,4037.941            ,1897.000            ,7500.999            ,165.149             ,53.000              ,25.367              ,4299.999            ,7084.000            ,34.500              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1613.000            
80, 24-02-2023 10:13:35, 63.000              ,99.000              ,34.000              ,4038.316            ,1897.000            ,7500.999            ,162.777             ,47.000              ,35.073              ,4299.999            ,7082.000            ,34.100              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1609.000            
80, 24-02-2023 10:13:36, 63.000              ,99.000              ,35.000              ,4036.629            ,1912.000            ,7500.999            ,165.848             ,46.000              ,20.869              ,4299.999            ,7081.000            ,34.300              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1609.000            
80, 24-02-2023 10:13:37, 64.000              ,99.000              ,35.000              ,4036.629            ,1897.000            ,7500.999            ,166.410             ,46.000              ,20.573              ,4299.999            ,7075.000            ,34.600              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1619.000            
80, 24-02-2023 10:13:38, 63.000              ,99.000              ,35.000              ,4036.629            ,1897.000            ,7500.999            ,166.531             ,49.000              ,22.396              ,4299.999            ,7104.000            ,34.600              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1618.000            
80, 24-02-2023 10:13:39, 63.000              ,99.000              ,35.000              ,4036.629            ,1897.000            ,7500.999            ,165.418             ,50.000              ,20.030              ,4299.999            ,7108.000            ,34.900              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1613.000            
80, 24-02-2023 10:13:40, 63.000              ,99.000              ,35.000              ,4036.629            ,1905.000            ,7500.999            ,167.298             ,50.000              ,19.811              ,4299.999            ,7102.000            ,34.900              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1617.000            
80, 24-02-2023 10:13:41, 63.000              ,99.000              ,35.000              ,4036.629            ,1912.000            ,7500.999            ,166.919             ,47.000              ,19.531              ,4299.999            ,7107.000            ,34.900              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1622.000            
80, 24-02-2023 10:13:42, 63.000              ,99.000              ,35.000              ,4036.754            ,1905.000            ,7500.999            ,165.594             ,46.000              ,20.833              ,4299.999            ,7104.000            ,34.800              ,0.000               ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1612.000            
80, 24-02-2023 10:13:43, 63.000              ,99.000              ,36.000              ,4020.566            ,1890.000            ,7500.999            ,166.926             ,47.000              ,24.643              ,4300.000            ,7106.000            ,33.900              ,90.764              ,0.100               ,42.700              ,2673.700            ,0.200               ,43.000              ,1618.000            
