02;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Memoryclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateMin;FramerateAvg;FramerateMax;Framerate1%Low;Fanspeed2;Fantachometer2
80;24-02-202310:30:55;56.000;55.000;12.000;4622.277;1927.000;7500.999;120.844;48.000;12.102;4299.999;5933.000;60.200;18.903;0.100;43.400;2673.700;0.200;33.000;1323.000
80;24-02-202310:30:56;56.000;54.000;11.000;4622.277;1927.000;7500.999;121.030;44.000;14.334;4299.999;5930.000;60.100;17.052;0.100;43.400;2673.700;0.200;33.000;1328.000
80;24-02-202310:30:57;56.000;55.000;12.000;4622.277;1927.000;7500.999;120.633;44.000;6.843;4299.999;5935.000;60.100;18.260;0.100;43.400;2673.700;0.200;33.000;1323.000
80;24-02-202310:30:58;56.000;59.000;12.000;4620.965;1927.000;7500.999;122.713;44.000;19.271;4299.999;5935.000;60.200;17.771;0.100;43.400;2673.700;0.200;33.000;1327.000
80;24-02-202310:30:59;56.000;61.000;12.000;4620.965;1927.000;7500.999;122.909;45.000;8.333;4299.999;5935.000;60.100;17.850;0.100;43.400;2673.700;0.200;33.000;1315.000
80;24-02-202310:31:00;57.000;59.000;12.000;4622.277;1927.000;7500.999;121.137;47.000;15.365;4299.999;5934.000;60.100;17.948;0.100;43.400;2673.700;0.200;33.000;1302.000
80;24-02-202310:31:01;56.000;58.000;12.000;4618.715;1927.000;7500.999;121.401;44.000;14.583;4299.999;5935.000;60.200;17.526;0.100;43.400;2673.700;0.200;33.000;1298.000
80;24-02-202310:31:02;57.000;58.000;12.000;4619.402;1927.000;7500.999;122.521;45.000;11.315;4299.999;5933.000;60.100;18.675;0.100;43.400;2673.700;0.200;33.000;1293.000
80;24-02-202310:31:03;56.000;63.000;13.000;4603.590;1927.000;7500.999;123.547;45.000;16.635;4299.999;5939.000;58.400;33.406;0.100;43.400;2673.700;0.200;33.000;1286.000
80;24-02-202310:31:04;56.000;60.000;13.000;4603.590;1927.000;7500.999;122.629;45.000;7.813;4299.999;5937.000;60.100;18.418;0.100;43.400;2673.700;0.200;33.000;1286.000
