Second;Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg;Dataset
1;24-02-202313:16:13;61;99;40;5609.199;1905;163.638;50;45.723;4299.999;12255;33.4;32.166;75.8;Bazowy
2;24-02-202313:16:14;62;99;40;5609.199;1920;161.419;45;49.239;4299.999;12367;32.9;32.402;75.7;Bazowy
3;24-02-202313:16:15;62;99;41;5609.199;1912;166.093;47;47.917;4299.999;12429;33.2;33.244;75.7;Bazowy
4;24-02-202313:16:16;62;99;40;5609.199;1890;165.476;43;48.438;4299.999;12470;33.5;32.152;75.6;Bazowy
5;24-02-202313:16:17;63;99;40;5609.199;1912;165.383;52;50.521;4299.999;12601;33.3;33.723;75.5;Bazowy
6;24-02-202313:16:18;63;98;40;5609.199;1920;165.423;49;61.198;4299.999;12669;33.3;32.826;75.5;Bazowy
7;24-02-202313:16:19;63;99;40;5609.199;1912;166.778;52;62.24;4299.998;12707;34;31.907;75.4;Bazowy
8;24-02-202313:16:20;63;99;39;5609.199;1897;167.375;53;61.198;4299.998;12755;34;31.866;75.4;Bazowy
9;24-02-202313:16:21;63;99;39;5609.199;1905;163.776;49;60.156;4300;12844;33.3;32.743;75.3;Bazowy
10;24-02-202313:16:22;64;99;38;5609.199;1897;161.943;47;63.802;4299.999;12859;32.8;33.618;75.3;Bazowy
11;24-02-202313:16:23;63;99;38;5609.199;1897;164.109;50;60.938;4299.999;12874;32.7;34.887;75.2;Bazowy
12;24-02-202313:16:24;63;99;38;5609.199;1890;161.961;50;44.271;4299.999;12980;32.7;33.816;75.2;Bazowy
13;24-02-202313:16:25;63;98;37;5609.199;1905;163.123;47;41.146;4299.999;12981;32.7;34.193;75.1;Bazowy
14;24-02-202313:16:26;63;98;37;5609.199;1905;162.408;50;61.198;4299.999;12985;32.4;54.495;75.1;Bazowy
15;24-02-202313:16:27;63;99;37;5609.199;1897;162.866;50;59.635;4299.999;12967;32.4;33.151;75;Bazowy
16;24-02-202313:16:29;64;99;38;5609.199;1875;160.939;46;52.083;4299.999;13077;32;34.683;74.9;Bazowy
17;24-02-202313:16:30;63;99;38;5609.199;1897;165.331;50;50;4299.999;13059;32.4;33.638;74.8;Bazowy
18;24-02-202313:16:31;63;99;37;5609.199;1890;157.582;45;44.531;4299.999;13025;32.4;33.264;74.8;Bazowy
19;24-02-202313:16:32;63;99;38;5609.199;1897;165.577;45;52.604;4299.999;13145;32.7;33.518;74.7;Bazowy
20;24-02-202313:16:33;63;98;38;5609.199;1867;157.596;49;62.5;4299.999;13121;32.2;33.889;74.7;Bazowy
21;24-02-202313:16:34;63;99;38;5609.199;1905;164.837;49;61.979;4300;13102;32.5;33.525;74.6;Bazowy
22;24-02-202313:16:35;63;99;37;5609.199;1912;160.995;49;59.115;4299.997;13197;32.2;34.398;74.6;Bazowy
23;24-02-202313:16:42;60;98;43;5641.199;1912;162.674;54;53.906;4300;12814;35.6;56.743;75.8;Bazowy
24;24-02-202313:16:43;60;98;45;5641.199;1912;164.902;53;69.271;4300;12914;42.9;27.332;75.7;Bazowy
25;24-02-202313:16:44;61;98;45;5641.199;1905;164.025;50;60.417;4299.999;12894;43;25.6;75.7;Bazowy
26;24-02-202313:16:45;61;98;45;5641.199;1920;164.051;50;54.948;4300;12891;42.7;26.209;75.7;Bazowy
27;24-02-202313:16:46;61;98;45;5641.199;1912;163.202;51;61.458;4300;12882;41.1;27.349;75.6;Bazowy
28;24-02-202313:16:47;61;98;45;5641.199;1912;163.142;52;67.969;4299.999;12961;42.1;28.697;75.6;Bazowy
29;24-02-202313:16:48;61;98;46;5641.199;1897;165.545;51;67.448;4299.999;12940;42.1;26.942;75.5;Bazowy
30;24-02-202313:16:49;61;98;45;5641.199;1905;162.409;47;61.979;4299.999;12924;42.1;27.061;75.5;Bazowy
31;24-02-202313:16:50;61;98;46;5641.199;1912;167.269;51;52.791;4299.999;12980;41.5;28.121;75.4;Bazowy
32;24-02-202313:16:51;62;98;46;5641.199;1920;165.737;52;60.677;4299.999;13047;42;27.699;75.4;Bazowy
33;24-02-202313:16:52;61;98;47;5641.199;1890;165.738;52;51.618;4299.999;13019;42.2;28.355;75.4;Bazowy
34;24-02-202313:16:53;61;98;47;5641.199;1905;163.489;50;51.823;4299.999;12995;41.3;27.307;75.3;Bazowy
35;24-02-202313:16:54;62;98;46;5641.199;1912;166.078;47;52.083;4299.999;13082;42;27.052;75.3;Bazowy
36;24-02-202313:16:55;62;98;47;5641.199;1905;165.344;48;44.581;4299.999;13060;42.7;25.708;75.2;Bazowy
37;24-02-202313:16:56;62;98;48;5641.199;1882;165.313;48;53.646;4299.999;13020;41;26.913;75.2;Bazowy
38;24-02-202313:16:57;62;98;48;5641.199;1905;168.781;49;51.354;4299.999;12995;41.1;27.405;75.1;Bazowy
39;24-02-202313:16:58;62;98;47;5641.199;1897;166.295;51;53.385;4299.999;13095;40.5;27.145;75.1;Bazowy
40;24-02-202313:16:59;61;98;47;5641.199;1905;164.596;52;59.635;4299.999;13018;40.1;27.959;75.1;Bazowy
41;24-02-202313:17:00;62;98;48;5641.199;1897;167.048;51;68.186;4300;12980;40.8;29.341;75;Bazowy
42;24-02-202313:17:01;62;98;47;5641.199;1905;164.644;52;57.434;4299.998;12941;41.4;28.113;75;Bazowy
43;24-02-202313:17:02;62;98;49;5641.199;1897;169.315;46;52.535;4299.998;13036;41.6;26.629;74.9;Bazowy
44;24-02-202313:17:03;62;98;48;5641.199;1912;167.234;48;49.503;4300;13007;41.3;27.928;74.9;Bazowy
45;24-02-202313:17:04;62;98;48;5641.199;1912;167.425;47;52.604;4299.998;12981;41.3;26.343;74.9;Bazowy
46;24-02-202313:17:05;62;98;47;5641.199;1897;162.57;50;52.604;4299.998;13005;41.5;29.611;74.8;Bazowy
47;24-02-202313:17:14;60;99;35;5769.199;1912;162.001;55;63.281;4300.001;12881;39.9;29.965;76;Bazowy
48;24-02-202313:17:15;60;99;33;5769.199;1920;162.182;54;71.615;4299.999;12879;38.9;29.546;76;Bazowy
49;24-02-202313:17:16;61;99;34;5769.199;1905;162.948;55;71.875;4299.999;12871;39;29.704;76;Bazowy
50;24-02-202313:17:17;60;99;35;5769.199;1912;163.723;54;71.521;4300;12965;39.1;29.46;75.9;Bazowy
51;24-02-202313:17:18;61;99;35;5769.199;1905;166.924;56;69.596;4299.999;12947;39.6;30.313;75.9;Bazowy
52;24-02-202313:17:19;61;99;34;5769.199;1912;165.513;46;55.99;4299.999;12904;39.3;27.305;75.8;Bazowy
53;24-02-202313:17:20;61;99;35;5769.199;1882;166.376;50;55.99;4299.999;12920;39.2;30.664;75.8;Bazowy
54;24-02-202313:17:21;61;99;35;5769.199;1912;163.14;50;58.073;4299.999;13064;39;29.258;75.7;Bazowy
55;24-02-202313:17:22;61;99;34;5769.199;1920;160.405;54;70.313;4299.999;12981;39.2;30.845;75.7;Bazowy
56;24-02-202313:17:23;62;99;36;5769.199;1890;167.248;54;69.531;4299.999;12959;39.7;30.447;75.6;Bazowy
57;24-02-202313:17:24;62;99;36;5769.199;1912;165.215;56;64.583;4299.999;13014;40.6;27.473;75.6;Bazowy
58;24-02-202313:17:25;62;99;38;5769.199;1905;167.608;50;55.208;4299.999;12990;41.5;28.187;75.6;Bazowy
59;24-02-202313:17:26;62;99;37;5769.199;1897;166.076;50;59.206;4300;12967;42.1;28.383;75.5;Bazowy
60;24-02-202313:17:27;62;99;37;5769.199;1905;168.439;50;52.147;4299.997;12912;42.3;25.211;75.5;Bazowy
61;24-02-202313:17:28;62;99;38;5769.199;1905;167.643;50;55.208;4299.997;13006;42.3;25.384;75.4;Bazowy
62;24-02-202313:17:29;62;99;37;5769.199;1912;169.194;49;53.906;4300;12988;42.7;25.095;75.4;Bazowy
63;24-02-202313:17:30;62;99;38;5769.199;1890;165.5;49;59.115;4300;12966;42.7;36.137;75.4;Bazowy
64;24-02-202313:17:31;62;99;39;5769.199;1912;166.302;47;52.083;4300;12947;42.7;25.359;75.3;Bazowy
65;24-02-202313:17:32;62;99;38;5769.199;1882;168.927;52;70.313;4299.998;13046;42.7;26.076;75.3;Bazowy
66;24-02-202313:17:33;62;99;39;5769.199;1890;167.97;52;65.625;4300;13021;43.5;25.487;75.3;Bazowy
67;24-02-202313:17:34;63;99;38;5769.199;1905;169.393;52;54.948;4300;12994;43.4;36.528;75.2;Bazowy
68;24-02-202313:17:35;62;99;38;5769.199;1905;169.872;55;52.604;4300;12985;43.8;25.551;75.2;Bazowy
