02, DateTime, GPU temperature     ,GPU usage           ,FB usage            ,Memory usage        ,Core clock          ,Memory clock        ,Power               ,CPU temperature     ,CPU usage           ,CPU clock           ,RAM usage           ,Framerate           ,Frametime           ,Framerate Min       ,Framerate Avg       ,Framerate Max       ,Framerate 1% Low    ,Fan speed 2         ,Fan tachometer 2
80, 24-02-2023 13:16:12, 60.000              ,99.000              ,40.000              ,5609.199            ,1905.000            ,7500.999            ,162.924             ,46.000              ,38.281              ,4299.999            ,12115.000           ,33.900              ,32.264              ,0.700               ,75.800              ,1663.800            ,23.200              ,0.000               ,0.000               
80, 24-02-2023 13:16:13, 61.000              ,99.000              ,40.000              ,5609.199            ,1905.000            ,7500.999            ,163.638             ,50.000              ,45.723              ,4299.999            ,12255.000           ,33.400              ,32.166              ,0.700               ,75.800              ,1663.800            ,23.200              ,0.000               ,0.000               
80, 24-02-2023 13:16:14, 62.000              ,99.000              ,40.000              ,5609.199            ,1920.000            ,7500.999            ,161.419             ,45.000              ,49.239              ,4299.999            ,12367.000           ,32.900              ,32.402              ,0.700               ,75.700              ,1663.800            ,23.400              ,0.000               ,0.000               
80, 24-02-2023 13:16:15, 62.000              ,99.000              ,41.000              ,5609.199            ,1912.000            ,7500.999            ,166.093             ,47.000              ,47.917              ,4299.999            ,12429.000           ,33.200              ,33.244              ,0.700               ,75.700              ,1663.800            ,23.400              ,0.000               ,0.000               
80, 24-02-2023 13:16:16, 62.000              ,99.000              ,40.000              ,5609.199            ,1890.000            ,7500.999            ,165.476             ,43.000              ,48.438              ,4299.999            ,12470.000           ,33.500              ,32.152              ,0.700               ,75.600              ,1663.800            ,23.400              ,0.000               ,0.000               
80, 24-02-2023 13:16:17, 63.000              ,99.000              ,40.000              ,5609.199            ,1912.000            ,7500.999            ,165.383             ,52.000              ,50.521              ,4299.999            ,12601.000           ,33.300              ,33.723              ,0.700               ,75.500              ,1663.800            ,23.400              ,0.000               ,0.000               
80, 24-02-2023 13:16:18, 63.000              ,98.000              ,40.000              ,5609.199            ,1920.000            ,7500.999            ,165.423             ,49.000              ,61.198              ,4299.999            ,12669.000           ,33.300              ,32.826              ,0.700               ,75.500              ,1663.800            ,23.700              ,0.000               ,902.000             
80, 24-02-2023 13:16:19, 63.000              ,99.000              ,40.000              ,5609.199            ,1912.000            ,7500.999            ,166.778             ,52.000              ,62.240              ,4299.998            ,12707.000           ,34.000              ,31.907              ,0.700               ,75.400              ,1663.800            ,23.700              ,0.000               ,1027.000            
80, 24-02-2023 13:16:20, 63.000              ,99.000              ,39.000              ,5609.199            ,1897.000            ,7500.999            ,167.375             ,53.000              ,61.198              ,4299.998            ,12755.000           ,34.000              ,31.866              ,0.700               ,75.400              ,1663.800            ,23.700              ,0.000               ,1096.000            
80, 24-02-2023 13:16:21, 63.000              ,99.000              ,39.000              ,5609.199            ,1905.000            ,7500.999            ,163.776             ,49.000              ,60.156              ,4300.000            ,12844.000           ,33.300              ,32.743              ,0.700               ,75.300              ,1663.800            ,23.700              ,0.000               ,1142.000            
80, 24-02-2023 13:16:22, 64.000              ,99.000              ,38.000              ,5609.199            ,1897.000            ,7500.999            ,161.943             ,47.000              ,63.802              ,4299.999            ,12859.000           ,32.800              ,33.618              ,0.700               ,75.300              ,1663.800            ,23.800              ,35.000              ,1170.000            
80, 24-02-2023 13:16:23, 63.000              ,99.000              ,38.000              ,5609.199            ,1897.000            ,7500.999            ,164.109             ,50.000              ,60.938              ,4299.999            ,12874.000           ,32.700              ,34.887              ,0.700               ,75.200              ,1663.800            ,23.800              ,35.000              ,1168.000            
80, 24-02-2023 13:16:24, 63.000              ,99.000              ,38.000              ,5609.199            ,1890.000            ,7500.999            ,161.961             ,50.000              ,44.271              ,4299.999            ,12980.000           ,32.700              ,33.816              ,0.700               ,75.200              ,1663.800            ,23.800              ,35.000              ,1196.000            
80, 24-02-2023 13:16:25, 63.000              ,98.000              ,37.000              ,5609.199            ,1905.000            ,7500.999            ,163.123             ,47.000              ,41.146              ,4299.999            ,12981.000           ,32.700              ,34.193              ,0.700               ,75.100              ,1663.800            ,23.800              ,35.000              ,1230.000            
80, 24-02-2023 13:16:26, 63.000              ,98.000              ,37.000              ,5609.199            ,1905.000            ,7500.999            ,162.408             ,50.000              ,61.198              ,4299.999            ,12985.000           ,32.400              ,54.495              ,0.700               ,75.100              ,1663.800            ,23.700              ,36.000              ,1268.000            
80, 24-02-2023 13:16:27, 63.000              ,99.000              ,37.000              ,5609.199            ,1897.000            ,7500.999            ,162.866             ,50.000              ,59.635              ,4299.999            ,12967.000           ,32.400              ,33.151              ,0.700               ,75.000              ,1663.800            ,23.700              ,36.000              ,1308.000            
80, 24-02-2023 13:16:29, 64.000              ,99.000              ,38.000              ,5609.199            ,1875.000            ,7500.999            ,160.939             ,46.000              ,52.083              ,4299.999            ,13077.000           ,32.000              ,34.683              ,0.700               ,74.900              ,1663.800            ,23.800              ,36.000              ,1366.000            
80, 24-02-2023 13:16:30, 63.000              ,99.000              ,38.000              ,5609.199            ,1897.000            ,7500.999            ,165.331             ,50.000              ,50.000              ,4299.999            ,13059.000           ,32.400              ,33.638              ,0.700               ,74.800              ,1663.800            ,23.800              ,36.000              ,1383.000            
80, 24-02-2023 13:16:31, 63.000              ,99.000              ,37.000              ,5609.199            ,1890.000            ,7500.999            ,157.582             ,45.000              ,44.531              ,4299.999            ,13025.000           ,32.400              ,33.264              ,0.700               ,74.800              ,1663.800            ,23.800              ,36.000              ,1389.000            
80, 24-02-2023 13:16:32, 63.000              ,99.000              ,38.000              ,5609.199            ,1897.000            ,7500.999            ,165.577             ,45.000              ,52.604              ,4299.999            ,13145.000           ,32.700              ,33.518              ,0.700               ,74.700              ,1663.800            ,24.700              ,36.000              ,1401.000            
80, 24-02-2023 13:16:33, 63.000              ,98.000              ,38.000              ,5609.199            ,1867.000            ,7500.999            ,157.596             ,49.000              ,62.500              ,4299.999            ,13121.000           ,32.200              ,33.889              ,0.700               ,74.700              ,1663.800            ,24.700              ,36.000              ,1409.000            
80, 24-02-2023 13:16:34, 63.000              ,99.000              ,38.000              ,5609.199            ,1905.000            ,7500.999            ,164.837             ,49.000              ,61.979              ,4300.000            ,13102.000           ,32.500              ,33.525              ,0.700               ,74.600              ,1663.800            ,24.700              ,36.000              ,1406.000            
80, 24-02-2023 13:16:35, 63.000              ,99.000              ,37.000              ,5609.199            ,1912.000            ,7500.999            ,160.995             ,49.000              ,59.115              ,4299.997            ,13197.000           ,32.200              ,34.398              ,0.700               ,74.600              ,1663.800            ,24.700              ,36.000              ,1407.000            
80, 24-02-2023 13:16:36, 55.000              ,22.000              ,5.000               ,5625.199            ,1920.000            ,7500.999            ,57.912              ,52.000              ,63.281              ,4300.000            ,13055.000           ,192.300             ,33.077              ,0.700               ,74.700              ,1663.800            ,25.000              ,36.000              ,1403.000            
80, 24-02-2023 13:16:37, 54.000              ,21.000              ,5.000               ,5625.199            ,1920.000            ,7500.999            ,57.829              ,52.000              ,69.792              ,4300.000            ,13003.000           ,254.600             ,4.956               ,0.700               ,74.900              ,1663.800            ,25.000              ,36.000              ,1414.000            
80, 24-02-2023 13:16:38, 52.000              ,32.000              ,8.000               ,5641.199            ,1207.000            ,5000.996            ,38.502              ,52.000              ,62.240              ,4299.999            ,12952.000           ,254.900             ,5.534               ,0.700               ,75.200              ,1663.800            ,25.000              ,36.000              ,1419.000            
80, 24-02-2023 13:16:39, 51.000              ,33.000              ,8.000               ,5641.199            ,1110.000            ,5000.996            ,37.295              ,50.000              ,59.719              ,4299.999            ,12996.000           ,253.600             ,8.765               ,0.700               ,75.400              ,1663.800            ,25.000              ,36.000              ,1420.000            
80, 24-02-2023 13:16:40, 50.000              ,36.000              ,8.000               ,5641.199            ,1065.000            ,5000.996            ,36.981              ,49.000              ,70.125              ,4299.997            ,12923.000           ,252.200             ,9.400               ,0.700               ,75.600              ,1663.800            ,25.100              ,36.000              ,1419.000            
80, 24-02-2023 13:16:41, 51.000              ,41.000              ,8.000               ,5641.199            ,1042.000            ,5000.996            ,38.546              ,50.000              ,52.865              ,4300.001            ,12853.000           ,243.200             ,20.394              ,0.700               ,75.800              ,1663.800            ,25.100              ,35.000              ,1415.000            
80, 24-02-2023 13:16:42, 60.000              ,98.000              ,43.000              ,5641.199            ,1912.000            ,7500.999            ,162.674             ,54.000              ,53.906              ,4300.000            ,12814.000           ,35.600              ,56.743              ,0.700               ,75.800              ,1663.800            ,23.800              ,33.000              ,1411.000            
80, 24-02-2023 13:16:43, 60.000              ,98.000              ,45.000              ,5641.199            ,1912.000            ,7500.999            ,164.902             ,53.000              ,69.271              ,4300.000            ,12914.000           ,42.900              ,27.332              ,0.700               ,75.700              ,1663.800            ,23.800              ,33.000              ,1386.000            
80, 24-02-2023 13:16:44, 61.000              ,98.000              ,45.000              ,5641.199            ,1905.000            ,7500.999            ,164.025             ,50.000              ,60.417              ,4299.999            ,12894.000           ,43.000              ,25.600              ,0.700               ,75.700              ,1663.800            ,23.800              ,33.000              ,1354.000            
80, 24-02-2023 13:16:45, 61.000              ,98.000              ,45.000              ,5641.199            ,1920.000            ,7500.999            ,164.051             ,50.000              ,54.948              ,4300.000            ,12891.000           ,42.700              ,26.209              ,0.700               ,75.700              ,1663.800            ,23.800              ,33.000              ,1319.000            
80, 24-02-2023 13:16:46, 61.000              ,98.000              ,45.000              ,5641.199            ,1912.000            ,7500.999            ,163.202             ,51.000              ,61.458              ,4300.000            ,12882.000           ,41.100              ,27.349              ,0.700               ,75.600              ,1663.800            ,23.800              ,33.000              ,1309.000            
80, 24-02-2023 13:16:47, 61.000              ,98.000              ,45.000              ,5641.199            ,1912.000            ,7500.999            ,163.142             ,52.000              ,67.969              ,4299.999            ,12961.000           ,42.100              ,28.697              ,0.700               ,75.600              ,1663.800            ,24.100              ,33.000              ,1295.000            
80, 24-02-2023 13:16:48, 61.000              ,98.000              ,46.000              ,5641.199            ,1897.000            ,7500.999            ,165.545             ,51.000              ,67.448              ,4299.999            ,12940.000           ,42.100              ,26.942              ,0.700               ,75.500              ,1663.800            ,24.100              ,33.000              ,1288.000            
80, 24-02-2023 13:16:49, 61.000              ,98.000              ,45.000              ,5641.199            ,1905.000            ,7500.999            ,162.409             ,47.000              ,61.979              ,4299.999            ,12924.000           ,42.100              ,27.061              ,0.700               ,75.500              ,1663.800            ,24.100              ,33.000              ,1287.000            
80, 24-02-2023 13:16:50, 61.000              ,98.000              ,46.000              ,5641.199            ,1912.000            ,7500.999            ,167.269             ,51.000              ,52.791              ,4299.999            ,12980.000           ,41.500              ,28.121              ,0.700               ,75.400              ,1663.800            ,24.100              ,33.000              ,1284.000            
80, 24-02-2023 13:16:51, 62.000              ,98.000              ,46.000              ,5641.199            ,1920.000            ,7500.999            ,165.737             ,52.000              ,60.677              ,4299.999            ,13047.000           ,42.000              ,27.699              ,0.700               ,75.400              ,1663.800            ,24.700              ,33.000              ,1285.000            
80, 24-02-2023 13:16:52, 61.000              ,98.000              ,47.000              ,5641.199            ,1890.000            ,7500.999            ,165.738             ,52.000              ,51.618              ,4299.999            ,13019.000           ,42.200              ,28.355              ,0.700               ,75.400              ,1663.800            ,24.700              ,33.000              ,1278.000            
80, 24-02-2023 13:16:53, 61.000              ,98.000              ,47.000              ,5641.199            ,1905.000            ,7500.999            ,163.489             ,50.000              ,51.823              ,4299.999            ,12995.000           ,41.300              ,27.307              ,0.700               ,75.300              ,1663.800            ,24.700              ,33.000              ,1290.000            
80, 24-02-2023 13:16:54, 62.000              ,98.000              ,46.000              ,5641.199            ,1912.000            ,7500.999            ,166.078             ,47.000              ,52.083              ,4299.999            ,13082.000           ,42.000              ,27.052              ,0.700               ,75.300              ,1663.800            ,24.700              ,33.000              ,1305.000            
80, 24-02-2023 13:16:55, 62.000              ,98.000              ,47.000              ,5641.199            ,1905.000            ,7500.999            ,165.344             ,48.000              ,44.581              ,4299.999            ,13060.000           ,42.700              ,25.708              ,0.700               ,75.200              ,1663.800            ,24.900              ,33.000              ,1308.000            
80, 24-02-2023 13:16:56, 62.000              ,98.000              ,48.000              ,5641.199            ,1882.000            ,7500.999            ,165.313             ,48.000              ,53.646              ,4299.999            ,13020.000           ,41.000              ,26.913              ,0.700               ,75.200              ,1663.800            ,24.900              ,33.000              ,1295.000            
80, 24-02-2023 13:16:57, 62.000              ,98.000              ,48.000              ,5641.199            ,1905.000            ,7500.999            ,168.781             ,49.000              ,51.354              ,4299.999            ,12995.000           ,41.100              ,27.405              ,0.700               ,75.100              ,1663.800            ,24.900              ,33.000              ,1300.000            
80, 24-02-2023 13:16:58, 62.000              ,98.000              ,47.000              ,5641.199            ,1897.000            ,7500.999            ,166.295             ,51.000              ,53.385              ,4299.999            ,13095.000           ,40.500              ,27.145              ,0.700               ,75.100              ,1663.800            ,24.900              ,33.000              ,1309.000            
80, 24-02-2023 13:16:59, 61.000              ,98.000              ,47.000              ,5641.199            ,1905.000            ,7500.999            ,164.596             ,52.000              ,59.635              ,4299.999            ,13018.000           ,40.100              ,27.959              ,0.700               ,75.100              ,1663.800            ,25.000              ,33.000              ,1310.000            
80, 24-02-2023 13:17:00, 62.000              ,98.000              ,48.000              ,5641.199            ,1897.000            ,7500.999            ,167.048             ,51.000              ,68.186              ,4300.000            ,12980.000           ,40.800              ,29.341              ,0.700               ,75.000              ,1663.800            ,25.000              ,33.000              ,1299.000            
80, 24-02-2023 13:17:01, 62.000              ,98.000              ,47.000              ,5641.199            ,1905.000            ,7500.999            ,164.644             ,52.000              ,57.434              ,4299.998            ,12941.000           ,41.400              ,28.113              ,0.700               ,75.000              ,1663.800            ,25.000              ,33.000              ,1303.000            
80, 24-02-2023 13:17:02, 62.000              ,98.000              ,49.000              ,5641.199            ,1897.000            ,7500.999            ,169.315             ,46.000              ,52.535              ,4299.998            ,13036.000           ,41.600              ,26.629              ,0.700               ,74.900              ,1663.800            ,25.000              ,33.000              ,1310.000            
80, 24-02-2023 13:17:03, 62.000              ,98.000              ,48.000              ,5641.199            ,1912.000            ,7500.999            ,167.234             ,48.000              ,49.503              ,4300.000            ,13007.000           ,41.300              ,27.928              ,0.700               ,74.900              ,1663.800            ,25.100              ,33.000              ,1305.000            
80, 24-02-2023 13:17:04, 62.000              ,98.000              ,48.000              ,5641.199            ,1912.000            ,7500.999            ,167.425             ,47.000              ,52.604              ,4299.998            ,12981.000           ,41.300              ,26.343              ,0.700               ,74.900              ,1663.800            ,25.100              ,33.000              ,1306.000            
80, 24-02-2023 13:17:05, 62.000              ,98.000              ,47.000              ,5641.199            ,1897.000            ,7500.999            ,162.570             ,50.000              ,52.604              ,4299.998            ,13005.000           ,41.500              ,29.611              ,0.700               ,74.800              ,1663.800            ,25.100              ,33.000              ,1306.000            
80, 24-02-2023 13:17:06, 59.000              ,90.000              ,44.000              ,5641.199            ,1920.000            ,7500.999            ,141.979             ,53.000              ,47.656              ,4299.998            ,13009.000           ,56.000              ,28.147              ,0.700               ,74.800              ,1663.800            ,25.100              ,33.000              ,1307.000            
80, 24-02-2023 13:17:07, 54.000              ,23.000              ,5.000               ,5689.199            ,1920.000            ,7500.999            ,57.382              ,53.000              ,61.198              ,4300.000            ,12988.000           ,254.900             ,7.273               ,0.700               ,75.000              ,1663.800            ,25.400              ,33.000              ,1315.000            
80, 24-02-2023 13:17:08, 52.000              ,29.000              ,8.000               ,5689.199            ,1230.000            ,5000.996            ,38.513              ,51.000              ,73.438              ,4300.000            ,12961.000           ,254.300             ,5.392               ,0.700               ,75.200              ,1663.800            ,25.400              ,33.000              ,1320.000            
