Datetime;GPUtemperature;GPUusage;FBusage;Memoryusage;Coreclock;Power;CPUtemperature;CPUusage;CPUclock;RAMusage;Framerate;Frametime;FramerateAvg
24-02-202313:59:16;55.000;98.000;32.000;5091.629;1935.000;152.379;53.000;58.073;4299.999;10048.000;53.900;20.355;74.600
24-02-202313:59:17;55.000;98.000;32.000;5091.629;1935.000;152.379;53.000;58.073;4299.999;10048.000;53.900;20.355;74.600
24-02-202313:59:18;56.000;98.000;33.000;5091.629;1935.000;154.414;56.000;64.323;4299.999;10160.000;53.200;22.014;74.600
24-02-202313:59:19;56.000;98.000;33.000;5091.629;1935.000;153.739;54.000;62.500;4299.999;10279.000;52.900;21.587;74.600
24-02-202313:59:20;56.000;98.000;33.000;5091.629;1935.000;152.136;53.000;59.115;4299.999;10399.000;52.400;22.233;74.500
24-02-202313:59:21;57.000;97.000;32.000;5091.629;1935.000;148.396;54.000;66.667;4299.999;10518.000;50.300;26.506;74.500
24-02-202313:59:22;57.000;98.000;33.000;5091.629;1935.000;152.552;55.000;71.875;4299.999;10609.000;50.600;23.689;74.500
24-02-202313:59:23;57.000;98.000;33.000;5091.629;1935.000;151.508;53.000;66.667;4299.999;10644.000;50.400;24.324;74.500
24-02-202313:59:24;58.000;98.000;33.000;5091.629;1935.000;153.127;56.000;65.625;4299.999;10783.000;50.600;23.372;74.500
24-02-202313:59:25;58.000;98.000;33.000;5091.629;1920.000;151.440;51.000;57.031;4299.998;10813.000;50.300;22.900;74.500
24-02-202313:59:26;58.000;98.000;33.000;5091.629;1920.000;153.325;54.000;56.250;4300.001;10830.000;50.500;22.204;74.500
24-02-202313:59:27;59.000;98.000;33.000;5091.629;1920.000;154.388;58.000;55.990;4299.999;10833.000;50.000;23.293;74.500
24-02-202313:59:28;59.000;98.000;32.000;5091.629;1920.000;150.924;57.000;65.885;4299.999;10934.000;49.600;23.279;74.500
24-02-202313:59:29;60.000;98.000;33.000;5091.629;1920.000;156.652;57.000;72.804;4299.999;10930.000;49.500;25.084;74.500
24-02-202313:59:30;60.000;98.000;32.000;5091.629;1920.000;154.716;58.000;68.274;4299.999;10923.000;49.300;23.420;74.500
24-02-202313:59:31;60.000;98.000;32.000;5091.629;1920.000;156.271;56.000;64.063;4299.999;11029.000;48.900;23.467;74.500
24-02-202313:59:32;61.000;98.000;31.000;5091.629;1920.000;154.507;56.000;57.552;4299.999;11010.000;48.200;22.805;74.500
24-02-202313:59:33;61.000;98.000;32.000;5091.629;1920.000;156.570;53.000;57.552;4299.999;10960.000;48.700;22.286;74.500
24-02-202313:59:34;61.000;98.000;31.000;5091.629;1920.000;156.388;55.000;56.771;4300.000;10939.000;48.500;22.309;74.400
24-02-202313:59:35;62.000;98.000;31.000;5091.629;1920.000;157.053;54.000;56.510;4299.998;11032.000;47.800;23.506;74.400
24-02-202313:59:36;62.000;98.000;32.000;5091.629;1920.000;159.300;55.000;50.000;4299.998;11019.000;47.900;23.089;74.400
24-02-202313:59:37;62.000;98.000;32.000;5091.629;1920.000;155.851;51.000;51.765;4299.999;11001.000;47.100;31.798;74.400
24-02-202313:59:38;63.000;98.000;31.000;5091.629;1920.000;154.121;54.000;67.552;4299.998;10984.000;46.800;25.086;74.400
24-02-202313:59:39;63.000;98.000;32.000;5091.629;1912.000;157.401;55.000;71.022;4299.999;11141.000;47.800;25.174;74.400
24-02-202313:59:40;63.000;98.000;32.000;5091.629;1912.000;159.065;58.000;84.375;4299.999;11110.000;47.700;25.054;74.400
24-02-202313:59:52;60.000;97.000;35.000;5091.629;1927.000;158.427;58.000;80.469;4299.999;10731.000;62.100;19.636;74.900
24-02-202313:59:53;60.000;97.000;35.000;5091.629;1927.000;157.551;56.000;69.792;4300.000;10719.000;61.500;19.098;74.900
24-02-202313:59:54;60.000;97.000;35.000;5091.629;1927.000;155.369;57.000;80.729;4300.000;10797.000;62.200;22.443;74.900
24-02-202313:59:55;60.000;97.000;36.000;5091.629;1927.000;157.557;54.000;69.792;4299.999;10797.000;61.600;20.332;74.900
24-02-202313:59:56;60.000;97.000;35.000;5091.629;1927.000;157.853;56.000;77.604;4299.999;10792.000;61.400;19.002;74.900
24-02-202313:59:57;61.000;97.000;35.000;5091.629;1927.000;158.010;57.000;77.865;4300.000;10763.000;61.000;19.374;74.900
24-02-202313:59:58;60.000;97.000;36.000;5091.629;1927.000;157.925;54.000;72.034;4299.999;10853.000;61.200;19.197;74.900
24-02-202313:59:59;60.000;97.000;35.000;5091.629;1927.000;154.852;55.000;79.114;4299.999;10823.000;60.500;21.213;74.900
24-02-202314:00:00;61.000;97.000;35.000;5075.629;1927.000;156.320;54.000;73.698;4299.999;10808.000;60.700;19.512;74.900
24-02-202314:00:01;61.000;97.000;36.000;5075.629;1927.000;156.107;57.000;84.896;4299.999;10905.000;60.000;20.109;74.900
24-02-202314:00:02;61.000;97.000;38.000;5075.629;1927.000;159.356;57.000;71.875;4299.999;10887.000;59.600;20.399;74.900
24-02-202314:00:03;61.000;97.000;37.000;5075.629;1927.000;157.623;55.000;73.438;4299.999;10869.000;60.000;20.386;74.900
24-02-202314:00:04;61.000;97.000;37.000;5075.629;1927.000;159.585;56.000;74.479;4299.999;10852.000;60.700;20.045;74.900
24-02-202314:00:05;61.000;97.000;38.000;5075.629;1927.000;158.504;57.000;81.771;4299.999;10952.000;60.200;19.374;74.800
24-02-202314:00:06;61.000;97.000;38.000;5075.629;1927.000;158.397;55.000;76.563;4299.999;10942.000;59.900;19.732;74.800
24-02-202314:00:07;62.000;97.000;38.000;5075.629;1927.000;158.741;55.000;76.563;4299.999;10928.000;59.800;21.023;74.800
24-02-202314:00:08;61.000;97.000;37.000;5075.629;1912.000;155.942;57.000;75.781;4300.000;10884.000;60.000;21.235;74.800
24-02-202314:00:09;61.000;97.000;37.000;5075.629;1927.000;158.444;59.000;80.469;4299.999;10973.000;60.300;19.945;74.800
24-02-202314:00:10;61.000;97.000;37.000;5075.629;1927.000;157.758;59.000;78.385;4299.999;10945.000;60.100;20.722;74.800
24-02-202314:00:11;62.000;98.000;38.000;5075.629;1927.000;160.949;55.000;63.021;4299.999;10914.000;60.300;19.650;74.800
24-02-202314:00:12;61.000;97.000;38.000;5075.629;1927.000;158.825;55.000;74.219;4299.999;10929.000;59.400;21.370;74.800
24-02-202314:00:13;62.000;97.000;40.000;5075.629;1927.000;161.333;55.000;79.427;4300.000;10968.000;61.100;18.503;74.800
24-02-202314:00:14;62.000;97.000;39.000;5075.629;1920.000;159.761;57.000;69.531;4300.000;10941.000;62.900;18.410;74.800
24-02-202314:00:15;62.000;97.000;40.000;5075.629;1927.000;160.854;54.000;61.979;4299.999;10906.000;63.300;18.149;74.800
24-02-202314:00:24;59.000;98.000;27.000;5107.629;1927.000;160.358;58.000;73.177;4299.998;10757.000;57.200;26.698;75.200
24-02-202314:00:25;60.000;98.000;25.000;5107.629;1927.000;159.021;56.000;73.177;4299.998;10742.000;54.000;20.650;75.200
24-02-202314:00:26;60.000;98.000;27.000;5123.629;1927.000;161.820;54.000;80.208;4299.998;10706.000;53.300;21.592;75.200
24-02-202314:00:27;61.000;98.000;26.000;5123.629;1927.000;160.054;53.000;70.833;4299.998;10692.000;54.600;21.292;75.200
24-02-202314:00:28;61.000;98.000;26.000;5123.629;1927.000;161.820;54.000;68.750;4300.000;10765.000;54.400;21.146;75.200
24-02-202314:00:29;61.000;98.000;26.000;5123.629;1927.000;161.650;52.000;67.188;4299.999;10755.000;54.400;21.118;75.200
24-02-202314:00:30;61.000;98.000;26.000;5123.629;1927.000;161.638;54.000;60.156;4299.999;10711.000;53.900;20.596;75.200
24-02-202314:00:31;61.000;98.000;26.000;5123.629;1912.000;162.818;53.000;65.104;4299.999;10792.000;53.800;22.015;75.200
24-02-202314:00:32;61.000;98.000;26.000;5123.629;1927.000;159.542;57.000;72.034;4300.000;10782.000;54.100;21.631;75.100
24-02-202314:00:33;61.000;98.000;27.000;5123.629;1927.000;162.982;55.000;75.260;4299.999;10764.000;54.600;23.319;75.100
24-02-202314:00:34;61.000;98.000;27.000;5123.629;1920.000;162.731;54.000;64.063;4299.999;10745.000;55.900;20.752;75.100
24-02-202314:00:35;62.000;98.000;27.000;5123.629;1927.000;162.265;54.000;65.104;4299.999;10825.000;57.100;20.106;75.100
24-02-202314:00:36;62.000;98.000;29.000;5123.629;1920.000;162.969;54.000;65.102;4299.999;10808.000;58.600;19.067;75.100
24-02-202314:00:37;62.000;98.000;29.000;5123.629;1927.000;162.924;54.000;65.625;4299.999;10791.000;59.800;19.119;75.100
24-02-202314:00:38;61.000;98.000;29.000;5123.629;1920.000;163.309;57.000;63.802;4299.999;10780.000;60.200;18.390;75.100
24-02-202314:00:39;62.000;98.000;29.000;5123.629;1927.000;163.561;59.000;61.719;4299.999;10834.000;59.900;19.317;75.100
24-02-202314:00:40;62.000;98.000;29.000;5123.629;1927.000;163.176;56.000;58.949;4299.999;10821.000;60.100;19.100;75.100
24-02-202314:00:41;62.000;98.000;29.000;5123.629;1927.000;164.191;54.000;57.031;4299.999;10807.000;60.100;18.337;75.100
24-02-202314:00:42;62.000;98.000;29.000;5123.629;1927.000;161.686;54.000;70.918;4299.999;10833.000;59.400;20.236;75.100
24-02-202314:00:43;62.000;98.000;29.000;5123.629;1927.000;165.118;58.000;78.961;4299.999;10888.000;61.000;19.257;75.100
24-02-202314:00:44;62.000;98.000;30.000;5123.629;1927.000;163.160;55.000;67.969;4299.999;10877.000;61.500;19.040;75.100
24-02-202314:00:45;62.000;98.000;30.000;5123.629;1920.000;163.893;54.000;65.365;4299.998;10849.000;61.700;23.523;75.100
24-02-202314:00:46;62.000;98.000;30.000;5123.629;1927.000;163.008;53.000;56.771;4299.998;10940.000;62.000;17.548;75.100
24-02-202314:00:47;62.000;98.000;30.000;5123.629;1927.000;162.705;53.000;64.044;4300.000;10921.000;61.900;17.840;75.100
24-02-202314:01:07;57.000;96.000;32.000;5139.629;1935.000;142.920;57.000;95.052;4299.999;10688.000;51.300;24.231;76.000
24-02-202314:01:08;56.000;93.000;30.000;5155.629;1935.000;140.126;57.000;95.052;4299.999;10739.000;50.400;28.345;76.000
24-02-202314:01:09;58.000;97.000;32.000;5171.629;1935.000;150.213;59.000;96.615;4299.999;10843.000;50.500;27.799;76.000
24-02-202314:01:10;58.000;97.000;32.000;5219.629;1935.000;150.297;57.000;93.750;4299.994;10881.000;52.500;23.852;75.900
24-02-202314:01:11;58.000;96.000;32.000;5235.629;1935.000;152.554;57.000;94.271;4300.009;10898.000;51.700;29.314;75.900
24-02-202314:01:12;58.000;90.000;30.000;5267.629;1935.000;149.539;57.000;95.833;4300.009;10955.000;51.600;26.288;75.900
24-02-202314:01:13;58.000;96.000;32.000;5283.629;1935.000;149.978;57.000;94.792;4299.999;11019.000;51.000;27.159;75.900
24-02-202314:01:14;58.000;96.000;31.000;5283.629;1935.000;151.784;57.000;95.313;4300.000;11018.000;51.200;23.533;75.900
24-02-202314:01:15;58.000;97.000;31.000;5283.629;1935.000;149.443;58.000;95.052;4300.000;11018.000;49.800;24.877;75.900
24-02-202314:01:16;58.000;85.000;28.000;5283.629;1935.000;145.013;58.000;96.094;4299.999;11115.000;49.100;24.150;75.900
24-02-202314:01:17;59.000;96.000;30.000;5283.629;1920.000;153.793;56.000;93.229;4299.999;11073.000;51.900;23.176;75.900
24-02-202314:01:18;59.000;92.000;30.000;5283.629;1920.000;151.024;60.000;94.792;4299.999;11067.000;49.900;24.714;75.900
24-02-202314:01:19;59.000;98.000;33.000;5283.629;1920.000;150.085;57.000;91.667;4299.999;11022.000;52.400;29.454;75.900
24-02-202314:01:20;59.000;96.000;32.000;5283.629;1920.000;133.908;57.000;91.533;4299.999;11054.000;51.500;26.495;75.900
24-02-202314:01:21;59.000;89.000;30.000;5283.629;1920.000;147.944;58.000;96.034;4299.998;11030.000;47.500;29.141;75.900
24-02-202314:01:22;59.000;88.000;29.000;5283.629;1920.000;146.515;60.000;94.271;4299.998;11057.000;49.100;24.807;75.900
24-02-202314:01:23;58.000;95.000;31.000;5283.629;1920.000;135.538;58.000;95.833;4299.999;11081.000;49.100;28.118;75.900
24-02-202314:01:24;58.000;90.000;29.000;5283.629;1920.000;128.041;58.000;94.531;4299.999;11200.000;49.900;28.587;75.800
24-02-202314:01:25;59.000;96.000;32.000;5283.629;1920.000;149.026;56.000;97.135;4300.000;11174.000;48.200;28.820;75.800
24-02-202314:01:26;59.000;96.000;31.000;5283.629;1920.000;150.845;57.000;93.490;4299.999;11152.000;52.100;25.494;75.800
24-02-202314:01:27;59.000;87.000;28.000;5283.629;1920.000;152.118;57.000;97.691;4299.999;11224.000;50.200;24.772;75.800
24-02-202314:01:28;59.000;98.000;31.000;5283.629;1920.000;147.295;59.000;97.135;4299.999;11222.000;52.200;23.886;75.800
24-02-202314:01:29;60.000;98.000;32.000;5283.629;1920.000;153.077;57.000;90.482;4299.999;11189.000;53.500;22.878;75.800
24-02-202314:01:30;60.000;93.000;30.000;5283.629;1920.000;144.558;58.000;91.667;4299.998;11152.000;52.100;25.587;75.800
24-02-202314:01:54;56.000;98.000;35.000;5363.629;1935.000;153.204;56.000;77.422;4299.998;10743.000;63.000;20.025;76.800
24-02-202314:01:55;56.000;98.000;34.000;5363.629;1935.000;155.171;57.000;90.482;4300.000;10809.000;63.500;19.627;76.800
24-02-202314:01:56;57.000;98.000;34.000;5363.629;1935.000;153.600;56.000;66.667;4300.000;10862.000;63.600;19.831;76.800
24-02-202314:01:57;56.000;96.000;33.000;5363.629;1935.000;146.551;60.000;89.703;4299.999;10947.000;60.300;25.028;76.800
24-02-202314:01:58;57.000;98.000;34.000;5363.629;1935.000;153.929;56.000;99.219;4299.999;11039.000;62.500;19.992;76.800
24-02-202314:01:59;57.000;98.000;34.000;5363.629;1935.000;153.065;56.000;94.511;4299.999;11076.000;63.500;21.188;76.800
24-02-202314:02:00;57.000;98.000;34.000;5363.629;1935.000;154.951;57.000;99.475;4299.999;11090.000;63.700;21.243;76.800
24-02-202314:02:01;57.000;98.000;33.000;5363.629;1935.000;153.750;59.000;96.875;4299.999;11210.000;63.400;19.448;76.800
24-02-202314:02:02;57.000;98.000;34.000;5379.629;1935.000;153.492;58.000;98.698;4300.000;11132.000;63.100;21.376;76.800
24-02-202314:02:03;58.000;98.000;34.000;5379.629;1935.000;154.775;57.000;98.958;4300.000;11073.000;62.500;26.334;76.800
24-02-202314:02:04;57.000;98.000;33.000;5395.629;1935.000;144.165;57.000;95.833;4299.998;11077.000;61.300;23.857;76.800
24-02-202314:02:05;58.000;98.000;34.000;5395.629;1935.000;153.632;59.000;95.382;4300.000;11192.000;61.900;21.555;76.800
24-02-202314:02:06;58.000;96.000;34.000;5395.629;1935.000;154.256;56.000;93.126;4299.999;11167.000;62.500;19.809;76.800
24-02-202314:02:07;58.000;98.000;34.000;5395.629;1935.000;154.278;58.000;97.917;4299.999;11146.000;62.900;20.882;76.800
24-02-202314:02:08;58.000;98.000;34.000;5411.629;1935.000;154.207;58.000;88.021;4299.999;11161.000;63.600;20.300;76.800
24-02-202314:02:09;59.000;98.000;33.000;5411.629;1920.000;155.053;59.000;95.201;4299.999;11235.000;64.100;23.902;76.800
24-02-202314:02:10;59.000;98.000;33.000;5411.629;1920.000;153.133;58.000;92.475;4299.999;11209.000;65.700;22.163;76.800
24-02-202314:02:11;58.000;92.000;29.000;5427.629;1920.000;150.184;60.000;96.615;4299.999;11185.000;64.200;21.445;76.800
24-02-202314:02:12;58.000;81.000;27.000;5427.629;1920.000;148.869;57.000;98.177;4299.999;11203.000;58.800;27.821;76.800
24-02-202314:02:13;57.000;85.000;30.000;5427.629;1920.000;136.955;59.000;97.917;4299.999;11219.000;54.700;24.714;76.700
24-02-202314:02:14;57.000;76.000;26.000;5427.629;1920.000;138.163;59.000;98.958;4299.999;11207.000;54.000;24.658;76.700
24-02-202314:02:15;58.000;78.000;27.000;5427.629;1920.000;139.086;59.000;95.833;4299.999;11199.000;57.500;23.755;76.700
24-02-202314:02:16;58.000;87.000;29.000;5427.629;1920.000;138.976;58.000;98.698;4299.999;11345.000;56.200;21.809;76.700
24-02-202314:02:17;58.000;93.000;31.000;5427.629;1920.000;147.146;60.000;97.656;4299.999;11346.000;56.000;21.735;76.700
24-02-202314:02:18;59.000;91.000;31.000;5427.629;1920.000;149.241;57.000;99.487;4299.998;11335.000;58.700;22.245;76.700
24-02-202314:02:19;59.000;91.000;31.000;5427.629;1920.000;146.199;58.000;98.414;4299.998;11318.000;59.400;30.993;76.700
24-02-202314:02:20;59.000;92.000;32.000;5427.629;1920.000;151.908;57.000;97.656;4299.999;11458.000;59.300;22.284;76.700
24-02-202314:02:21;59.000;98.000;34.000;5427.629;1920.000;155.409;60.000;99.219;4300.001;11482.000;59.500;23.978;76.700
24-02-202314:02:22;59.000;96.000;33.000;5427.629;1920.000;150.674;58.000;99.487;4299.997;11486.000;57.800;24.802;76.700
24-02-202314:02:23;59.000;98.000;34.000;5427.629;1920.000;155.057;58.000;97.092;4299.997;11506.000;60.000;23.276;76.700
24-02-202314:02:24;59.000;96.000;33.000;5427.629;1920.000;138.850;58.000;95.573;4300.000;11663.000;58.800;26.150;76.700
24-02-202314:02:25;60.000;96.000;34.000;5443.629;1920.000;155.825;58.000;96.354;4300.000;11648.000;59.400;24.441;76.700
24-02-202314:02:26;59.000;95.000;34.000;5443.629;1920.000;151.405;61.000;94.792;4299.999;11469.000;59.500;27.423;76.700
24-02-202314:02:27;60.000;93.000;32.000;5443.629;1920.000;155.238;59.000;96.354;4299.999;11582.000;60.500;22.193;76.700
24-02-202314:02:28;60.000;98.000;35.000;5443.629;1920.000;158.311;58.000;97.656;4299.999;11545.000;63.300;23.824;76.700
24-02-202314:02:29;60.000;93.000;34.000;5443.629;1920.000;153.175;61.000;93.229;4299.999;11539.000;65.400;22.165;76.700
24-02-202314:02:30;60.000;96.000;34.000;5443.629;1920.000;150.810;59.000;94.010;4299.999;11479.000;67.200;18.887;76.700
24-02-202314:02:31;60.000;98.000;35.000;5443.629;1920.000;151.647;59.000;91.146;4299.999;11604.000;64.200;22.845;76.700
24-02-202314:02:32;61.000;98.000;35.000;5443.629;1920.000;160.152;60.000;100.000;4299.999;11593.000;62.000;22.028;76.700
24-02-202314:02:33;60.000;98.000;35.000;5443.629;1920.000;159.755;58.000;98.149;4299.999;11554.000;64.200;18.964;76.700
24-02-202314:02:34;61.000;94.000;33.000;5443.629;1920.000;156.792;59.000;94.792;4299.999;11528.000;64.800;22.743;76.600
24-02-202314:02:35;61.000;97.000;34.000;5443.629;1920.000;158.230;59.000;91.406;4300.000;11667.000;64.900;24.922;76.600
24-02-202314:02:36;61.000;98.000;35.000;5443.629;1920.000;159.402;60.000;90.625;4300.000;11634.000;66.300;20.857;76.600
24-02-202314:02:37;61.000;98.000;35.000;5445.629;1920.000;156.210;59.000;95.833;4299.999;11387.000;62.500;26.247;76.600
24-02-202314:02:38;60.000;97.000;34.000;5445.629;1920.000;137.547;57.000;97.656;4299.999;11358.000;64.300;23.324;76.600
24-02-202314:02:39;60.000;95.000;32.000;5445.629;1920.000;149.458;58.000;97.135;4299.999;11451.000;62.000;19.540;76.600
24-02-202314:02:40;61.000;97.000;34.000;5445.629;1920.000;158.099;61.000;91.667;4300.000;11399.000;62.900;23.363;76.600
24-02-202314:02:41;61.000;98.000;35.000;5445.629;1920.000;155.719;58.000;93.842;4300.000;11406.000;62.400;20.454;76.600
24-02-202314:02:42;61.000;98.000;34.000;5445.629;1920.000;159.060;59.000;86.781;4299.999;11540.000;62.700;21.066;76.600
24-02-202314:02:43;61.000;98.000;34.000;5445.629;1920.000;158.885;61.000;98.461;4299.999;11569.000;63.500;20.754;76.600
24-02-202314:02:44;61.000;97.000;34.000;5445.629;1920.000;158.068;59.000;94.271;4299.999;11476.000;61.600;23.299;76.600
24-02-202314:02:45;61.000;96.000;34.000;5445.629;1920.000;159.180;58.000;91.564;4299.997;11495.000;63.800;22.048;76.600
24-02-202314:02:46;61.000;94.000;34.000;5445.629;1920.000;142.874;57.000;97.427;4300.001;11658.000;61.500;22.987;76.600
24-02-202314:02:47;62.000;98.000;36.000;5445.629;1920.000;159.381;59.000;95.052;4299.999;11667.000;63.000;24.007;76.600
24-02-202314:02:48;61.000;96.000;35.000;5445.629;1920.000;154.721;58.000;94.184;4299.999;11667.000;63.200;22.592;76.600
24-02-202314:02:49;62.000;98.000;36.000;5445.629;1920.000;157.584;58.000;97.917;4300.000;11667.000;61.700;22.013;76.600
24-02-202314:02:50;62.000;97.000;36.000;5461.629;1920.000;158.255;59.000;95.125;4299.999;11823.000;64.100;19.259;76.600
24-02-202314:02:51;61.000;85.000;30.000;5459.629;1920.000;142.879;59.000;96.875;4299.999;11533.000;55.200;31.395;76.600
24-02-202314:02:52;62.000;88.000;32.000;5459.629;1920.000;158.877;58.000;98.942;4299.999;11471.000;64.700;25.080;76.600
24-02-202314:02:53;62.000;98.000;35.000;5459.629;1920.000;158.909;59.000;94.792;4299.999;11545.000;67.100;20.224;76.600
24-02-202314:02:54;62.000;98.000;36.000;5459.629;1920.000;156.501;58.000;96.094;4300.000;11572.000;64.800;21.838;76.600
24-02-202314:02:55;62.000;98.000;36.000;5459.629;1920.000;161.434;57.000;93.750;4300.000;11498.000;64.100;23.798;76.600
24-02-202314:02:56;63.000;98.000;36.000;5459.629;1920.000;160.642;59.000;95.125;4299.999;11472.000;63.700;20.482;76.600
24-02-202314:02:57;62.000;98.000;34.000;5459.629;1920.000;161.170;59.000;89.160;4299.999;11531.000;61.300;20.685;76.600
24-02-202314:02:58;62.000;98.000;35.000;5459.629;1920.000;163.181;58.000;85.417;4299.997;11542.000;62.100;30.278;76.600
24-02-202314:02:59;62.000;98.000;36.000;5459.629;1920.000;163.242;61.000;80.729;4299.997;11505.000;62.900;24.650;76.600
24-02-202314:03:00;62.000;98.000;36.000;5459.629;1920.000;158.369;59.000;68.229;4300.000;11515.000;63.600;22.016;76.500
24-02-202314:03:01;63.000;98.000;35.000;5459.629;1920.000;161.705;59.000;85.677;4300.000;11645.000;64.500;20.204;76.500
24-02-202314:03:02;62.000;98.000;35.000;5459.629;1920.000;162.837;59.000;91.667;4300.000;11593.000;63.000;24.842;76.500
24-02-202314:03:03;63.000;98.000;35.000;5459.629;1920.000;161.577;59.000;92.708;4300.000;11486.000;62.900;21.686;76.500
24-02-202314:03:04;63.000;98.000;37.000;5459.629;1920.000;159.598;59.000;95.573;4299.999;11583.000;67.800;20.992;76.500
24-02-202314:03:05;63.000;98.000;38.000;5459.629;1920.000;165.549;57.000;89.323;4299.999;11643.000;66.800;31.281;76.500
24-02-202314:03:06;63.000;98.000;37.000;5459.629;1920.000;163.271;58.000;92.188;4299.999;11594.000;66.900;21.041;76.500
24-02-202314:03:07;63.000;92.000;34.000;5459.629;1920.000;158.897;59.000;90.365;4300.000;11512.000;63.500;25.087;76.500
24-02-202314:03:08;63.000;98.000;37.000;5459.629;1920.000;165.985;59.000;90.764;4300.000;11597.000;65.900;19.314;76.500
24-02-202314:03:09;63.000;98.000;38.000;5459.629;1920.000;162.091;58.000;85.988;4299.998;11599.000;66.400;19.138;76.500
24-02-202314:03:10;63.000;98.000;38.000;5459.629;1920.000;162.655;60.000;92.448;4299.998;11584.000;65.600;25.194;76.500
24-02-202314:03:11;63.000;98.000;36.000;5459.629;1920.000;162.845;59.000;94.010;4299.998;11545.000;65.300;23.901;76.500
24-02-202314:03:12;63.000;98.000;36.000;5459.629;1920.000;165.274;58.000;89.583;4300.000;11597.000;67.600;18.748;76.500
24-02-202314:03:13;63.000;98.000;37.000;5459.629;1920.000;162.150;58.000;89.583;4300.000;11613.000;66.200;20.260;76.500
24-02-202314:03:14;63.000;98.000;33.000;5459.629;1905.000;161.073;59.000;85.938;4299.999;11620.000;62.200;20.273;76.500
24-02-202314:03:15;63.000;98.000;34.000;5459.629;1920.000;162.575;57.000;90.885;4299.999;11606.000;65.200;23.421;76.500
24-02-202314:03:16;63.000;98.000;34.000;5459.629;1920.000;163.153;57.000;98.958;4300.000;11699.000;63.900;21.402;76.500
24-02-202314:03:17;63.000;98.000;34.000;5459.629;1920.000;161.311;57.000;88.021;4300.000;11682.000;62.600;19.503;76.500
24-02-202314:03:18;63.000;98.000;34.000;5459.629;1920.000;163.916;60.000;89.063;4299.999;11649.000;62.600;22.686;76.500
24-02-202314:03:19;63.000;98.000;35.000;5459.629;1920.000;162.190;61.000;91.146;4300.000;11681.000;62.300;20.163;76.500
